Student
Gina Killer
Louis Geisel
Dipl.-Ing. Denise Beier
Karla Wirth
Daniel Zänker
Nikolas Hethur MBA.
Faruk Meister
Univ.Prof. Kreszenz Wulf B.A.
Emma Trub-Scheuermann
Isa Kramer-Matthäi
Ing. Margot Bonbach B.Eng.
Ing. Nicolai Textor B.A.
Adelinde Gumprich MBA.
Jörg Haase-Röhricht
Ronald Rädel
Heinz-Wilhelm Werner
Frau Rosalinde Mitschke B.A.
Helene Ullrich
Dr. Elwira Hiller
Dipl.-Ing. Agatha Pruschke
Prof. Sibel Wohlgemut B.Sc.
Rolf Wirth
Reni auch Schlauchin
Slavica Vollbrecht
Univ.Prof. Rene Jacobi Jäckel B.Eng.
Evi Grein Groth
Sigurd Höfig B.Sc.
Ole Schmidtke
Kristiane Zahn
Univ.Prof. Kirstin Killer B.Eng.
Kurt Thanel
Herr Christopher Speer
Madeleine Henk
Wanda Stoll B.A.
Ing. Hans-Joachim Ullrich
Nadin Schomber
Antonia Stey
Benita Holzapfel-Hecker
Sevim Ackermann
Frau Alwina Bohnbach B.Eng.
Tomas Säuberlich B.A.
Guntram Warmer
Carl-Heinz Kraus
Janina Seifert
Karlheinz Martin
Dipl.-Ing. Hardy Kohl
Univ.Prof. Alexandros Junk
Karoline Hübel
Gundula Scheel-Döring
Horst-Günter Renner
Heiderose Bärer
Ing. Paolo Meister
Prof. Nikolai Gunpf
Hildegunde Stiebitz-Mude
Melissa Gehringer
Katarina Knappe
Benno Gehringer-Wohlgemut
Gitta Hübel
Janus Jessel-Hermann
Elizabeth Jacob
Caterina Ullrich
Maurice Pieper-Loos
Magdalene Patberg-Mosemann
Roger Hendriks-Ruppersberger
Dipl.-Ing. Charles Täsche
Laszlo Nerger MBA.
Marc Henck B.Eng.
Adelinde Gutknecht-Beier
Zenon Pärtzelt
Rose Henschel
Magret Oderwald
Dipl.-Ing. Gabriel Roskoth
Gina Wulff B.A.
Dietlind Albers
Herr Bastian Hübel B.A.
Heinz-Georg Hornich
Gino Hövel B.Sc.
Reinhart Jopich
Ing. Eugenie Kreusel MBA.
Univ.Prof. Samira Drewes
Hellmut Siering
Nadin Radisch
Prof. Concetta Mies B.Eng.
Hedi Bärer
Dursun Mies
Nikolai Rädel-Klemt
Sami Stolze-Döhn
Gerwin Salz
Violetta Beyer
Knut Gorlitz
Senta Hiller
Danielle Ritter B.Eng.
Ing. Fredi Löffler
Rosa Hübel
Brunhilde Mälzer-Warmer
Dr. Frederike Hering B.Eng.
Bodo Kranz-Striebitz
Kasimir Lindau
Mehmet Beckmann-Geisel
Bertha Ritter-Drubin
Zbigniew Höfig B.Eng.
Marius Klotz
Gabor Steuer
Ida Hendriks B.A.
Cecilia Gertz
Leokadia Herrmann
Leokadia Finke-Dippel
Alwina Koch
Univ.Prof. Monja Staude MBA.
Uli Schönland-Trupp
Univ.Prof. Tomasz Atzler B.Sc.
Ina Christoph B.Sc.
Dr. Theodor Sager
Jutta Aumann
Ilonka Wulf
Dipl.-Ing. Tamara Seifert B.A.
Frau Hildegund Vogt B.A.
Dipl.-Ing. Lieselotte Trüb B.A.
Diether Blümel
Herr Jerzy Drub
Prof. Alina Barth
Herr Gotthard Wilms
Abdul Klapp-Hethur
Ing. Meinhard Schweitzer
Lukas Gierschner
Mariana Kranz
Edgar Bauer
Irmtraud Freudenberger
Marc Heintze B.A.
Jonas Hendriks
Alexej Liebelt
Nicole Scheibe
Alexandros Heintze
Klaus-D. Zirme-Bachmann
Gerti Trupp-Dowerg
Marie Henk B.Sc.
Attila Atzler
Carsten Wieloch-Kranz
Prof. Siegrun Langern
Dipl.-Ing. Violetta Briemer B.A.
Valeska Zimmer-Schleich
Dipl.-Ing. Theda Weinhold B.Eng.
Michaele Ruppert
Dr. Ella Warmer
Irmtrud Schaaf-Jacobi Jäckel
Thilo Berger
Elvira Cichorius
Wilma Matthäi
Dipl.-Ing. Gisa Jüttner B.Sc.
Ilonka Kohl
Dipl.-Ing. Klaus-D. Kostolzin
Prof. Klaus Peter Bruder
Irma Neureuther
Jonathan Gertz-Hertrampf
Roselinde Ebert
Univ.Prof. Sonja Hande MBA.
Lisbeth Mielcarek
Gordana Budig B.A.
Malte Davids
Prof. Dietlind Ullrich B.Sc.
Abraham Junken-Beckmann
Frau Christiane Zänker B.A.
Gerta Hartmann
Sandy Römer-Bien
Ing. Heide Winkler
Siegfried Kreusel
Marta Roht B.Sc.
Vitus Pruschke B.A.
Hans-Herbert Eckbauer
Dr. Sara Niemeier
Ing. Alban Mohaupt
Manuel Krause MBA.
Kristian Ritter
Kathi Seip
Steffen Rust B.Eng.
Maximilian Juncken
Univ.Prof. Halina Hamann MBA.
Erhard Otto
Roderich Weitzel
Kaspar Trub
Ing. Claire Hübel
Alina Finke
Dagobert Eberhardt B.A.
Sigmund Hentschel MBA.
Natalja Seidel
Bruno Hesse
Univ.Prof. Albertine Köhler MBA.
Ing. Nadeschda Bohlander
Frau Etta Wesack MBA.
Damaris Bien
Damaris Eigenwillig
Hansjürgen Schlosser
Alf Jüttner
Lorenz Schwital-Stadelmann
Hans-Hermann Hande
Annemie Herrmann
Meral Liebelt
Klothilde Blümel B.A.
Burghard Davids
Krista Scholtz
Danuta Löwer
Gitta Römer
Univ.Prof. Ottfried Scholl
Stavros Ortmann
Caren Neureuther
Siegward Hertrampf
Marlen Schenk-Schuchhardt
Univ.Prof. Therese Hänel
Mariola Tlustek MBA.
Cilli Siering
Irmela Krein-Bolzmann
Univ.Prof. Margrit Davids B.Eng.
Friedrich-Karl Zorbach
Valeri Tschentscher
Univ.Prof. Jörg Jessel MBA.
Ing. Selim Tintzmann B.A.
Dipl.-Ing. Ira Röhricht B.Sc.
Dipl.-Ing. Gerold Kusch B.Eng.
Hildburg Dowerg-Pergande
Brit Heidrich B.A.
Sophie Pruschke
Fredy Birnbaum-Kensy
Heino Schönland-Hermann
Kristian Meyer
Prof. Knud Atzler B.Sc.
Meryem Hänel-Jungfer
Ing. Hanne-Lore Ackermann
Hans-Karl Bauer B.Eng.
Imelda Schäfer
Yusuf Seifert
Wiltrud Ladeck MBA.
Ing. Gerold Gotthard
Alessandro Henk-Käster
Liesel Ziegert
Zdravko Kroker
Thomas Drub
Ruth Barkholz-Koch II
Natascha Gotthard
Damian Dörr
Kuno Kreusel
Univ.Prof. Halil Staude
Ali Schmidt-Knappe
Kathi Hering
Konstantinos Seifert
Phillip Salz B.Sc.
Henni Ullmann MBA.
Eleni Mühle MBA.
Wera Hauffer B.A.
Ivana Eimer
Friedhold Löwer-Ebert
Dusan Conradi-Rogner
Brigitta Eimer
Eduard Ruppersberger
Sergio Kraushaar-Anders
Erdal Tintzmann
Karoline Carsten
Othmar Täsche-Loos
Emin van der Dussen
Asta Hesse
Sevim Textor-Schinke
Beatrix Möchlichen
Dr. Reinhilde Thies B.Eng.
Johann Beer
Slawomir Bohnbach
Engin Schenk
Univ.Prof. Waldemar Döring
Katherina Klapp
Jaroslaw Eckbauer
Frau Eugenia Matthäi
Prof. Jelena Naser
Osman Schäfer
Urte Bolzmann
Friedericke Ring MBA.
Dr. Patrizia Dörschner B.A.
Hans-Friedrich Ruppert-Ullrich
Tanja Henk
Abram Briemer
Leonhard Adolph
Dr. Anika auch Schlauchin B.Sc.
Rene Albers
Gordon Lehmann
Univ.Prof. Heidrun Hiller
Frederik Rust
Heinrich Ackermann
Rahel Heidrich-Jüttner
Mechtild Hering
Tabea Kaul
Ferenc Bolzmann-Girschner
Ing. Cord Hermighausen B.Eng.
Herr Emin Trubin
Sibilla Bachmann
Joanna Christoph
Herr Vito Roskoth B.Sc.
Sibille Liebelt
Ing. Pius Börner
Margitta Hethur MBA.
Willibald Boucsein B.Sc.
Vadim Jacobi Jäckel
Hanife Ackermann
Tomasz Preiß
Guiseppe Tschentscher
Roswita Hofmann MBA.
Uli Oderwald-Freudenberger
Vittorio Harloff
Univ.Prof. Suzanne Paffrath
Louis Loos B.Eng.
Niko Butte-Rosenow
Saban Etzler B.Eng.
Concetta Seifert
Janusz Kruschwitz B.Eng.
Karen Rädel
Herr Roman Sontag B.Sc.
Konstanze Mohaupt
Marleen Langern-Oderwald
Frau Evelyn Tlustek B.Sc.
Niels Faust
Auguste Lorch
Dagmar Dussen van
Dr. Gaby Sontag MBA.
Joachim Höfig
Verena Davids
Kaspar Junken
Reimar Trüb
Ing. Daria Lorch B.A.
Cord Zorbach
Juan Noack
Beata Stahr
Ulrich Schlosser
Istvan Scheuermann
Sara Rogge
Ing. Helmuth Bachmann B.Sc.
Emanuel Holsten
Ing. Ivana Budig B.Eng.
Prof. Raymond Söding
Hans-Herbert Gutknecht
Univ.Prof. Niklas Mohaupt MBA.
Ing. Hatice Gehringer
Elizabeth Vollbrecht
Univ.Prof. Dana Seifert
Marion Weihmann
Ole Ritter MBA.
Prof. Gertraude Mangold B.Eng.
Dipl.-Ing. Lioba Plath
Hiltrud Adolph
Marianna Segebahn-Wernecke
Dr. Aribert Sontag
Univ.Prof. Walfried Hövel
Herr Mahmoud Schleich B.Sc.
Univ.Prof. Gretchen Sontag B.A.
Adelinde Kensy B.Eng.
Prof. Andrzej Gorlitz
Hans Misicher
Herr Ronald Reising B.Sc.
Gertraude Salz-Gnatz
Melita Hein
Halina Römer-Hartung
Adelinde Geisler
Univ.Prof. Mira Mende B.Eng.
Frau Rosemarie Stiffel
Dr. Trude Girschner
Henni Wagenknecht B.Sc.
Herr Valentin Warmer
Prof. Volkmar Wirth B.Eng.
Micha Albers-Wilms
Alf Jacobi Jäckel-Fritsch
Ute Conradi-Trüb
Severin Mende B.A.
Dorota Wilms
Isabell Briemer
Till Tlustek
Mehdi Niemeier-Noack
Ing. Janin Winkler MBA.
Dipl.-Ing. Reinhart Gotthard B.Eng.
Prof. Cäcilia Gertz B.Eng.
Gabi Löwer MBA.
Dr. Jochem Trapp MBA.
Johann Seidel
Ing. Nikolai Niemeier B.A.
Annette Schwital
Burckhard Mende
Prof. Necati Stey B.A.
Dipl.-Ing. Miguel Bärer
Hartmut Hiller B.A.
Herr Baptist Klotz
Karl-Heinrich Schüler
Herr Anthony Caspar
Prof. Susanne Heidrich B.Eng.
Jasmina Zorbach
Nada Girschner
Andrea Ziegert
Hans-Theo Thies
Irmi Jüttner
Henriette Ladeck
Peggy Rogge-Lachmann
Karlheinz Stahr
Frau Herlinde Schleich B.Sc.
Gunhild Zimmer
Gabriel Werner
Hannchen Zahn
Dr. Annita Kallert
Dipl.-Ing. Astrid Kade
Annie Schlosser
Christiana Bauer
Constance Lange
Metin Peukert-Lindner
Aziz Bauer MBA.
Univ.Prof. Jaroslav Seifert B.Eng.
Ing. Herwig Drub MBA.
Tamara Bender MBA.
Prof. Clarissa Barth
Univ.Prof. Steffen Tröst
Arif Killer
Dipl.-Ing. Svea Neureuther
Hans-Eberhard Blümel
Sigrun Mälzer
Gülay Weinhold
Prof. Maria-Theresia Schaaf B.A.
Inken Juncken
Murat Förster
Brit Anders
Prof. Urs Täsche
Kathy Kitzmann
Dr. Gerhart Käster
Gundula Adler-Bien
Luzia Kranz
Dr. Caroline Ortmann
Univ.Prof. Aysel Lindau
Ralph Fröhlich
Siegmund Heidrich
Bernt Conradi
Norma Jungfer
Dolores auch Schlauchin
Lina Hörle
Luzia Eckbauer
Robert Etzold
Cathleen Mies MBA.
Reinhild Pergande
Camilla Wiek
Univ.Prof. Romuald Hermighausen
Univ.Prof. Elfriede Rohleder
Theresa Schüler
Nuran Schottin B.Eng.
Ing. Marie-Therese Seifert
Jonathan Birnbaum-Stiebitz
Sergej Hauffer MBA.
Leopoldine Butte
Angelica Lindau-Heß
Univ.Prof. Philomena Kensy
Dr. Margarethe Ernst
Geza Hertrampf B.A.
Ingetraud Caspar
Ismail Junck-Trommler
Diethard Gude
Anette Anders
Ing. Torsten Hartung B.Eng.
Prof. Heinz-Joachim Losekann
Univ.Prof. Karin Beier
Ernestine Karz
Resi Ullmann
Josef Langern
Ljiljana Stoll
Alois Jungfer B.Eng.
Gitta Mohaupt
Frau Margrit Beckmann
Mehmet Löwer-Trupp
Gertrud Ditschlerin
Dipl.-Ing. Willibert Süßebier
Mirko Bolander
Elsa Sontag
Carmen Berger
Klaus-Ulrich Blümel B.A.
Hansjoachim Kraus-Beer
Fanny Zänker-Hein
Frau Dora Rosemann B.A.
Berndt Riehl-Bohlander
Annelore Juncken
Gerhild Löffler
Anett Wieloch
Sibylla Klingelhöfer B.Sc.
Immo Ring
Ing. Tillmann Geisel
Friedl Atzler-Süßebier
Gundula Weitzel-Liebelt
Dr. Lina Hiller
Herr Thorben Jacob
Mirja Dehmel B.A.
Friedrich-Wilhelm Metz
Nikolaus Rosenow
Sofia Austermühle
Prof. Wolf-Dieter Killer B.Sc.
Slavko Fliegner B.Sc.
Anke Bähr
Anni Seidel B.Eng.
Willibald Seidel
Ekkehart Grein Groth
Dr. Uli Segebahn
Heidelore Zirme
Luciano Biggen
Meta Eigenwillig
Liane Fechner
Bodo Finke
Frau Maria Jopich
Frank-Peter Weimer
Leo Gunpf-Bolzmann
Enrico Hornig
Christina Schlosser
Annika Wirth
Daniele Hering
Nico Möchlichen
Madeleine Thanel MBA.
Klaus-Peter Kitzmann
Ing. Bernfried Pruschke
Marie-Louise Killer-Etzler
Milos Trüb
Rosemarie Schmiedecke
Martin Rose B.A.
Torsten Pergande
Ria Koch II
Dr. Marie-Louise Wohlgemut B.Sc.
Marlies Mude
Dr. Semra Wagenknecht
Monica Drub-Davids
Frau Magarete Mans B.Sc.
Prof. Danny Bähr B.Eng.
Ilonka Buchholz-Köhler
Annelie Heuser
Lucie Gutknecht
Kunigunda Reising
Univ.Prof. Matthäus Gude
Catrin Weller
Hans-Jörg Trupp-Säuberlich
Jan Gumprich
Ilija Hofmann
Jozef Kostolzin
Martin Pechel-Freudenberger
Patric Heinrich
Dr. Fredy Niemeier
Prof. Susanne Rose
Anny Wagenknecht
Olga Krein
Burkard Schlosser
Magdalene Mude
Karl-August Reichmann B.Sc.
Nico Ehlert-Ackermann
Marit Weller
Eberhardt Warmer
Hedda Haase
Ing. Ben Lindau MBA.
Constanze Schleich
Ivo Lorch
Frau Nurten Huhn
Dipl.-Ing. Canan Pölitz B.Eng.
Marie-Theres Trupp
Wenke Patberg
Karl-Heinz Hahn
Dr. Natascha Trüb
Fadime Heidrich B.A.
Guenther Metz
Gisa Budig-Löwer
Diedrich Scheel-Hübel
Klaudia Vollbrecht B.A.
Lukas Zirme
Cilli Gorlitz
Nurettin Mans-Klemt
Lars Eckbauer-Möchlichen
Wilfried Söding
Constantin Kostolzin
Irmi Täsche B.A.
Blanka Birnbaum
Heide-Marie Koch II
Abdul Trüb MBA.
Bayram Cichorius-Zobel
Ignatz Börner
Dipl.-Ing. Wilfriede Bruder
Dorle Killer
Dipl.-Ing. Rolf Tröst B.Sc.
Valeria Bonbach
Herr Urban Christoph
Dipl.-Ing. Gerdi Wende
Andrej Geißler-Beckmann
Stephanie Krause
Vitus Schmidt
Maria-Theresia Scholl
Franziska Beer
Univ.Prof. Veli Etzler
Elma Heser
Irina Täsche
Ing. Anton Gotthard MBA.
Hans-Martin Kambs
Wolf Stadelmann
Mina auch Schlauchin
Konstantinos Lindner
Roderich Scholtz
Prof. Hermann Josef Söding
Fredi Lindner
Vinko Reuter
Dipl.-Ing. Betti Löffler MBA.
Horst-Günter Zirme
Prof. Swen Benthin MBA.
Kordula Drub B.Sc.
Milos Knappe-Scholz
Dipl.-Ing. Anneliese Kühnert
Michaela Sontag-Dörr
Univ.Prof. Ortwin Geisler MBA.
Frau Friederike Albers
Ing. Kunigunde Wieloch
Luzie Sager-Gierschner
Dipl.-Ing. Hermann-Josef Jüttner
Sinaida Adolph
Dr. Annett Siering
Gülten Ruppersberger-Wende
Liselotte Lindau
Irena Wilmsen
Mechthilde Lindau B.A.
Ing. Petar Hänel MBA.
Heinrich Rogner
Olav Thies
Gaetano Fröhlich
Janin Höfig B.A.
Lena Losekann
Mattias Wieloch
Rudi Schacht
Bekir Cichorius-Döring
Babett Adler
Mercedes Christoph
Adeline Holsten
Carmelo Stiebitz
Janus Ring
Univ.Prof. Nevenka Döhn B.Eng.
Olivia Thies B.A.
Hans-J. Trapp-Koch II
Walter Pruschke
Frau Yvonne Trupp B.A.
Janette Kraushaar
Yvette Schinke
Peer Grein Groth-Lange
Brigitte Zirme B.Sc.
Ivonne Hahn
Brigitta Walter
Veronika Gröttner
Filiz Bähr
Günther Bähr
Aysel van der Dussen-Jäntsch
Ulla Fliegner-Sölzer
Stavros Vollbrecht-Geißler
Giovanni Weller-Söding
Ewa Eimer-Linke
Tomas Tlustek
Dr. Alois Kraushaar B.Sc.
Katharina Krause-Hornig
Antonina Neureuther
Reingard Jungfer
Melita Schleich
Frida Stolze
Hanife Täsche-Stiffel
Gereon Weitzel
Silvester Etzold
Nermin Jopich
Francisco Budig-Geisler
Prof. Hans-Hinrich Schmidt
Gusti Schleich
Dorina Weinhage
Dipl.-Ing. Hannelore Kostolzin
Frau Valentine Benthin
Dr. Uta Gumprich
Bernd Blümel
Dr. Amir Jäkel
Ewald Dussen van
Ismail Steinberg
Hüseyin Wulf-Schmidt
Johanne Kusch
Univ.Prof. Siegfried Karz B.Sc.
Irina Birnbaum
Karl-Otto Winkler B.Eng.
Margaret Kraus
Alfonso Grein Groth-Henck
Ing. Hedi Wulf
Heribert Kensy
Halil Löwer
Ludmila Löffler
Dipl.-Ing. Marieluise Löchel
Anatolij Junk
Univ.Prof. Friedl Tlustek
Ingmar Beckmann
Ing. Hans-Wolfgang Weitzel B.Sc.
Univ.Prof. Nikola Graf MBA.
Karina Tschentscher-Butte
Dipl.-Ing. Ladislaus Weinhold
Horst-Peter Faust
Margitta Wulf-Nerger
Torben Roskoth-Wilmsen
Cecilia Stoll
Horst-Dieter Bähr
Vincenzo Jopich
Edeltrud Kambs
Gotthold Krause
Willy Hornig
Herr Dursun Hentschel B.Eng.
Dr. Annelene Geisel B.Sc.
Dr. Semra Schulz
Stefano Koch B.Eng.
Heinz-Georg Rosemann-Bohnbach
Rouven Eberhardt
Adelinde Ackermann-Knappe
Esther Eberth-Kensy
Aloys Ruppert
Recep Weihmann
Isabel Rose
Ilka Heß
Franz-Xaver Bachmann
Herr Muzaffer Schäfer
Bruno Siering MBA.
Josip Kuhl
Anka Gieß
Egbert Jüttner
Prof. Hubert Heß
Heide Schottin
Elise Heinz
Marko Kensy-Atzler
Gabriele Käster
Frau Julie Gunpf
Geert Rust
Prof. Reza Ebert B.Eng.
Patricia Schäfer
Dipl.-Ing. Matteo Baum
Prof. Katalin Heinrich
Alwin Schaaf
Andreas Birnbaum-Kallert
Ing. Galina Schenk
Prof. Jürgen Blümel B.A.
Mia Ullmann
Alicja Faust B.Eng.
Milan Weiß-Schuchhardt
Jana Drubin-Heß
Marzena Mentzel
Prof. Mathias Kambs
Antonino Rogge-Meyer
Univ.Prof. Janos Rörricht MBA.
Ibrahim Lehmann B.Eng.
Ivana Mielcarek
Marco Kostolzin-Bruder
Dipl.-Ing. Wilfried Ortmann
Irmengard Jüttner B.Eng.
Christos Bolander
Univ.Prof. Ralf-Dieter Kabus MBA.
Alan Stadelmann-Lindner
Janett Patberg
Slavica Ernst-Schmidtke
Giorgio Trüb
Aleksej Fröhlich
Gusti Wagenknecht
Prof. Felicitas Dörschner
Ing. Marko Linke
Bertold Schenk
Univ.Prof. Karl-Friedrich Mosemann B.Sc.
Dipl.-Ing. Eberhardt Fechner
Tülay Hettner-Ebert
Swetlana Jessel
Angelika Rosemann
Margita Schleich-Becker
Mariana Jüttner
Annekatrin Trupp
Milos Biggen
Lothar Birnbaum
Herr Wolfhard Hövel
Dipl.-Ing. Wenzel Hellwig B.Sc.
Lukas Juncken MBA.
Tilmann Geisler
Dr. Selma Geisel B.Sc.
Elias Langern
Stilla Hornig B.A.
Dr. Dora Fischer
Ing. Eckehard Bloch MBA.
Herr Herbert Dowerg
Ing. Czeslaw Geisel
Andrew Schlosser
Gudula Niemeier
Kuno Mälzer B.Eng.
Univ.Prof. Ivonne Haase B.Sc.
Sieglinde Stahr
Univ.Prof. Herta Zänker
Univ.Prof. Romana Hiller
Gottfried Keudel MBA.
Anny Wähner
Dipl.-Ing. Alexandros Weinhold
Univ.Prof. Paul-Heinz Heinz
Nicolas Möchlichen MBA.
Gundi Sager
Jacqueline Hofmann
Pedro Bärer
Fatima Rosemann-Schmidtke
Jonas Christoph B.Eng.
Thomas Hentschel
Trudi Kranz B.Eng.
Saskia Wagenknecht
Ing. Hans Peter Schenk B.A.
Jörgen Lorch
Magdalena Warmer MBA.
Elfie Jäkel
Univ.Prof. Ingelore Schulz MBA.
Ljubica Wohlgemut-Schmidt
Renate Franke B.A.
Frauke Stadelmann
Univ.Prof. Traudl Mentzel B.Eng.
Ansgar Tlustek MBA.
Fedor Roskoth B.A.
Anastasios Kuhl
Marek Ackermann
Frauke Dörschner
Ing. Gertraude Holsten B.Sc.
Katharina Süßebier B.A.
Fredi Jäntsch
Susanne Etzold
Frau Elfi Winkler MBA.
Edda Klemt
Jan-Peter Scheuermann-Jungfer
Prof. Lydia Siering
Univ.Prof. Mirella Peukert
Gerhild Beyer
Cemal Hamann
Klaus-Dieter Meister
Dipl.-Ing. Ingolf Krein
Dr. Carmela Rudolph
Burkhard Fröhlich-Dussen van
Damian Söding
Heinz-Wilhelm Kuhl
Wulf Caspar
Prof. Natalija Weinhold
Dipl.-Ing. Ilse Heß B.Sc.
Emanuel Schinke B.Sc.
Klaus-Peter Gieß-Winkler
Univ.Prof. Hartwig Holsten B.Sc.
Ellen Röhrdanz
Frau Brit Stoll
Ing. Marcel Gute
Hans-Georg Dörschner
Annamaria Scholtz
Anneke Jähn
Vito Davids-Schwital
Mohammed Geißler
Denis Ruppersberger
Heinz-Gerd Söding
Heimo Ziegert
Leonore Schacht
Alice Lachmann-Finke
Univ.Prof. August Gunpf B.A.
Prof. Marius Herrmann
Jolanda Henck
Philip Weller B.A.
Franz Josef Haase
Maurizio Eckbauer
Carin Atzler
Janet Johann B.A.
Miroslaw auch Schlauchin
Bela Naser-Löwer
Hans-Albert Schwital
Rosita Köster B.A.
Eggert Rörricht-Schwital
Stella Barth
Deborah Finke
Berndt Grein Groth B.Sc.
Danilo Ehlert
Kay-Uwe Pölitz
Michelle Klingelhöfer B.Eng.
Maurizio Hartmann
Univ.Prof. Pauline Klemt
Lisbeth Hentschel
Stjepan Hofmann-Hethur
Ing. Hanns Haase B.Eng.
Gunhild Holt-Rust
Raissa Mitschke MBA.
Ing. Friedhelm Löchel B.Eng.
Roswita Henck
Prof. Manuela Schleich B.Sc.
Evi Wilmsen MBA.
Zita Holt
Flora Etzold
Sandra Scholtz
Gundolf Walter
Volkmar Hentschel
Herr Janus Matthäi B.Sc.
Sandy Dietz
Nora Dehmel B.Eng.
Annelene Reuter B.A.
Dajana Meyer
Mehdi Kohl B.A.
Hilda Stey B.Eng.
Denny Lachmann
Berndt Barkholz
Moritz Holzapfel
Kevin Etzler
Heimo Förster
Franz-Josef Schmidtke
Cord Haase
Frau Corinna Wähner
Ing. Alfred Söding
Melanie Jungfer-Preiß
Ingolf Ruppersberger-Berger
Benita Neuschäfer
Prof. Wolfram Binner B.Eng.
Reingard Klingelhöfer
Jeannette Schleich
Adam Krein-Karge
Klaas Vogt
Helga Gerlach-Seifert
Aenne Sölzer B.A.
Jörgen Putz B.A.
Urs Ebert
Ing. Lucie Karz
Univ.Prof. Trudel Gierschner MBA.
Isidor Heinrich
