Student
Prof. Marian Gerlach
Dipl.-Ing. Roland Bien B.Sc.
Orhan Dörr-Salz
Herr Claus Killer
Dr. Ursel Gute
Otfried Ortmann
Univ.Prof. Ivo Mies
Klemens Förster
Edelgard Finke B.Eng.
Rosmarie Kambs MBA.
Univ.Prof. Ralf-Dieter Kabus MBA.
Willibald Ziegert-Siering
Ing. Alexander Mude
Dipl.-Ing. Alla Karge
Cemal Trapp
Heinz-Werner Briemer B.A.
Univ.Prof. Maxim Matthäi
Birte Jüttner
Ilja Hartung
Concetta Karge
Gerhart Karz
Prof. Vadim Rogner
Andre Schinke
Ernestine Trommler
Anna-Marie Ullrich
Univ.Prof. Ortwin Geisler MBA.
Univ.Prof. Fredy Barth MBA.
Herr Hanno Hesse
Josef Butte-Lindau
Diane Butte-Schleich
Frau Alwina Bohnbach B.Eng.
Univ.Prof. Oscar Lindau MBA.
Prof. Heinz-Peter Thies
Maria Hellwig
Inken Ziegert
Hansjürgen Lindner
Alfonso Grein Groth-Henck
Auguste Lorch
Alina Spieß
Genoveva Gieß
Gilda Tintzmann
Dr. Peer Schwital MBA.
Univ.Prof. Tabea Dörschner MBA.
Ing. Dietlind Gieß
Guenther Schmidt
Anne-Katrin Höfig
Ryszard Süßebier-Neureuther
Frau Valentine Benthin
Miroslaw auch Schlauchin
Enrico Hellwig
Alfred Rose
Richard Drub
Edward Hering MBA.
Rebecca Börner
Roland Ring
Alwine Sager
Silja Jüttner
Eugenia Stey
Prof. Pascale Kruschwitz
Falko Kusch B.A.
Anthony Heintze
Konstantin Eimer-Lehmann
Lidija Trapp
Univ.Prof. Heidrun Hiller
Valerij Weller-Barkholz
Cläre Mohaupt
Oda Berger
Bertold Stadelmann
Karola Zorbach B.Eng.
Senol Hölzenbecher
Rolf-Dieter Preiß
Annamaria Kade-Fischer
Prof. Lilly Schmidtke
Aziz Bähr B.A.
Ekrem Hornich
Ing. Berta Oestrovsky B.Eng.
Dipl.-Ing. Magrit Junck
Myriam Hänel
Erdal Bähr
Christopher Gertz-Kade
Othmar Hölzenbecher
Ronny Scholtz
Prof. Cäcilie Staude B.A.
Frau Patricia Gorlitz B.A.
Monique Rose-Schuchhardt
Erik Wirth B.Eng.
Annekatrin Neureuther
Luciano Tintzmann
Johann Beer
Konstantinos Lindner
Maximilian Pohl B.A.
Frau Mirja Jüttner B.Eng.
Dr. Zenta Holsten
Janusz Beckmann
Jutta Franke-Rosenow
Mechtild Niemeier
Metin Hande
Prof. Danny Bähr B.Eng.
Annie Harloff B.A.
Prof. Nuran Sauer B.Sc.
Kunigunda Reising
Hanna Jäntsch MBA.
Frau Annegrete Junk B.A.
Undine Jopich
Gerwin Bonbach-Fliegner
Walther Hofmann
Henni Mälzer-Tlustek
Tilman Hövel
Mirella Löchel
Sonia Säuberlich-Langern
Ulla Hamann
Dr. Diedrich Krebs B.A.
Ingmar Hauffer
Aenne Beyer
Dr. Janett Schottin B.Eng.
Nicolaus Seifert
Anatolij Keudel
Ing. Gertraude Holsten B.Sc.
Ing. Ignaz Rose
Betti Adolph
Josefa Hauffer
Siegmar Pergande
Ing. Käthe Plath B.Eng.
Elena Linke-Wohlgemut
Monica Drub-Davids
Dr. Antonia Schomber B.Sc.
Hassan Kroker-Girschner
Stephan Stolze-Holt
Herr Rolf-Peter Renner MBA.
Ivo Wesack B.Sc.
Liesbeth Junck-Benthin
Hans-Christian Finke
Gunhild Jessel
Frau Inken Seip B.Eng.
Ing. Pavel Weller B.Eng.
Prof. Guenther Margraf B.Eng.
Helmuth Langern-Steinberg
Celal Scheel B.A.
Doreen Hornig
Benita Neuschäfer
Franz Löwer
Monika Krein B.Eng.
Inka Meyer
Giovanna Zobel-Liebelt
Ing. Hellmuth Scholl
Eduard Ruppersberger
Doris Karz
Prof. Mirko Adolph B.A.
Cordula Schmiedecke-Wilms
Judith Koch-Mude
Hildegard Schlosser-Jacobi Jäckel
Herr Valentin Warmer
Kira Hartmann B.Sc.
Gertraude Salz-Gnatz
Doris Kraushaar
Dr. Hildegund Söding B.A.
Wieslaw Käster
Karl-Wilhelm Meyer
Univ.Prof. Hardy Hartung
Ing. Leopold Hoffmann
Yvette Dietz
Ing. Swen Ehlert
Gerolf Radisch
Dr. Senol Beier MBA.
Hartmuth Vollbrecht
Clemens Barth
Univ.Prof. Dorit Pechel B.A.
Frau Edda Hornig B.Eng.
Trude Scholtz B.A.
Hans-Ulrich Plath B.A.
Gülsen Davids-Heinz
Hans-Henning Scheel
Trudi Kranz B.Eng.
Benjamin Jäntsch B.Sc.
Anna-Lena Sontag-Köhler
Nikolaj Scholz
Hansjörg Müller B.Sc.
Dipl.-Ing. Burckhard Jäntsch
Verena Gute-Trüb
Edda Junck-Eimer
Frank-Peter Kambs
Rosalia Johann
Roderich Scholtz
Lutz Röhricht B.A.
Dipl.-Ing. Ehrenfried Kranz MBA.
Gabriele Käster
Bernard Karge
Ing. Carolin Matthäi
Rico Putz-Killer
Univ.Prof. Philippe Thies B.Eng.
Ronny Dippel
Ottokar Berger
David Faust-Holsten
Ing. Anika Jüttner
Franz-Xaver Carsten
Malgorzata Pieper
Univ.Prof. Ivanka Hübel
Renate Mies
Prof. Marija Seidel
Carl Schmiedt
Rudi Schacht
Reingard Cichorius
Wigbert Ortmann
Annaliese Gerlach
Frau Evamaria Geißler
Olivia Schleich
Loni Trubin
Ekaterina auch Schlauchin
Gitta Mohaupt
Ing. Pauline Linke
Arnulf Zimmer-Seifert
Nadja Geisler
Dr. Edit Scheibe B.A.
Lydia Schenk
Ing. Marie-Therese Schleich
Mareen Mies B.Eng.
Irmengard Röhrdanz
Regina Ring
Norman Fechner
Pius Röhrdanz
Marlies Seifert-Roht
Ing. Carmine Kroker
Rotraud Fiebig
Miriam Juncken
Frau Josefa Henschel B.A.
Kunibert Trommler-Renner
Univ.Prof. Cläre Weihmann B.A.
Aleksander Wagner-Barth
Jörg Speer
Regina Barkholz
Imelda Söding
Gülsen Gutknecht
Philip Mangold
Lars Kallert
Notburga Pechel B.Eng.
Prof. Conny Klingelhöfer B.Eng.
Hiltrud Bolander-Ziegert
Anny Dietz
Suse Pergande-Gröttner
Klaudia Reuter B.A.
Dr. Gert Trapp MBA.
Burkhardt Holt
Hagen Weimer
Reingard Geisel
Karl-Josef Thanel
Klaus-D. Segebahn
Flora Etzold
Darius Trupp
Katharina Krause-Hornig
Manfred Juncken
Ing. Jeanette Rosemann B.Eng.
Ida Weihmann
Sylvio Karge
Sören Etzler
Frederike Dippel
Klaudia Seidel
Mahmoud Ditschlerin-Trüb
Zbigniew Hahn MBA.
Raymond Ruppersberger
Dr. Theresia Mende
Ottmar Hölzenbecher
Dr. Patrizia Dörschner B.A.
Reinhold Bloch
Henry Hofmann B.Eng.
Brita Roht MBA.
Wolf Häring-Kallert
Carmela Lindau
Elzbieta Putz B.Eng.
Dr. Pius Säuberlich B.Sc.
Giovanni Weller-Söding
Siegward Weinhold
Hajo Ziegert-Noack
Erol Kreusel B.Sc.
Renato Bolnbach
Slavica Vollbrecht
Benita Juncken
Frau Aleksandra Dobes B.A.
Alois Römer-Becker
Ilse Nette
Univ.Prof. Heinz-Werner Renner B.A.
Luciano Biggen
Prof. Liane Jungfer
Dagobert Sorgatz
Raphael Höfig
Ing. Antonius Jacobi Jäckel MBA.
Gottlieb Kade
Violetta Beyer
Hans-Friedrich Ruppert-Ullrich
Rolf-Dieter Flantz B.Eng.
Alois Werner
Sina Barkholz
Markus Albers
Magarete Schomber
Cordula Mangold
Frieda Tintzmann-Löchel
Virginia Gorlitz
Wanda Becker
Ing. Chantal Schleich B.Eng.
Ing. Hüseyin Gutknecht B.Sc.
Irmi Koch
Anika Binner-Löffler
Dr. Alena Hövel
Kläre Kohl
Albert Hartmann-Lachmann
Prof. Linus Kambs B.A.
Lilija Döring
Univ.Prof. Evelyn Seifert B.A.
Urban Peukert
Rosina Ditschlerin-Ortmann
Marion Kuhl
Cäcilie Roht-Misicher
Engelbert Carsten-Hiller
Harro Keudel
Prof. Emil Kruschwitz
Ellen Junken
Gunter Misicher
Dr. Dora Fischer
Univ.Prof. Marita Pohl
Angela Hamann
Hulda Seidel-Carsten
Ladislaus Killer
Olaf Weinhage
Ing. Galina Hahn
Zbigniew Höfig B.Eng.
Eberhardt Warmer
Helmar Klapp
Patrizia Schleich
Ralph Binner-Römer
Kristina Scheibe
Jessica Stumpf
Dr. Mario Lorch
Hansjörg Roht
Stephanie Kranz B.A.
Woldemar Heinz
Elli Kuhl B.Eng.
Univ.Prof. Edmund Mentzel B.Eng.
Gerti Ullrich
Rene Bruder B.Eng.
Sofia Mielcarek B.A.
Anatolij Kroker B.Eng.
Tino Kensy
Dr. Ljiljana Henck MBA.
Dominic Gunpf MBA.
Laszlo Nerger MBA.
Prof. Manuela Schleich B.Sc.
Senta Weihmann
Valentin Döring
Meral Stroh-Henschel
Dipl.-Ing. Violetta Briemer B.A.
Heinz-Günther Mosemann
Volker Adler
Birgid Nohlmans
Margarethe Wagenknecht
Ing. Wolf-Rüdiger Weihmann B.Eng.
Detlev Weihmann-Schäfer
Mark Schottin B.Eng.
Imelda Geißler
Birgitta Loos
Annelie Metz
Tilman Eberhardt
Jo Dussen van
Alicja Pergande
Cäcilie Patberg
Telse Rudolph
Fatma Hein
Domenico Kade B.A.
Anja Meyer B.A.
Henning Scholl
Raymund Koch II-Margraf
Karl-Otto Putz
Wiltrud Ladeck MBA.
Frau Bianka Henk B.Sc.
Katarina Knappe
Jeannette Schleich
Guenter Lachmann
Dr. Fedor Plath B.Sc.
Danielle Ritter B.Eng.
Slavko Fliegner B.Sc.
Irmgard Weinhage-Wieloch
Sandy Zimmer
Ing. Edeltraud Zirme
Prof. Thekla Hahn
Jaroslaw Pieper MBA.
Margareta Zirme
Vinzenz Bruder
Dr. Salih Ullmann
Prof. Denis Segebahn MBA.
Joseph Austermühle
Geraldine Eckbauer
Annerose Kaul
Philipp Ernst
Edit Martin B.Sc.
Abdul Trüb MBA.
Heimo Karge-Freudenberger
Dipl.-Ing. Lilly Junken MBA.
Ditmar Pölitz B.A.
Dariusz Reising-Ernst
Katalin Butte
Ing. Alma Rudolph B.Sc.
Anne-Katrin Rogge
Heinz-Peter Butte B.Eng.
Marcus Finke
Friedlinde Schenk-Wulff
Gerda Gröttner B.Sc.
Hüseyin Johann
Stanislaw Misicher
Halil Warmer B.Sc.
Helena Hettner
Antonino Klingelhöfer
Ralph Hellwig-Lachmann
Jo Gnatz
Univ.Prof. Ricardo Sorgatz B.A.
Prof. Sandra Klapp
Melanie Jungfer-Preiß
Vitali Ortmann
Dr. Semra Wagenknecht
Amanda Fechner-Weinhage
Felix Wilms
Dr. Hans-Hermann Rosemann B.A.
Zbigniew Weinhage
Univ.Prof. Siegfried Karz B.Sc.
Miroslawa Rose
Mirjam Stumpf
Rolf-Peter Rosenow MBA.
Mary Hofmann B.A.
Hansjürgen Eberth
Henry Austermühle
Rosita Möchlichen-Stumpf
Elsa Sontag
Sandor Ritter
Anette Bien
Dipl.-Ing. Gloria Heidrich
Adolfine Dippel
Reinhild Pergande
Dipl.-Ing. Julian Mühle
Ute Möchlichen
Anna Linke
Mehmet Löwer-Trupp
Bogdan Löffler
Prof. Hans Dieter Kitzmann MBA.
Ing. Toralf Wiek
Undine Scheibe-Stey
Torben Schweitzer
Brian Ditschlerin
Annamaria Margraf
Ing. Wolf-Rüdiger Herrmann B.Sc.
Bayram Gertz-Hendriks
Prof. John Jessel
Annelie Bloch
Jiri Bärer
Cornelius Scheuermann
Alice Nette
Wilma Röhrdanz
Cosimo Zimmer
Svetlana Bonbach B.A.
Karl-Otto Kostolzin
Sergio Kraushaar-Anders
Marit Söding
Ing. Ayse Schacht
Amir Reuter
Gabi Neuschäfer-Oestrovsky
Michaela Döhn
Susann Haering
Hans-Georg Scholz
Dr. Hans-Albert Stroh
Kordula Drub B.Sc.
Dr. Hans-Detlef Lindau B.Eng.
Dr. Reinhart Hecker B.A.
Inka Trapp
Gislinde Lehmann
Roger Wagenknecht
Isabell Eberth-Pechel
Arnulf Ullmann
Inken Gute B.Eng.
Hans-Günther Etzold
Dipl.-Ing. Claas Ladeck
Gero Gierschner
Sigrun Mälzer
Wladimir Karge
Alexej Wagner
Dr. Bastian Christoph MBA.
Ivan Plath
Sigrun Weinhold
Slavica Ernst-Schmidtke
Hans-Otto Trubin B.Eng.
Dipl.-Ing. Harm van der Dussen
Univ.Prof. Roman Misicher
Friedbert Sorgatz
Augustin Lachmann
Ole Ritter MBA.
Antonius Stoll-Krebs
Gabriel Werner
Alina Finke
Dolores Conradi
Cornelia Schinke
Dipl.-Ing. Aloys Hentschel
Magdalene Hering MBA.
Brian Blümel B.Eng.
Gerolf auch Schlauchin
Herr Jörgen Kruschwitz
Clara Gehringer
Karl Heinz Hörle
Daniele Seip
Deborah Becker
Herr Oliver Pechel
Henny Herrmann
Reinhard Beckmann
Simon Meyer
Mirja Schottin
Rudolph Etzold
Eugenie Benthin-Ziegert
Hanne-Lore Berger
Hans Jörg Koch
Herr Darius Heuser
Birthe Graf
Ludwina Haase
Dr. Rosmarie Seip
Adelheid Schmidtke
Fredi Wilmsen
Jiri Kambs
Centa Bohlander-Stiebitz
Eckhard Weitzel
Thorben Rosenow
Marlene Drubin
Anneli Schleich-Ullmann
Prof. Georgia Zirme MBA.
Reimar Müller
Herr Thorben Jacob
Tilman Henschel
Michaele Neureuther
Prof. Concetta Mies B.Eng.
Baldur Metz
Ing. Carin Zorbach MBA.
Miroslaw Holt
Marie-Therese Birnbaum
Heinz-Günter Boucsein
Milos Seifert
Traugott Ruppert
Prof. Klaus Peter Bruder
Ing. Emmy Beer
Michael Mies B.Sc.
Natascha Gotthard
Nicolai Gutknecht
Antje Etzold
Konstanze Sontag
Stefano Wagenknecht
Kay-Uwe Dippel
Prof. Bertha Jacobi Jäckel MBA.
Gottfried Hettner-Reising
Iwan Butte B.Sc.
Anna-Marie Heidrich
Univ.Prof. Änne Finke B.Sc.
Ing. August Hellwig B.Eng.
Heinz-Jürgen Hesse
Adina Söding
Mehdi Neureuther
Univ.Prof. Ahmet Birnbaum MBA.
Dr. Markus Roskoth B.Sc.
Heide Knappe
Elias Langern
Damaris Eigenwillig
Ing. Ivana Budig B.Eng.
Hannelore Heser-Boucsein
Alan Stadelmann-Lindner
Dr. Jonas Fechner
Prof. Liliana Klemm MBA.
Patrick Döring
Alexandre Caspar
Angelica Lorch B.Eng.
Hans-Joachim Pohl
Hedwig Matthäi
Ing. Hanns Haase B.Eng.
Julian Lehmann-Ortmann
Grzegorz Bohlander
Sofia Austermühle
Thoralf Eimer
Prof. Tillmann Holt B.A.
Winfried Hermann
Leokadia Herrmann
Dipl.-Ing. Salvatore Zänker MBA.
Mechthilde Lindau B.A.
Adelheid Salz
Ekaterina Wieloch
Daniele Pieper-Käster
Brigitte Zirme B.Sc.
Elizabeth Schlosser B.A.
Bozena Meyer
Univ.Prof. Erhard Heuser MBA.
Ralf-Dieter Sauer-Hermighausen
Arnd Jacobi Jäckel
Peer Jähn
Bernt Conradi
Rene Wernecke
Tamara Bender MBA.
Meral Eberhardt B.A.
Sergej Pärtzelt
Antonia Köster B.A.
Hans D. Kusch B.Sc.
Mariola Gnatz
Pauline Mosemann
Ulrike Rädel B.Eng.
Isabell Buchholz
Armin Scholz
Luzia Kranz
Zeynep Lehmann
Lukas Ditschlerin
Jennifer Berger
Miguel Briemer
Josefa Lange
Astrid Nerger-Tröst
Kira Eckbauer
Arno Lindner
Jürgen Herrmann-Koch
Wendelin Schäfer B.Sc.
Cornelia Gehringer
Monja Siering
Tony Henk MBA.
Herr Tony Lindner
Roger Gunpf-Paffrath
Herta Hoffmann
Willibald Gude
Theodora Wilmsen
Dietlinde Binner
Gerhild Gude
Horst-Peter Löchel
Jana Drubin-Heß
Hans Dieter Stahr
Klaus-D. Zirme-Bachmann
Univ.Prof. Horst-Günter Nohlmans B.Eng.
Dr. Elena Kade B.Sc.
Irmtrud Klingelhöfer
Franz Schweitzer
Ing. Ramazan Kabus B.Eng.
Adrian Fiebig-Dörschner
Heide Schottin
Marie-Luise Ring
Eckart Cichorius
Konstanze Mühle
Abdul Klapp-Hethur
Oxana Ortmann MBA.
Ronald Börner-Hentschel
Alfons Klingelhöfer
Paula Heinz
Hilmar Faust
Karl-Wilhelm Weiß
Adele Stroh
Gunnar Ernst
Lydia Wirth
Linus Lübs
Prof. Gertraud Drewes
Carina Hövel
Willy Reichmann
Ignatz Gutknecht
Prof. Lieschen Mälzer B.Sc.
Mariusz Wilmsen B.A.
Margot Sontag MBA.
Reni auch Schlauchin
Hannes Meyer
Prof. Sylvester Bender
Herr Hartwig Henk B.A.
Regine Sorgatz
Margit Klapp
Dipl.-Ing. Christoph Jockel B.Sc.
Bayram Meister
Kuno Dussen van
Günther Bähr
Edda Jungfer
Dana Ebert B.A.
Herr Hans Peter Jacob
Herr Alois Thanel B.Sc.
Irmi Biggen
Nicolaus Franke-Paffrath
Dr. Jorge Kambs B.A.
Herr Bartholomäus Adolph MBA.
Dr. Wanda Dippel
Aldo Förster
Bertram Segebahn
Univ.Prof. Gunda Höfig
Folker Otto MBA.
Dr. Friedbert Bauer B.Eng.
Dr. Katalin Knappe B.Eng.
Hans-Bernd Knappe-Gröttner
Fredi Jäntsch
Rosalia Heydrich
Margaret Kramer B.A.
Jens-Peter Graf-Schmidt
Jonathan Schottin-Naser
Bernhard Becker
Wenzel Drubin
Nadin Radisch
Osman Liebelt
Hannah Jacobi Jäckel
Magret Oderwald
Hulda Junk
Valeska Blümel B.A.
Lucie Trüb-Schmiedt
Irmtrud Textor B.Eng.
Balthasar Holsten
Christiane Blümel
Antonietta Barth
Rosita Wiek
Ursel Conradi
Folkert Reinhardt B.Sc.
Sevim Schmiedt-Döhn
Pavel Pärtzelt B.Sc.
Daniela van der Dussen B.Eng.
Dr. Rolf Walter
Christl Wähner
Inka Trub
Gesche Trub
Adam Gertz
Irmi Gute
Kordula Dobes-Buchholz
Raymond Speer
Virginia Kaul
Manuel Pärtzelt
Leonard Kostolzin
Dietlinde Schönland
Iwan Renner-Dussen van
Dogan Bolander
Abram Briemer
Herr Benedikt Säuberlich
Prof. Ulla Dussen van B.Sc.
Isabell Kroker B.Eng.
Sara Heuser
Ing. Tilman Kitzmann
Prof. Arnold Caspar B.A.
Otto Lindner
Ing. Helmtrud Dussen van
Univ.Prof. Leszek Gieß B.Eng.
Hans Jörg Köhler
Steven Seifert
Luzie Sager-Gierschner
Erwin Etzold
Siegmund Heidrich
Agatha Sager-Geisler
Oda Barkholz
Kathi Etzler
Helma Hänel B.A.
Margita Meister
Elfie Kreusel
Univ.Prof. Ismet Bloch B.Eng.
Trudel Bloch
Niels Faust
Annemarie Schaaf B.Sc.
Dr. Karla Christoph
Pawel Schlosser
Klaus-D. Dippel MBA.
Calogero Seip
Sigfried Franke B.Sc.
Dr. Sigrun Schönland B.A.
Istvan Patberg-Anders
Ing. Meinhard Schweitzer
Ing. Mohammed Geißler B.Eng.
Czeslaw Fiebig
Prof. Karl-Ernst Möchlichen
Ehrenfried Drubin-Paffrath
Othmar Täsche-Loos
Oscar Junitz
Evelyne Beyer
Diedrich Jäntsch B.A.
Zeljko Meyer
Alwina Hettner
Dr. Mato Geisel
Victoria Werner MBA.
Edmund Caspar B.Sc.
Horst-Peter Riehl
Milica Huhn
Wencke Salz
Ing. Elenore Kostolzin
Gerd Süßebier
Grit Karz
Heinz-Joachim Kobelt
Dr. Otmar Linke MBA.
Gisela Girschner
Friedhilde Wernecke
Tülay Henschel
Mareike Scholl
Marta Roht B.Sc.
Reinhilde Hesse B.Sc.
Betty Steinberg
Sofia Heinrich
Tibor Schleich
Carlo Pohl
Harm Hein
Moritz Roht
Hans-Eberhard Lübs
Dipl.-Ing. Josip Mies
Prof. Necati Stey B.A.
Karl-Georg Zahn
H.-Dieter Mülichen B.A.
Frau Karolina Hörle
Ing. Adam Klemt MBA.
Ing. Engelbert Bauer
Yusuf Schacht
Sedat Gude
Wolfhard Jäkel MBA.
Dipl.-Ing. Klaus-D. Kostolzin
Bertha Reuter
Diana Jessel-Geißler
Gesche Kühnert
Dr. Leila Gunpf B.Sc.
Käte Ditschlerin-Roht
Gunda Warmer
Ulrike Gierschner-Koch II
Prof. Augustin Stey B.A.
Stefanie Dippel
Ingrid Eigenwillig
Rene Lindau-Jäkel
Bertold Bloch-Beckmann
Ljiljana Henk
Ingmar Beckmann
Konrad Henschel
Sandro Schmiedt
Berndt Barkholz
Maurice Beckmann
Gertraud Jüttner
Sofia Hethur
Stephen Bruder
Resi Knappe
Jan Gumprich
Sedat Matthäi
Susi Grein Groth-Steuer
Annemie Margraf
Nadeschda Hande
Zeki Hartung
Cosimo Girschner
Guido Pieper
Joachim Süßebier
Herr Burkhardt Bauer B.Eng.
Denny Lachmann
Torsten Pergande
Hans-Gerd Holt
Herr Karl-Heinrich Eberth B.Sc.
Herr Wieslaw Trupp
Dorothe Renner
Alfred Tröst-Stahr
Ing. Willfried Kostolzin
Univ.Prof. German Rörricht
Karl-August Liebelt-Köhler
Dipl.-Ing. Zeljko Stumpf B.A.
Prof. Marika Davids B.A.
Dipl.-Ing. Liliana Hartmann
Prof. Helga Hesse
Tomislav Girschner
Sina Patberg
Ditmar Briemer
Udo Grein Groth
Hans-Herbert Harloff
Henning Fechner
Dusan Ruppersberger B.Sc.
Almuth Pieper
Hellmuth Söding-Bonbach
Viviane Girschner
Harm Nette
Calogero Wagner
Ing. Alberto Werner
Ing. Valentina Börner
Paolo Hentschel-Zobel
Anne-Kathrin Geisler
Antonios Zimmer
Roselinde Kusch-Röhrdanz
Prof. Heinz-Peter Sager
Ing. Melanie Hamann
Ralph Fröhlich
Dipl.-Ing. Lieselotte Trüb B.A.
Elizabeth Vollbrecht
Anni Kraus
Danica Atzler
Vladimir Kruschwitz
Anne-Marie Sontag
Dr. Nadeschda Wulf
Burkhard Schweitzer
Maya Lindner-Zimmer
Gretchen Jessel B.Sc.
Bayram Hering
Kunibert Hahn-Lindau
Ing. Georg Lübs
Prof. Monica Beer MBA.
Dipl.-Ing. John Ortmann MBA.
Univ.Prof. Hans-Albert Ruppert
Virginia Gieß
Oliver Biggen
Kristian Ritter
Joana Mielcarek B.A.
Univ.Prof. Nadeshda Oestrovsky
Guntram Warmer
Fernando Schüler
Frau Danielle Junk
Hilde Lübs
Folkert Barth B.Sc.
Ing. Selim Tintzmann B.A.
Aribert Schulz B.Eng.
Johanna Stumpf
Elma Junken
Dipl.-Ing. Ingolf Krein
Jozef Bohlander
Prof. Dorit Käster B.Sc.
Timo Siering-Hübel
Brita Kaul
Lili Weimer
Geza Bloch-Mühle
Liselotte Lindau
Univ.Prof. Marcella Trüb
Salih Eckbauer-Renner
Augusta Flantz
Desiree Gierschner B.Eng.
Änne Möchlichen
Theda van der Dussen
