Student
Magarete Klingelhöfer-Mans
Prof. Karl-Ernst Möchlichen
Univ.Prof. Greta Trapp
Frau Eugenia Matthäi
Univ.Prof. Alexei Mülichen MBA.
Janine Dehmel B.Eng.
Victoria Hornig
Conny Zirme B.Sc.
Dr. Stephanie Ladeck
Ingetraud Austermühle-Dowerg
Prof. Britt Drub B.Eng.
Cristina Salz B.Sc.
Ingrid Rudolph
Marcella Karz B.A.
Ing. Silke Kambs
Danilo Ladeck-Köhler
Frau Herlinde Segebahn
Herr Jörgen Kruschwitz
Blanka Birnbaum
Fabienne Birnbaum
Irma Neureuther
Lilija Döring
Julie Schweitzer
Josefa Hauffer
Nelly Buchholz
Florentine Bärer B.A.
Imke Gieß B.Sc.
Helmuth Zirme
Nadja Ladeck B.Sc.
Emil Grein Groth
Herr Hans-Martin Heuser
Adeline Holsten
Prof. Axel Davids MBA.
Dr. Gerold Dörschner
Karl-Ludwig Hoffmann
Ricarda Steuer
Univ.Prof. Andrea Gieß B.Eng.
Marliese Drubin
Dominic Gunpf MBA.
Peer Grein Groth-Lange
Willi Heinz
Prof. Raymond Söding
Reza Mielcarek
Adele Stroh
Ahmet Eckbauer-Sölzer
Dipl.-Ing. Georgine Adolph B.Eng.
Hans-Jörg Trupp-Säuberlich
Dipl.-Ing. Gertraut Stolze
Götz Budig
Prof. Uschi Fliegner B.A.
Damian Hentschel
Friedrich-Wilhelm Höfig-Johann
Jan-Peter Grein Groth
Hilmar Faust
Alwine Riehl
Michel Heß
Lars Eckbauer-Möchlichen
Carmelo Weinhold
Annelie Kitzmann
Kilian Patberg
Ute Stroh
Olav Thies
Inken Hellwig-Hermann
Leonardo Lehmann
Ing. Helene Jähn B.Eng.
Oscar Fritsch
Irmi Schacht
Ing. Emmy Beer
Valentin Rädel
Rolf-Peter Rosenow MBA.
Univ.Prof. Ivo Mies
Mareile Löwer
Iris Ullrich
Susann Hartung-Schmiedecke
Gottfried Keudel MBA.
Annemarie Schaaf B.Sc.
Dipl.-Ing. Marek Jockel
Wally Bien-Kraushaar
Herr Klaus Peter Krause B.A.
Herr Louis Hövel
Hans-Jochen Stolze
Dr. Hans-Detlef Lindau B.Eng.
Telse Steuer B.Eng.
Salvatore Tlustek
Prof. Bela Noack
Prof. Gertraude Mangold B.Eng.
Herr Juri Kitzmann
Dipl.-Ing. Robert Köhler
Dr. Cengiz Säuberlich
Dr. Maren Steckel B.Sc.
Mirella Löchel
Francisco Trupp
Hardy Weller
Kamil Hecker-Hahn
Oxana Schmidtke
Adem Hörle
Gebhard Eberth B.Eng.
Astrid Dowerg-Stroh
Kristin Kaul B.Sc.
Theodoros Vollbrecht-Gutknecht
Helen Hahn
Univ.Prof. Pascal Schweitzer
Florian Finke
Ing. Dorothee Harloff B.Sc.
Norman Fechner
Cilli Röhricht
Anneli Butte
Denny Pechel
Marianne Killer
Frederike Stoll
Fatima Weinhage-Boucsein
Wilfriede Misicher
Gisa Hornig-Geißler
Marlen Schenk-Schuchhardt
Luise Junk
Justine Kade
Ing. Alberto Schlosser
Elisabet Preiß-Thanel
Univ.Prof. Anny Stolze
Ing. Helmuth Bachmann B.Sc.
Frithjof Gertz
Prof. Berend Käster B.A.
Dipl.-Ing. Rüdiger Otto B.A.
Piotr Ruppersberger
Heidemarie Köhler
Kurt Thanel
Ing. Selim Tintzmann B.A.
Ing. Helmuth Bruder
Ignatz Franke
Ing. Siegmund Hertrampf MBA.
Klaus Dieter Weimer-Hein
Cord Zorbach
Clara Mans
Tim Sorgatz
Lioba Söding
Nikolai Rädel-Klemt
Hans-Werner Mohaupt
Heimo Ziegert
Traudl Gierschner
Lieschen Röhricht MBA.
Univ.Prof. Marjan Graf B.Sc.
Engin Johann-Weihmann
Cindy Meyer
Univ.Prof. Gislinde Rohleder
Ing. Marie-Therese Schleich
Univ.Prof. Walter Barkholz
Univ.Prof. Karl-Otto Dowerg MBA.
Natascha Gotthard
Dipl.-Ing. Betti Löffler MBA.
Frau Bianka Henk B.Sc.
Niko Bähr B.Sc.
Helmtrud Atzler
Frau Stefani Hendriks B.A.
Tobias Wirth
Francis Rohleder
Czeslaw Jacob B.Eng.
Frau Wenke Klemt
Czeslaw Siering
Jonas Mühle
Hans-H. Schönland
Marta Roht B.Sc.
Leszek Hentschel
Konstanze Zänker MBA.
Erol Jäntsch
Marga Scholz
Prof. Karen Benthin B.Eng.
Prof. Karl-Heinz Ruppersberger
Wolfhard Vogt
Jan-Peter Scheuermann-Jungfer
Marika Zänker B.A.
Christos Gumprich
Alois Jungfer B.Eng.
Univ.Prof. Mira Riehl
Frau Lisbeth Girschner MBA.
Calogero Wende
Sina Wulff-Dussen van
Prof. Grete Müller
Zehra Ernst-Bohnbach
Mareile Tschentscher B.A.
Rosina Otto
Frau Minna Steinberg B.Sc.
Victoria Werner MBA.
Univ.Prof. Josefine Lindau
Susan Riehl B.Sc.
Ing. Cilli Gertz B.A.
Artur Briemer
Silvia Eberth
Prof. Heinz-Joachim Seidel
Ing. Torben Hande MBA.
Ing. Felicia Dörschner B.Sc.
Frau Myriam Walter B.Sc.
Dr. Marie-Luise Klingelhöfer B.Eng.
Ing. Carolin Anders
Gerolf Döring-Buchholz
Matthäus Striebitz-Zirme
Alena Neureuther
Andrei Wulff
Dr. Frank Oderwald MBA.
Bernadette Löffler
Hansjoachim Salz-Junk
Giovanna Zobel-Liebelt
Ljiljana Henk
Sören Etzler
Ing. Wieslaw Kobelt B.Sc.
Univ.Prof. Undine Junken MBA.
Anatolij Steinberg
Dipl.-Ing. Louis Spieß B.A.
Univ.Prof. Claudia Freudenberger B.Sc.
Dipl.-Ing. Henrike Hörle B.A.
Lutz Kobelt
Charles Anders
Waldemar Hendriks
Tomislav Steckel
Rosa Heuser
Klaus-Michael Hahn
Tomas Tlustek
Fritz Schenk B.A.
Elvira Gute-Käster
Niels Faust
Ludwig Reinhardt
Rebekka Lindau MBA.
Dipl.-Ing. Mara Otto B.Sc.
Dr. Peggy Beyer B.Sc.
Herr Johann Kostolzin
Meryem Graf-Lange
Walli Jopich
Lucie Trüb-Schmiedt
Irmtrud Klingelhöfer
Wilfriede Ziegert
Adem Schleich
Dipl.-Ing. Heinz-Otto Jähn
Esther Ehlert
Hansjürgen Eberth
Hanne-Lore Losekann B.Sc.
Univ.Prof. Traudl Mentzel B.Eng.
Leonore Hettner-Staude
Ralf-Dieter Sauer-Hermighausen
Prof. Mechtild Steuer
Isa Tlustek
Dipl.-Ing. Arthur Ziegert
Heribert Steuer
Dipl.-Ing. Janet Ruppersberger
Harm Hein
Dipl.-Ing. Alan Schacht B.Eng.
Heide-Marie Zirme
Oxana Ladeck
Marvin Kade-Ladeck
Prof. Katarzyna Gehringer B.Eng.
Mato Patberg-Heintze
Mike Hofmann
Edgar Jüttner
Heide-Marie Gunpf B.A.
Bertha Ritter-Drubin
Hendrik Herrmann
Freia Hofmann
Christof Ditschlerin
Prof. Ada Wähner
Juergen Beier B.A.
Ernestine Karz
Kathy Kitzmann
Trudi Radisch
Elwira Hellwig
Catrin Bachmann
Wencke Heinrich
Frau Edda Hornig B.Eng.
Amanda Stadelmann-Mende
Hans-Ulrich Liebelt-Hauffer
Dariusz Reising-Ernst
Roderich Weitzel
Giorgio Trüb
Albin Schuchhardt
Robin Junk-Henk
Osman Salz MBA.
Marie-Luise Zorbach MBA.
Univ.Prof. Alexandros Junk
Univ.Prof. Charlotte Lindner MBA.
Stanislav Hoffmann
Philomena Salz
Dr. Jonas Fechner
Justine Dippel-Rosemann
Patricia Schäfer
Dipl.-Ing. Ekrem Thanel
Vitali Junken
Cornelius Scheuermann
Ulrike Albers
Dipl.-Ing. Hanns Nette
Herwig Krebs
Salih Köster
Monika Mühle-Hiller
Ilka Zimmer-Wesack
Frau Gudrun Huhn B.Sc.
Jonas Beyer
Carsten Junken
Alexandros Heintze
Friedericke Ruppersberger
Gertraude Salz-Gnatz
Ehrentraud Kroker
Gisa Budig-Löwer
Wolf-Dietrich Gotthard-Dussen van
Heimo Karge-Freudenberger
Ali Briemer-Klemm
Mahmut Hänel
Stefano Atzler
Catherine Cichorius
Sandra Hornig
Annamaria Margraf
Dr. Rotraud Gorlitz
Romy Zahn-Bien
Bernt Conradi
Wenzel Drubin
Dipl.-Ing. Dunja Hoffmann
Paolo Klotz-Hein
Anna-Maria Holzapfel
Julia Hecker-Krebs
Lidija Trapp
Gotthard Christoph
Marica Martin
Gundolf Walter
Oxana Stumpf
Josefa Junk
Mirco Girschner
Ellen Jessel-Walter
Eleonora Gehringer
Matthias Dowerg
Janusz Beckmann
Wibke Tschentscher-Wulf
Wendelin Zorbach MBA.
Gottfried Martin-Martin
Herr Mahmoud Schleich B.Sc.
Till Bolander
Ernest Schönland B.Eng.
Hüseyin Wulf-Schmidt
Dominik Jungfer
Magarete Schomber
Carin Mohaupt-Heser
Sara Johann
Hakan Kühnert
Heidemarie Junitz
Anna-Luise Seip-Hofmann
Dr. Elena Kade B.Sc.
Arnulf Süßebier
Jessika Schacht
Kuno Mälzer B.Eng.
Dogan Ruppersberger
Eveline Birnbaum
Dajana Meyer
Anthony Patberg
Judith Meyer
Ingried Ullrich
Frau Waltraud Weitzel B.A.
Alicia Ring
Daniela Wernecke-Hölzenbecher
Nadeshda Mentzel
Ing. Lucie Karz
Miroslav Krein
Katharine Mühle
Janet Johann B.A.
Univ.Prof. Henry Wohlgemut B.Eng.
Klaudia Seidel
Carla Schacht
Carlo Bohlander
Yusuf Sontag
Christina Geisel-Hesse
Univ.Prof. Canan Zorbach B.Sc.
Edit Dowerg
Herr Wieslaw Trupp
Frau Franziska Trupp B.Sc.
Hanny Martin
Wiltrud Geißler
Steffen Schlosser
Inken Gorlitz
Nadia Wirth
Dipl.-Ing. Alla Karge
Gülten Henschel
Siegrun Reinhardt
Univ.Prof. Ignatz Baum
Ing. Berta Oestrovsky B.Eng.
Dr. Jens-Uwe Ruppert
Till Karz
Mareile Birnbaum
Dr. Anastasia Gude
Univ.Prof. Harro Weller
Prof. Andrzej Gorlitz
Martin Rose B.A.
Katherina Ruppert
Siegrid Segebahn
Herr Gustav Noack
Herr Anton Mohaupt B.A.
Ing. Gertraude Holsten B.Sc.
Univ.Prof. Sebastian Sontag
Heide-Marie Adler B.Eng.
Isidor Heinrich
Frau Katarina Lindner
Ing. Wladimir Karz MBA.
Francisco Budig-Geisler
Viktoria Trub-Budig
Klaus-Ulrich Blümel B.A.
Ben Täsche
Sara Rogge
Massimo Dörschner
Jacek Bärer
Cora Steuer-Junken
Steven Weinhold B.A.
Dipl.-Ing. Sedat Sontag
Stephan Stolze-Holt
Prof. Marie Plath
Prof. Loretta Speer MBA.
Raisa Scholtz
Ing. Nils Pergande B.A.
Tina Radisch
Madlen Steinberg
Gregor Knappe B.Eng.
Zdenka Weiß
Frau Bruni Krein B.A.
Dipl.-Ing. Baldur Oderwald B.Sc.
Univ.Prof. Antoinette Wende B.A.
Evangelia Meyer-Mielcarek
Dr. Jane Kostolzin
Prof. Marijan Hoffmann
Stephen Heidrich
Veli Rädel
Prof. Emil Kruschwitz
Mareen Krebs-Hofmann
Hans-Albert Wirth
Paola Kroker-Klotz
Annelise Schwital
Malte Davids
Heinz-Otto Hermighausen
Annaliese Heser B.Sc.
Hans-Georg Schmidt
Paolo Wernecke
Dipl.-Ing. Ehrenfried Kranz MBA.
Univ.Prof. Athanasios Drub B.Sc.
Irmtrud Mohaupt-Etzler
Paula Heinz
Frau Patricia Gorlitz B.A.
Herr Recep Junk B.A.
Joana Zimmer B.A.
Evangelos Beyer
Franz Josef Herrmann
Lisette Schönland B.Eng.
Francesco Drub
Alena Steuer
Siegmar Mies-Baum
Edelgard Gnatz-Dobes
Gerard Förster
Hans-Bernd Trubin-Klemt
Zeljko Jessel
Univ.Prof. Undine Becker MBA.
Hanni Wieloch
Juan Schweitzer
Dr. Kristine Tschentscher
Baptist Vogt
Wally Wähner
Marlis Rogge B.Sc.
Elias Gierschner
Hubertus Dörschner
Isa Kramer-Matthäi
Denny Lachmann
Moritz Roht
Jolanta Nohlmans-Tschentscher
Frau Karolina Hörle
Kuno Dussen van
Wolfgang Beier-Mohaupt
Hartmuth Koch II
Belinda Reinhardt B.A.
Dipl.-Ing. Denise Beier
Bekir Cichorius-Döring
Dipl.-Ing. Cristina Vogt
Herr Hilmar Stumpf
Mandy Trüb
Prof. Heide Krebs
Ing. Nadeschda Bohlander
Danilo Hein-Scheibe
Theresa Schüler
Oxana Ortmann MBA.
Valerij Barth
Chantal Kade
Anny Dietz
Kristina Röhricht
Canan Berger-Hellwig
Dr. Lidia Flantz B.Sc.
Mattias Henk
Karlfried Sorgatz
Dipl.-Ing. Mirella Franke MBA.
Dipl.-Ing. Traudel Eigenwillig
Carmine Schacht
Dr. Wolf-Rüdiger Trüb
Prof. Susanne Heidrich B.Eng.
Ing. Kläre Radisch
Ing. Fredi Löffler
Uli Renner
Kai-Uwe Schäfer
Gülay Weinhold
Univ.Prof. Paul-Heinz Heinz
Heinrich Kramer
Heiner Rörricht
Olaf Wesack
Bela Naser-Löwer
Dino Kusch-Hiller
Sylwia Bolander
Prof. Susanne Rose
Ing. Justus Binner
Hans Georg Gorlitz-Schäfer
Patrik Ditschlerin
Milos Seifert
Anastasia Gunpf
Hasso Renner
Reinhilde Metz
Sarah Beckmann
Cordula Mangold
Kenneth Kramer
Erica Holsten
Sonia Gorlitz-Mude
Birgid Freudenberger
Dr. Zeki Eberth
Hans-Gerd Gnatz
Zlatko Ritter B.Eng.
Ryszard Lorch
Berndt Bähr
Prof. Jonas Scholtz
Adina Mitschke
Yusuf Steinberg B.A.
Frau Ellinor Tintzmann
Conrad Killer
Frau Gitte Hänel
Angelika Rosemann
Diethelm Hofmann
Katharina Käster MBA.
Mike Krein
Carl-Heinz Kraus
Carmelo Klapp-Berger
Berndt Mohaupt MBA.
Clara Ruppersberger
Univ.Prof. Gregor Gieß MBA.
Waltrud Gumprich
Ellinor Schmidtke B.Sc.
Gilda Segebahn
Wibke Pärtzelt-Wieloch
Pia Steuer
Cord Tröst
Hilma Kuhl
Angelique Adler
Herbert Budig
Kathi Hering
Friedo Ritter
Dipl.-Ing. Gisela Schuster B.A.
Ing. Ayse Schacht
Hellmut Bruder
Prof. Siegbert Scheuermann B.A.
Marco Conradi
Helmuth Langern-Steinberg
Frau Almuth Kostolzin B.A.
Prof. Tina Nohlmans MBA.
Dipl.-Ing. Julian Mühle
Maren Bachmann-Stumpf
Prof. Magdalena Bohlander B.Sc.
Aline Steinberg-Klingelhöfer
Inna Weinhage
Frau Margrit Beckmann
Univ.Prof. Sybilla Gehringer
Jan Gumprich
Jörn Hörle B.Sc.
Andreas Gunpf
Dipl.-Ing. Klaus-D. Kostolzin
Prof. Arif Mielcarek B.Eng.
Julius Kraushaar
Hans-Joachim Häring
Herr Rüdiger Ruppersberger
Gerti Ullrich
Prof. Kaspar Mosemann
Daniele Heintze B.Eng.
Giuseppe Preiß
Bianka Schuster-Ziegert
Ivonne Hahn
Fadime Reinhardt MBA.
Dr. Uli Segebahn
Ing. Gerti Franke
Ing. Dorothe Junken
Tülay Gnatz-Sorgatz
Annette Schwital
Fernando Neuschäfer
Dr. Diedrich Gerlach B.A.
Ewa Bolnbach-Textor
Herr Hansjoachim Geisler
Geraldine Reising MBA.
Cindy Stahr
Kay-Uwe Trapp
Bernhard Rogner B.Eng.
Hans-Gerhard Staude
Antonina Wagner
Anny Wagenknecht
Frau Maria Jopich
Wieslaw Käster
Uli Stolze MBA.
Ottilie Blümel
Ahmet Pärtzelt
Karl Meister B.Eng.
Nadeschda Pölitz
Frau Caren Schmidt MBA.
Luisa Hecker
Univ.Prof. Hans-Eberhard Bauer
Abbas Täsche
Bruno Hesse
Leni Heß
Mareile Oderwald-Hiller
Kaspar Römer
Erhardt Steinberg
Dörthe Hiller
Sigmar Briemer
Thorben Ruppert
Univ.Prof. Katharina Werner MBA.
Frau Nuray Mangold MBA.
Wencke Riehl-Stoll
Klaus-Ulrich Tlustek-Förster
Marlene Steckel B.A.
Klaus-Dieter Koch II B.A.
Moritz Schönland
Ing. Hedi Wulf
Hedda Mielcarek
Birte Gröttner MBA.
Hans-Henning Heydrich MBA.
Jerzy Mende-Wagenknecht
Rainer Scheel B.Eng.
Ingo Heinz
Eugenia Anders B.A.
Irmtraut Wende
Ing. Ortrun Weimer
Uschi Dobes
Maya Lindner-Zimmer
Ing. Wenke Karge B.Sc.
Justus Schüler MBA.
Jessica Gotthard
Hildegunde Geißler-Klemm
Tino Paffrath B.Eng.
Radmila Linke MBA.
Ing. Helen Gumprich B.Sc.
Marko Kensy-Atzler
Magnus Heidrich
Jerzy Hermighausen-Lübs
Bogdan Römer B.Eng.
Prof. Natalia Junck B.Sc.
Dipl.-Ing. Enver Drubin
Ulf Kensy MBA.
Henriette Pohl
Rena Rohleder
Karsten Kraushaar B.A.
Enrico Hellwig
Dörte Schlosser
Gusti Vollbrecht
Dolores Stey-Matthäi
Gebhard Krein
Rolf-Dieter Jacobi Jäckel-Nerger
Dr. Ingelore Winkler
Dr. Nadeschda Wulf
Daria Stiffel
Ing. Paolo Meister
Ing. Karl-Peter Weinhold B.Sc.
Agnes Vollbrecht
Ing. Galina Hahn
Anto Tröst-Schäfer
Herr Steven Eberhardt
Marzena Hein
Frau Cordula Anders B.Eng.
Selma Girschner B.Sc.
Ing. Kristina Biggen
Dorothee Blümel
Aldo Förster
Dr. Egbert Kraus
Ing. Ignaz Rose
Milica Reichmann
Mariana Jüttner
Willfried Mende
Ing. Maike Hölzenbecher B.A.
Ingetraud Freudenberger
Torben Schweitzer
Prof. Karen Henk MBA.
Evi Heuser
Halina Lachmann
Aline Atzler-Beckmann
Apollonia Trüb B.A.
Marleen Etzler
Prof. Henriette Killer
Georgine Schinke
Carl-Heinz Steinberg
Otmar Wende
Jeannette Schleich
Anneli Schleich-Ullmann
Prof. Guiseppe Gröttner B.Sc.
Ute Conradi-Trüb
Frau Rosalinde Riehl
Ingelore Kobelt MBA.
Rabea Weiß MBA.
Ehrentraud Hänel-Dussen van
Konstantinos Linke B.Eng.
Ing. Hulda Schaaf
Hilda Metz-Dehmel
Univ.Prof. Christa-Maria Lehmann B.A.
Benita Hahn-Wieloch
Siegrun Christoph
Sigurd Holsten B.Sc.
Janine Söding
Herlinde Birnbaum
Selim Pieper
Nadeshda Hänel-Kaul
Kreszentia Bloch-Steckel
Dipl.-Ing. Engin Jähn B.A.
Anni Kraus
Hakan Kitzmann-Scholl
Emma Briemer
Rouven Bloch B.A.
Desiree Klotz
Traudl Christoph
Anne-Rose Klemm
Willibald Boucsein B.Sc.
Gert Kensy B.A.
Ing. Maren Schenk
Eleni Krause B.A.
Erik Wirth B.Eng.
Gabriel Süßebier-Eigenwillig
Ioannis Junck
Univ.Prof. Baptist Mende MBA.
Magarete Krause
Dipl.-Ing. Utz Henschel MBA.
Dipl.-Ing. Sieglinde Fischer B.Eng.
Ryszard Süßebier-Neureuther
Horst-Günter Zirme
Horst-Peter Thies
Univ.Prof. Sergio Kreusel MBA.
Artur Budig
Reimar Klemm MBA.
Detlev Stadelmann
Dipl.-Ing. Gilbert Plath B.Sc.
Frau Mira Klemm
Annelore Riehl
Yvette Süßebier
Saskia Heidrich
Astrid Nerger-Tröst
Prof. Emine Beer
Curt Jopich
Univ.Prof. Ludwig Jähn B.A.
Herr Roman Sontag B.Sc.
Berthold Haase-Trub
Marlen Jacobi Jäckel B.Eng.
Univ.Prof. Inga Hermighausen B.Eng.
Ben Zahn
Margrit Schenk B.A.
Ing. Rosina Kabus MBA.
Madeleine Henk
Antonie Heser B.Sc.
Klaus-Peter Zorbach
Gabi Harloff
Angelique Speer B.A.
Cetin Heidrich
Sabrina Schomber
Anna-Luise Eckbauer
Ewa Kade
André Segebahn
Hans-Jörg Lachmann
Ing. Giorgio Warmer B.Eng.
Patrick Pärtzelt-Henck
Hans Misicher
Univ.Prof. Hugo Martin
Univ.Prof. Pia Schlosser MBA.
Ben Eimer-Loos
Ehrenfried Stiffel
Adina Söding
Gotthilf Gehringer B.A.
Christiane Roht
Dr. Mario Lorch
Frau Dorothe Mielcarek
Dipl.-Ing. Lara Tlustek
Univ.Prof. Bela Kraus
Abraham Adler
Dipl.-Ing. Jiri Walter
Univ.Prof. Clara Heidrich B.Sc.
Annette Ullmann
Alina Schmiedecke
Ing. Georg Lübs
Ignaz Schottin
Ing. Siegmar Meyer B.A.
Dr. Jan-Peter Döhn B.A.
Prof. Gülay Birnbaum
Heinz-Joachim Trupp
Gaetano Köhler
Anastasios Drub
Elena Gotthard
Ing. Margareta Hethur B.A.
Leander Dobes-Schlosser
Pirmin Reising
Aleksej Lehmann
Henni Mälzer-Tlustek
Notburga Huhn
Univ.Prof. Christoph Beier B.A.
Luka Binner
Centa Krebs-Stadelmann
Timm Schönland
Lena Wende
Conny Fliegner
Dipl.-Ing. Nathalie Bender
Fredo Paffrath-Kohl
Univ.Prof. Nermin Rosemann B.Sc.
Karsten Wohlgemut
Geert Rudolph
Dipl.-Ing. Berend Niemeier
Margret Hentschel-Davids
Moritz Holzapfel
Brigitte Knappe
Pius Römer MBA.
Pedro Hande B.Sc.
Heinz-Gerd Gorlitz B.Eng.
Valentin Gute
Abdul Trüb MBA.
Till Tlustek
Rahel Dörschner
Dr. Anika auch Schlauchin B.Sc.
Ing. Denny Mende
Silvia Weiß
Lili Heydrich-Beyer
Günter Rudolph B.Eng.
Massimo Hecker
Dr. Edith Ring B.Sc.
Hedi Gumprich
Thoralf Geisel
Antje Etzold
André Kroker
Andreas Birnbaum-Kallert
Adriana Vogt
Univ.Prof. Harro Fröhlich
Prof. Helmut Hellwig MBA.
Mariusz Stadelmann-Jähn
Ing. Roman Tröst
Dr. Melitta Mans B.Eng.
Prof. Emine Wulf B.Eng.
Margarete Mohaupt B.Sc.
Hedi Bärer
Susana Schaaf
Sophie Pruschke
René Gude B.A.
Stilla Klotz
Klaus-Michael Mälzer
Frau Jane Sauer
Emilia Wagenknecht-Riehl
Markus Eimer
Gusti Wagenknecht
Karen Rädel
Hans-Hinrich Bohlander
Heinz-Walter Juncken
Univ.Prof. Antonina Becker
Kazim Tschentscher
Hans-Rudolf Dehmel
Elli Junck
Dorothea Etzler
Prof. Gesine Lange
Dipl.-Ing. Hans-Michael Stiffel B.Sc.
Egbert Jüttner
Prof. Theobald Mangold
Lilo Hartung
Zofia Gutknecht
Janna Kambs
Nermin Kranz-Austermühle
Dr. Annaliese Lindner
Andree Wilmsen B.Eng.
Ing. Christa-Maria Liebelt
Ing. Pawel Rörricht
Dipl.-Ing. Patricia Werner B.Sc.
Peggy Holt
Zlatko Briemer-Karge
Elenore Hofmann-Aumann
Britt Schwital-Seip
Geert Etzold
Henner Schmidt
Jens-Uwe Geisler
Zita Ullmann-Heydrich
Thekla Schäfer
Xenia Hermann
Magret Bähr
Annett Mies-Hellwig
Alfredo Oestrovsky
Ekkehart Niemeier
Herr Gordon Meister
Hanna Jäntsch MBA.
Ing. Irmtraud Wiek MBA.
Jerzy Wagenknecht B.A.
Dipl.-Ing. Viktor Scheibe MBA.
Prof. Klaus Peter Bruder
Horst-Peter Riehl
Heidelore Stolze
Gerold Thanel
Reimar Jacob-Loos
Marion Wohlgemut B.A.
Prof. Ulla Dussen van B.Sc.
Hanns Bender
Univ.Prof. Suse Lachmann B.Sc.
Ulf Dörschner
Resi Ullmann
Roselinde Kusch-Röhrdanz
Zbigniew Höfig B.Eng.
Deborah Beier
Clara Gehringer
Sieghard Stoll-Harloff
Jonathan Schottin-Naser
Igor Zobel B.A.
Roland Ring
Guenter Wende
Frau Zdenka Boucsein B.Eng.
Monika Krein B.Eng.
Erhard Reinhardt
Sibylla Koch MBA.
Ing. Alf Lachmann
Herr Jonathan Beckmann B.A.
Bozena Schuchhardt
Ing. Wolf-Rüdiger Herrmann B.Sc.
Ing. Erwin Kobelt B.A.
Elly Hande
