Student
Justus Lorch
Magnus Heidrich
Sevim Ackermann
Mary Staude
Lisbeth Hentschel
Zoltan Preiß B.Eng.
Gilda Rohleder
Bernhard Fischer
Rosita Peukert-Scheibe
Univ.Prof. Dorle Röhrdanz B.A.
Univ.Prof. Elfriede Rohleder
Ramona Henk B.Sc.
Falko Schüler
Herr Alois Thanel B.Sc.
Michail Schmidt
Univ.Prof. Heinz-Dieter Schuster
Dolores Conradi
Eberhardt Gute
Traugott Textor-Wagenknecht
Univ.Prof. Mira Riehl
Birgid Graf
Ian Briemer B.Eng.
Hellmuth Söding-Bonbach
Swen Schweitzer B.Sc.
Stanislav Löffler MBA.
Ing. Rolf Gertz
Dipl.-Ing. Ingolf Krein
Hedwig Matthäi
Evelyne Beyer
Bartholomäus Trapp
Alexei Meister
Ingelore Kobelt MBA.
Alwin Löffler B.A.
Antonina Pärtzelt-Gerlach
Dennis Beer-Striebitz
Hanne Ackermann
Josefa Lange
Vassilios Kramer
Janus Jessel-Hermann
Evangelia Stumpf-Ruppersberger
Gertraud Mende
Dr. Maren Steckel B.Sc.
Baldur Metz
Prof. Dolores Butte
Bruno Wagenknecht
Jasmina Heuser
Herr Jost Ruppersberger B.A.
Prof. Timo Schleich MBA.
Friedemann Kostolzin
Francesca Wieloch
Matthias Dowerg
Heinz-Günter Boucsein
Friedericke Bolzmann
Univ.Prof. Jörg Jessel MBA.
Tillmann Mude
Walther Hofmann
Violetta Beyer
Dusan Dussen van
Johann Rust
Meta Wagenknecht
Helmtrud Atzler
Klaus-Werner Jäkel-Holsten
Annamaria Scholtz
Andrei Wulff
Catrin Hamann
Herr Aleksandr Wiek B.Sc.
Ing. Thekla Beyer B.Sc.
Evangelia Harloff B.A.
Prof. Aribert Eberhardt B.Sc.
Dr. Constance Römer
Dipl.-Ing. Herta Fliegner MBA.
Karl Heinz Kruschwitz-Reising
Siegbert Seifert
Vesna Wähner
Hedi Butte-Neuschäfer
Ing. Siglinde Speer MBA.
Ernest Stahr
Hanife Täsche-Stiffel
Ercan Oestrovsky B.Eng.
Reimar Jacob-Loos
Wenke Patberg
Jiri Bärer
Gerhild Gude
Eckhard Weitzel
Frau Rosalinde Riehl
Dr. Krista Jäkel B.A.
Karsten Kraushaar B.A.
Univ.Prof. Roman Misicher
Erica Lachmann
Frau Gilda Ebert
Kuno Kreusel
Halina Lachmann
Isidor Zobel-Ritter
Aurelia Dussen van MBA.
Univ.Prof. Linus Seifert
Tülay Scholtz
Dipl.-Ing. Gabriel Roskoth
Dino Martin
Sibel Hörle
Torsten Schwital-Gude
Frau Brigitta Bohlander MBA.
Dr. Jeanette Schuchhardt B.Eng.
Univ.Prof. Sahin Freudenberger B.A.
Brita Flantz-Knappe
Damaris Eigenwillig
Ronny Dippel
Fatih Bohlander
Ralf-Dieter Rörricht B.Eng.
Herr Yilmaz Vollbrecht B.Eng.
Irmi Döhn
Stilla Hornig B.A.
Univ.Prof. Ayten Lorch
Dörte Nette
Zlatko Kraus
Prof. Kunigunda Pergande MBA.
Aziz Bauer MBA.
Ditmar Bien
Notburga Weller MBA.
Abram Eckbauer B.A.
Annemarie Schaaf B.Sc.
Niko Gutknecht B.Sc.
Rosa-Maria Losekann-Schulz
Egon Paffrath
Stephan Warmer B.Eng.
Herr Francis Scholtz
Ing. Selim Tintzmann B.A.
Valentine Bähr B.A.
Marie-Luise Zorbach MBA.
Daniela Löwer
Conny Metz
Prof. Falko Trapp B.Eng.
Ignatz Wähner-Hänel
Justus Aumann
Hans-Christian Roht
Kathi Hering
Karl Zirme
Dr. Daniel Trommler
Cornelius Scheuermann
Luka Stiffel
Arnulf Kusch
Ing. Sebastian Killer B.A.
Aleksandr Schuster B.A.
Beatrix Gehringer
Wilhelm Walter
Sylvio Stiffel
Marit Mühle
Lisette Stoll B.Eng.
Raphael Bonbach MBA.
Johanna Finke-Ehlert
Univ.Prof. Alexandros Junk
Vladimir Wulf B.A.
Arnulf Ullmann
Karl-Hans Schuchhardt-Mohaupt
Aysel van der Dussen-Jäntsch
Fernando Dobes
Benjamin Stoll
Sylke Ehlert
Inka Meyer
Marisa Hartmann-Kusch
Herr Herbert Dowerg
Christel Mangold
Ottilie Hartung
Vassilios Trommler-Gieß
Hans-Karl Christoph-Schleich
Herr Ronald Reising B.Sc.
Balthasar Holsten
Sigmar Briemer
Artur Budig
Klaus-Michael Fiebig
Bogdan Zirme
Univ.Prof. Cynthia Löwer
Dr. Jan-Peter Döhn B.A.
Dr. Ian Grein Groth
Valerie Losekann
Vincenzo Jopich
Sieghard Sorgatz
Paulina Oderwald
Lili Döhn-Margraf
Balthasar Müller-Drub
Iwan Käster
Conny Zirme B.Sc.
Hermann-Josef Loos
Frau Evelin Löffler
Karl-Hans Hande-Schuster
Prof. Sahin Kreusel
Franca Buchholz
Guenter Lachmann
Ing. Valentina Börner
Kreszentia Pölitz-Karge
Angela Weimer
Hans-Karl Rust MBA.
Siegbert Kranz
Adam Seifert
Hans-Helmut Wesack
Irmgard Pieper B.Eng.
Florence Schulz
Paula Heinz
Hatice Killer-Löwer
Eileen Hartung
Traude Kuhl
Rotraut Bachmann
Dipl.-Ing. Karl-Heinz Rörricht
Univ.Prof. Ottfried Scholl
Attila Losekann B.Sc.
Karl Heinz Hörle
Franz Schweitzer
Lene Hermann-Kaul
Gilda Scholz
Univ.Prof. Giovanna Siering MBA.
Hannes Meyer
Maurizio Hermann
Kirsten Heydrich
Dipl.-Ing. Engin Jähn B.A.
Gitta Mohaupt
Isabell Eberth-Pechel
Zeljko Henck
Reiner Conradi
Dipl.-Ing. Danuta Stumpf B.Eng.
Elif Wohlgemut
Eva-Maria Zänker
Magdalene Hering MBA.
Clemens Kabus
Jana Langern
Dr. Rosmarie Seip
Siegmar Kramer
Dorit Ebert
Dipl.-Ing. Matteo Baum
Heinz-Jürgen Adolph
Ing. Carolin Matthäi
Harri Heuser
Sigrid Jockel
Aribert Kusch
Annegret Atzler
Betti Zirme B.A.
Helmuth Wagner
Dipl.-Ing. Gisa Jüttner B.Sc.
Prof. Evelyn Henk
Dr. Zeljko Pruschke
Nicolaus Franke-Paffrath
Änne Tlustek-Freudenberger
Joerg Zimmer-Kusch
Marek Hesse B.Eng.
Herr Edmund Hesse
Frau Reinhilde Wirth MBA.
Horst Hauffer B.Eng.
Dipl.-Ing. Petar Lübs
Marie-Louise Killer-Etzler
Frau Krista Rädel B.Sc.
Swen Wirth
Evangelos Hartmann B.A.
Walfried Klotz-Klotz
Almuth Haase
Ramon Salz
Janin Hermann
Kornelius Heintze-Baum
Annelore Juncken
Annie Hänel
Hedda Haase
Leonard Kostolzin
Wibke Cichorius
Dipl.-Ing. John Ortmann MBA.
Ing. Anika Jüttner
Falko Kusch B.A.
Univ.Prof. Jacqueline Faust
Univ.Prof. Karl-Otto Dowerg MBA.
Ing. Jonas Schaaf
Jörn Barth-Möchlichen
Prof. Liliana Klemm MBA.
Franz Steuer
Franz-Josef Etzold
Zbigniew Boucsein
Almut Trupp
Bianka Dobes-Seifert
Sibilla Bachmann
Filippo Juncken
Fred Wende
Milos Seifert
Lara Oderwald
Dr. Mariusz Beckmann
Hans-Jochen Mude
Herr Thomas Baum
Prof. Jolanthe Gude
Matthäus Striebitz-Zirme
Micha Schottin
Dr. Sigrun Schönland B.A.
Marieluise Kruschwitz
Theda Klotz
Prof. Orhan Ladeck MBA.
Hanna Speer
Ingetraud Fiebig
Eva-Marie Hendriks
Valeria Conradi
Prof. Diether Neureuther
Prof. Janus Walter B.A.
Miodrag Dörr-Austermühle
Dr. Angelica Trüb
André Kraushaar-Henck
Willy Hornig
Cindy Rogge-Dippel
Detlev Weihmann-Schäfer
Fredi Meyer-Weiß
Siegmund Heidrich
Mercedes Christoph
Kirstin Boucsein B.Eng.
Vincenzo Steinberg B.Sc.
Frederik Rust
Camilla Jäntsch
Artur Kreusel
Alois Werner
Prof. Irena Höfig
Eberhard Rust B.A.
Geraldine Gutknecht
Inken Gorlitz
Felizitas Becker-Mosemann
Urs Matthäi
Lars Walter
Ludmilla Pieper
Rosa-Maria Steckel
Emin van der Dussen
Damaris Bien
Paulina Bender-Liebelt
Friedemann Stoll
Stjepan Schmidtke
Univ.Prof. Rene Jacobi Jäckel B.Eng.
Ilias Weiß MBA.
Oxana Ortmann MBA.
Horst-Dieter Seifert
Frau Edda Hornig B.Eng.
Mehdi Neureuther
Ing. Eva Kitzmann B.A.
Dominik Huhn
Ing. Carla Ziegert B.Eng.
Katharina Speer
Bert Ortmann
Alois Knappe
Timo Spieß
Romy Zahn-Bien
Viviane Fritsch-Martin
Angelique Wesack B.Eng.
Birgid Drewes-Seifert
Bernard Karge
Patrick Anders-Stolze
Prof. Theobald Mangold
Miroslaw Hentschel-Stoll
Magrit Lange
Hans-Martin Kambs
Mark Gute-Faust
Agnes Ullmann
Albrecht Metz B.A.
Hildegunde Geißler-Klemm
Slawomir Drub-Gute
Prof. Patrik Scheel
Hilmar Ziegert
Achim Etzold MBA.
Dipl.-Ing. Patricia Werner B.Sc.
Arzu Stiffel-Drubin
Zeljko Baum
Dipl.-Ing. Elisabeth Wiek
Elvira Mälzer
Susanna Beyer B.Eng.
Slavica Koch
Ricardo Hesse
Herr Julian Gotthard B.Eng.
Daniele Hering
Franco Radisch
Inka Hornig B.A.
Jessica Stumpf
Elisa Steinberg
Anna-Marie Ullrich
Manja Koch II-Heuser
Jessica Gotthard
Wilfried Steinberg
Frau Juliane Schulz B.Sc.
Betty Steinberg
Kaspar Hänel
Cornelia Schinke
Georgia Bärer
Herr Gerold Kreusel
Prof. Petar Köhler
Cristina Salz B.Sc.
Univ.Prof. Halil Staude
Frau Kirsten Boucsein
Hedda Mielcarek
Dr. Ayse Martin MBA.
Swantje Binner B.A.
Janko Neureuther
Hildegunde Staude
Fatima Weinhage-Boucsein
Georg Misicher
Roderich Ehlert-Henk
Reinhilde Hesse B.Sc.
Heino Zahn-Bähr
Osman Schäfer
Geza Beckmann
Michaele Neureuther
Karl-Heinz Hahn
Harry Lange
Heinz-Willi Holt
Univ.Prof. Siegrun Klingelhöfer MBA.
Wiltrud Wilmsen-Graf
Univ.Prof. Marleen Kabus
Frau Zdenka Zimmer
Frau Rosa-Maria Sauer B.Sc.
Annaliese Lübs
Dominik Jungfer
Anselm Dowerg
Henryk Textor-Gröttner
Dagobert Bohnbach
Ingetraud Freudenberger
Wencke Heinrich
Univ.Prof. Gino Wagner B.Sc.
Dr. Wencke Junken B.Eng.
Jorge Weitzel
Roswita Henck
Gabriella Rädel
Prof. Johannes Holzapfel MBA.
Iris Ullrich
Roger Gunpf-Paffrath
Loni van der Dussen B.Sc.
Karl-Josef Thanel
Cemal Hamann
Urban Peukert
Dr. Hans-Albert Stroh
Horst-Peter Riehl
Regine Wende B.A.
Prof. Ingbert Nette
Tanja Henk
Henri Wilms
Herr Andy Förster B.A.
Annamaria Hesse
Ing. Vesna Kroker B.Eng.
Dierk Gunpf B.A.
Lidija Pärtzelt
Prof. Susanne Rose
Frau Ilka Pärtzelt B.Eng.
Frauke Staude
Constantin Kraus
Nadeschda Hande
Cäcilie Patberg
Bayram Meister
Dr. Sybille Bärer B.Sc.
Ing. Katarzyna Noack
Univ.Prof. Ditmar Mitschke B.A.
Karl-Josef Schottin-Hoffmann
Tina Henschel
Torben Roskoth-Wilmsen
Marco Schinke B.Eng.
Prof. Johan van der Dussen
Gerald Hendriks
Dajana Ring
Mattias Sorgatz-Haase
Hannchen Löwer B.Eng.
Roswita Gumprich-Butte
Herr Urban Christoph
Ulrike Schleich-Süßebier
Prof. Vesna Scholz
Frau Wenke Klemt
Hans-Erich Preiß
Anatolij Jüttner-Bauer
Joana Preiß
Samuel Ackermann
Hanns Zänker B.A.
Senol Hölzenbecher
Lukas Ditschlerin
Katharina Etzler
Curt Mühle
Gerda Mans
Anika Holsten
Hilde Lübs
Anke Bähr
Ing. Hannes Jähn B.Sc.
Klaus-Ulrich Blümel B.A.
Erich Klotz B.Sc.
Natalja Seidel
Hildegart Scheel B.A.
Bertha Barkholz
Abdul Ullmann
Iwan Schleich
Erica Renner-Trapp
Herr Ilja Kroker
Fanny Bolnbach B.Sc.
Bernhardine Schuchhardt
Sigmar Zobel
Tomas Gröttner
Stephanie Beer
Frau Ellinor Tintzmann
Bodo Finke
Elfie Jäkel
Marta Sontag
Frau Rosalinde Mitschke B.A.
Svetlana Schenk-Barth
Stavros Hoffmann
Univ.Prof. Brigitte Rogner
Herr Bartholomäus Adolph MBA.
Dorina Fiebig
Urszula Trapp
Adalbert Boucsein
Dominik Spieß
Jennifer Hoffmann
Nikolaj Scholz
Bärbel auch Schlauchin
Marta Herrmann
Hugo Ruppert-Kade
Dipl.-Ing. Gabi Scholtz
Herr Ruben Schüler B.Eng.
Alexej Kohl
Univ.Prof. Nermin Rosemann B.Sc.
Monika Haering
Dipl.-Ing. Gudula Margraf B.Sc.
Jonas Beyer
Svetlana Bohlander B.Sc.
Univ.Prof. Mahmoud Liebelt
Ing. Bernfried Pruschke
Domenico Reichmann
Gunhild Ullmann
Gregor Jungfer
Francisco Schmidtke-Albers
Dr. Marco Scheuermann
Heinz-Joachim Stiebitz
Thomas Hentschel
Franz Josef Flantz
Gisela Hornich-Metz
Peggy Sauer
Univ.Prof. Sebastian Sontag
Prof. Pedro Schmidt B.Eng.
Nuray Aumann
Ing. Dagmar Bohnbach B.Eng.
Gertraude Hahn
Abram Scholz B.Sc.
Prof. Katarzyna Gehringer B.Eng.
Otto Lindner
Stefania Möchlichen
Ada Heser B.Sc.
Metin Klemt
Margitta Wulf-Nerger
Marcella Ehlert
Riza Heydrich
Giovanni Weller-Söding
Silvia Henschel
Herma Möchlichen
Gülsen Benthin
Ing. Frederic Christoph B.Eng.
Univ.Prof. Marc Schmiedt
Nadeschda Barkholz
Herr Rüdiger Ruppersberger
Aline Atzler-Beckmann
Matteo Krein-Müller
Traugott Ruppert
Dr. Catharina Gerlach B.Eng.
Nadeschda Rädel
Cilli Röhricht
Aloisia Faust
Andreas Trapp
Dipl.-Ing. Waltraut Kallert
Marit Eberth
René Rose-Krebs
Kazim Junken
Nicolai Gutknecht
Anna-Lena Sontag-Köhler
Juan Briemer-Textor
Sinaida Heinz-Gnatz
Solveig Scheibe
Alina Schmiedecke
Andre Metz B.A.
Elise Trupp
Jann Schenk
Peggy Haering B.Sc.
Olav Thies
Chantal Fröhlich
Damian Hentschel
Jacqueline Hofmann
Carsten Junken
Adina Söding
Dr. Danica Scheuermann B.Sc.
Sonia Säuberlich-Langern
André Sauer
Angela Stiffel
Prof. Ahmad Rörricht
Dipl.-Ing. Walburga Steckel
Dr. Frederike Hering B.Eng.
Sami Linke B.A.
Gerhart Hentschel
Gina Schmidtke
Gabriela Gierschner
Univ.Prof. Vinko Tschentscher
Wiebke Caspar B.A.
Saskia Heidrich
Goran Benthin
Mechtild Patberg
Baldur Knappe
Wiltrud Jäkel
Horst-Peter Ritter
Ruth Hartung
Franz-Peter Benthin-Reichmann
Harold Bähr B.A.
Maritta Bien
Hajo Kranz-Heser
Imelda Geißler
Jost Gröttner-Mülichen
Fredy Bachmann B.Eng.
Benita Hahn-Wieloch
Ekrem Spieß
Prof. Ilse Schmiedecke
Egbert Heintze
Miriam Hentschel
Ing. Valentine Scheibe
Ing. Magda Jäntsch
Valerie Mangold
Mariola Tlustek MBA.
Wieslaw Löchel
Dr. Marianne Reising
Anatol Hübel
Robby Weller
Kathi Etzler
Frau Trude Walter B.A.
Hans-Friedrich Ruppert-Ullrich
Cecilia Stoll
Yvette Dietz
Pavel Ehlert
Stavros Hentschel B.Eng.
Prof. Heinz-Willi Lindau MBA.
Monique Rose-Schuchhardt
Ellen Vogt
Konstantinos Seifert
Dr. Peggy Beyer B.Sc.
Achim Mülichen-Schleich
Prof. Klaus Peter Hellwig B.Sc.
Dipl.-Ing. Nuray Mude B.Sc.
Stanislaw Misicher
Herr Eberhardt Gierschner
Bernhard Becker
Univ.Prof. Gregor Gieß MBA.
Amalia Wulf
Mandy Scholl-Bohnbach
Hans-Günther Scheuermann B.Eng.
Harro Trapp B.Eng.
Bruno Henschel
Johan Baum
Herr Maik Klemt MBA.
Angelique Adler
Piotr Hande
Klaus-Dieter Hecker
Dörte Dobes-Bonbach
Dr. Adriane Bärer B.Eng.
Marcel Schlosser
Rocco Trub
Univ.Prof. Therese Hänel
Regina Wende
Alessandro Henk-Käster
Lilly Beckmann B.Sc.
Univ.Prof. Philomena Kensy
Ing. Maren Schenk
Harro Keudel
Friedericke Killer B.Eng.
Leonhard Adolph
Wieslaw Oestrovsky MBA.
Margit Losekann
Marlen Wende
Leonardo Birnbaum
Eckehard Wernecke
Herr Thorben Jacob
Dipl.-Ing. Patric Fröhlich
Univ.Prof. Ioannis Lübs B.Eng.
Karl-Wilhelm Rogner
Philip Mangold
Insa Peukert
Gebhard Krein
Dr. Lisa Kusch
Franz-Xaver Bachmann
Francesco Drub
Carin Binner
Ingetraud Caspar
Johanna Bohlander
Dipl.-Ing. Margaretha Köhler B.Eng.
Gülsen Gutknecht
Gülten Henschel
Karl-Ernst Drewes-Drubin
Univ.Prof. Suzanne Paffrath
Uschi Keudel
Dipl.-Ing. Jost Bruder B.Eng.
Dipl.-Ing. Ingbert Krebs B.Eng.
Philipp Lorch
Hannchen Drewes B.Sc.
Mirko Bolander
Rosalia Heydrich
Prof. Hans Dieter Kitzmann MBA.
Adolfine Wilms
Florian Weimer
Gerdi Neureuther-Mälzer
Laila Kranz
Ehrhard Bohnbach B.Eng.
Erdmute Mosemann
Ing. Hulda Schaaf
Apostolos Kreusel-Noack
Ing. Nicolai Textor B.A.
Faruk Schomber
Lukas Zirme
Prof. Gunther Klingelhöfer
Willy Reichmann
Zeki Hartung
Univ.Prof. Gustav Sölzer
Arnold Oderwald
Karl-Heinrich Jacob
Waltraut Ernst
Luka Zorbach
Carl-Heinz Kraus
Traudl Röhrdanz-Spieß
Ellen Trub
Hans-Josef Butte-Dussen van
Prof. Emine Beer
Siegrun Christoph
Nicolai Röhricht-Spieß
Hulda Junk
Dipl.-Ing. Babette Bauer B.Sc.
Univ.Prof. Edit Ehlert B.Eng.
Margaret Kraus
Ing. Gotthard Reuter B.A.
Prof. Magdalena Bohlander B.Sc.
Magarete Klingelhöfer-Mans
Prof. Mohammed Kambs
Siegbert Bachmann-Hövel
Dipl.-Ing. Nikolaus Conradi MBA.
Ing. Thomas Drewes B.A.
Herr Süleyman Karge MBA.
Veit Beckmann
Prof. Pascale Kruschwitz
Hans Dieter Stahr
Resi Margraf
Abdul Klapp-Hethur
Ottfried Peukert-Schulz
Dipl.-Ing. Detlef Schacht
Marzena Jüttner-Jockel
Dipl.-Ing. Detlef Trommler
Ing. Leander Weimer B.Eng.
Irmtraut Süßebier
Hans Georg Niemeier
Dr. Kristine Tschentscher
Evangelia Röhricht
Prof. Tina Nohlmans MBA.
Frau Yvonne Trupp B.A.
Dr. Gabriel Freudenberger MBA.
Gerfried Dippel
Johann Seidel
Simona Lorch
Angelina Ruppert-Siering
Kristian Rosemann B.Sc.
Karl-Dieter Segebahn-Köster
Ing. Aldo Pechel B.Eng.
Ullrich Preiß
Nermin Kranz-Austermühle
Karla Freudenberger MBA.
Dipl.-Ing. Annelise Naser
Dipl.-Ing. Nathalie Radisch
Ayse Thies B.Eng.
Cornelia Gehringer
Dr. Lisa Stroh B.Sc.
Katherina Bien
Ing. Agnes Zobel
Heinz-Georg Heidrich
Ludwig Reinhardt
Susi Grein Groth-Steuer
Hans-Bernd Kabus
Jeannette Schleich
Ehrentraud Kroker
Univ.Prof. Anne-Kathrin Gerlach B.Sc.
Peter-Michael Kostolzin
Fritz Schenk B.A.
Ing. Helmuth Bruder
Hatice Jessel
Rüdiger Hellwig B.A.
Alois Jungfer B.Eng.
Adelbert Austermühle
Dagobert Hornig
Liesbeth Koch II
Alessandro Caspar
Annaliese Gerlach
Jonathan Schottin-Naser
Dipl.-Ing. Jaroslav Henk
Eckehard Nette
Dipl.-Ing. Baldur Oderwald B.Sc.
Dr. Ralf Hölzenbecher
Bertram Höfig B.Sc.
Julia Hecker-Krebs
Irmtrud Klingelhöfer
Danny Mälzer
Dr. Damian Scheel
Ing. Petar Wilmsen
Olivia Thies B.A.
Anne-Rose Hettner B.A.
Oliver Biggen
Leonardo Klingelhöfer B.Sc.
Gertrude Kostolzin MBA.
Serge Grein Groth
Ingmar Hauffer
Andrej Geißler-Beckmann
Hanni Wieloch
Olga Albers B.Sc.
Charles Anders
Dogan Sauer
Igor Zobel B.A.
Peer Bärer
Rosa Heuser
Gloria Schulz-Huhn
Gesa Bender
Hassan Kroker-Girschner
Gaby Bähr
Ralph Fröhlich
Magarete Schomber
Univ.Prof. Traude Gertz
Prof. Janin Dietz
Gottlieb Kade
Melitta Fliegner
Siegmund Schleich MBA.
Hans-Rainer Rogner
Hannchen Zahn
Anne-Marie Stumpf
Carsten Jüttner B.Eng.
Sören Spieß
Meta Harloff
Dipl.-Ing. Ladislaus Weinhold
Prof. Ignaz Cichorius
Franz-Xaver Scholtz
Herr David Freudenberger B.Eng.
Dipl.-Ing. Lilly Trüb
Luis Oderwald
Eggert Rörricht-Schwital
Alfons Schleich B.A.
Dipl.-Ing. Eveline Jäkel MBA.
Pia Fliegner
Herr Hans Peter Jacob
Joachim Fischer
Stephan Stolze-Holt
Evangelos Staude
Elizabeth Jacob
Dr. Abdullah Becker
Ing. Jeanette Rosemann B.Eng.
Ramon Jäntsch-Gertz
Josip Hiller-Hauffer
Friedo Lorch
Dierk Beier
Yasmin Wiek
Jasmina Bolzmann
Madlen Trupp B.Eng.
Lilija Kensy
Ralf-Peter Schacht
Dr. Katalin Knappe B.Eng.
Hans-Friedrich Heydrich
Ehrhard Förster
Elizabeth Stahr
Mina Segebahn B.A.
Anne-Katrin Butte MBA.
Ilonka Buchholz-Köhler
Julia Mosemann
Daniela Siering
Sabrina Kohl
Irmtraut Noack
Frau Franziska Trupp B.Sc.
Univ.Prof. Jörg-Peter Riehl
Irmtraut Ortmann MBA.
Gundel Dietz
Wolf-Rüdiger Börner
Dipl.-Ing. Reimer Werner MBA.
Sigurd Lange-Seifert
Erdal Bruder
Friedericke Lehmann B.Sc.
Dipl.-Ing. Laila Scheuermann B.Sc.
Ilonka Zimmer
Adele Weimer B.Eng.
Mina auch Schlauchin
Mattias Kruschwitz
Jaroslaw Eckbauer
Songül Tschentscher
Wolf-Dieter Sölzer-Putz
Herr Vinzenz Jäntsch B.A.
Evi Wilmsen MBA.
Univ.Prof. Milan Hande
Simona Heidrich
Olav Gumprich-Täsche
Anastasios Kuhl
Bernhardine Mangold
Prof. Katalin Heinrich
Ing. Imke Eigenwillig B.A.
Dr. Mirko Langern MBA.
Sigurd Höfig B.Sc.
Oskar Beyer
Deborah Becker
Wieland Linke
Gabriele Käster
Theresia Liebelt
Laszlo Nerger MBA.
Gülay Haase
Polina Hettner
Franz Josef Nette-Werner
Diana Drubin-Walter
Univ.Prof. Undine Becker MBA.
Valeska Zimmer-Schleich
Harm Sontag-Wilms
Mareike Reichmann
Prof. Miguel Dowerg B.A.
