Student
Natalie Neureuther
Dipl.-Ing. Stefano Wernecke B.A.
Prof. Meik Blümel B.Sc.
Lidwina Karz MBA.
Orhan Mude
Gerdi Neureuther-Mälzer
Gloria Bruder B.A.
Wencke Heinrich
Frau Dana Röhrdanz
Univ.Prof. Simona Holzapfel MBA.
Heinz-Günter Mülichen
Theo Henschel
Univ.Prof. Wolf-Rüdiger Klotz B.Sc.
Reimer Hethur-Gutknecht
Karl-Dieter Süßebier
Prof. Woldemar Beier B.A.
Thorben Henk-Mende
Anneli Butte
Herwig Krebs
Waltrud Scholl
Tobias Mühle
Heinz-Joachim Trüb B.Sc.
Dr. Franco Wilms
Dipl.-Ing. Hildegunde Bachmann
Prof. Hans-Peter Noack B.A.
Sibel Hörle
Frau Hildegunde Koch II
Irmgard Pieper B.Eng.
Nikolaos Reichmann
Dr. Gaby Sontag MBA.
Brit Anders
Baptist Gröttner B.Sc.
Hermann Josef Junck
Anika Holsten
Heribert Römer-Lindau
Gesa Keudel-Bauer
Mattias Henk
Univ.Prof. Liliana Niemeier B.Eng.
Marie-Theres Jäkel
Kunigunda Heser
Prof. Tina Nohlmans MBA.
Carin Mohaupt-Heser
Annita Lorch
Ing. Carla Ziegert B.Eng.
Clara Stroh
Univ.Prof. Hugo Martin
Geza Weller
Sönke Gumprich
Edmund Scholtz B.Sc.
Dipl.-Ing. Emanuel Nette
Cordula Mangold
Dr. Peggy Beyer B.Sc.
Rico Putz-Killer
Monika Krein B.Eng.
Annie Hänel
Univ.Prof. Hanspeter Gorlitz
Ehrentraud Hänel-Dussen van
Helene Keudel
Faruk Köhler
Tilly Pergande
Jochem Hermighausen
Christa Säuberlich
Vera Scholl
Stefanie Pruschke
Lucie Gutknecht
Apollonia Trüb B.A.
Marlen Hesse
Gaetano Fröhlich
Herr Hilmar Stumpf
Raymond Römer
Otto Butte
Hansgeorg Beier-Freudenberger
Christian Jacobi Jäckel
Brit Heidrich B.A.
Ralf-Peter Schacht
Diether Dussen van-Rohleder
Raimund Hande
Ing. Wladimir Karz MBA.
Sinaida Heinz-Gnatz
Manuel Stolze MBA.
Gerta Beer
Lina Hein-Gotthard
Annekatrin Schleich
Guido Wagenknecht-Kallert
Annika Pieper B.A.
Otmar Wende
Walfried Siering
Freia Hamann-Eckbauer
Cosimo Löffler B.Sc.
Melitta Steinberg
Ing. Galina Hahn
Hans-J. Hahn-Süßebier
Theo Neuschäfer
Prof. Urs Salz
Ahmet Thies
Ivana Mielcarek
Inken Gorlitz
Zbigniew Weinhage
Dipl.-Ing. Karsten Fechner
Detlev Weihmann-Schäfer
Johanna Finke-Ehlert
Aline Steinberg-Klingelhöfer
Lilly Girschner-Ritter
Ing. Anna-Maria Stey
Rose Beer
Babette Rohleder
Hermann Josef Börner
Ing. Erica Schottin
Maria Bruder
Ing. Irmtraud Wiek MBA.
Semra Fiebig
Detlev Wilmsen
Marie-Therese Steuer
Prof. Bertha Jacobi Jäckel MBA.
Judith Meyer
Dorina Weinhage
Ortrun Siering
Hildegund Ruppersberger
Albrecht Rust-Heinrich
Sabrina Schomber
Arzu Ullrich
Marliese Roht
Fredo Paffrath-Kohl
Eckhard Weitzel
Anatolij Keudel
Bernd-Dieter Kostolzin B.A.
Dr. Bastian Christoph MBA.
Ehrentraud Meyer MBA.
Niklas Schleich
Mariana Wirth
Eugen Schottin
Gina Pieper
Dr. Elwira Hiller
Belinda Huhn
Istvan Patberg-Anders
Adalbert Vollbrecht
Dipl.-Ing. Beatrix Henk B.Eng.
Meinrad Barkholz B.Eng.
Ivana Mans-Bruder
Sevim Textor-Schinke
Adrian Killer
Dorle Henck-Sorgatz
Aurelia Mude
Andrej van der Dussen B.A.
Clara Rust
Christel Mangold
Ing. Ivana Budig B.Eng.
Cosimo Girschner
Rico Cichorius
Jacqueline Hofmann
Dr. Robert Neuschäfer
Dipl.-Ing. Waltraut Kallert
Zita Holt
Adelbert Rörricht
Silvio Scholl B.Eng.
Miroslav Paffrath
Mandy Trüb
Herr Yusuf Kabus B.A.
Jonas Adler
Evamaria Berger
Diether Vogt B.A.
Prof. Oswald Ehlert MBA.
Henry Austermühle
Sarina Dörr
Enrico Hellwig
Ulrich Plath-Weihmann
Sylke Binner B.A.
Ingried Bähr
Ferenc Pergande B.Eng.
Lidwina Sorgatz-Weihmann
Prof. Trude Schäfer MBA.
Kornelius Winkler
Kunibert Heß MBA.
Dipl.-Ing. Nathalie Radisch
Herr Hartmuth Pruschke
Prof. Constance Girschner MBA.
Dr. Olaf Gierschner B.Sc.
Edeltraut Klemt
Victoria Hiller
Herr Ruben Schüler B.Eng.
Gundula Adler-Bien
Karl-Heinrich Sölzer
Irmtrud Röhrdanz
Ing. Helene Jähn B.Eng.
Korinna Söding
Dr. Lilija Dowerg MBA.
Waltrud Jockel B.Eng.
Prof. Hans-Gerhard Reinhardt B.Eng.
Siegrun Reinhardt
Prof. Alexei Krebs
Lukas Ditschlerin
Karl Heinz Kruschwitz-Reising
Ing. Cord Hermighausen B.Eng.
Herr Jan Kobelt
Anton Stey
Ruth Hartung
Maurice Beckmann
Dr. Vitus Franke
Clemens Barth
Erhard Otto
Inka Meyer
Albert Butte
Damaris Zirme
Francoise Vollbrecht B.Sc.
Pavel Jessel
Prof. Klaus Peter Bruder
Conny Metz
Gaetano Köhler
Mehdi Niemeier-Noack
Aneta Kambs
Prof. Andrzej Gorlitz
Prof. Natalia Junck B.Sc.
Eckehard Mude
Irmengard Rudolph
Rosa-Maria Reising
Sibilla Eimer
Knut Jacob
Raymond Misicher
Danielle Drubin
Alexandra Butte
Klaus-D. Zänker-Hein
Hertha Gutknecht
Cemal Hamann
Kaspar Römer
Vitali Neureuther
Ing. Mariechen Nerger B.Eng.
Frederik Rust
Peter Rohleder
Grit Karz
Dr. Torben Stey
Jozef Kostolzin
Dr. Franz-Peter Löffler
Auguste Buchholz B.Sc.
Hans-Gerd Jockel
Josip Kuhl
Jane Reuter
Ilona Roskoth-Bolander
Torben Hartung
Ilja Hartung
Dr. Kristine Tschentscher
Piotr Hande
Bruno Henschel
Hansjürgen Säuberlich
Vera Losekann
Ryszard Junitz
Egon Paffrath
Ing. Carolin Matthäi
Inken Ziegert
Frau Ina Schwital B.Sc.
Frau Ingried Rogner B.Sc.
Dr. Editha Rohleder
Norbert Eimer
Thorsten Gude
Univ.Prof. Heidelinde Jopich B.Sc.
Evangelos Beyer
Dipl.-Ing. Korinna Pärtzelt
Florian Finke
Magdalene Fröhlich
Karoline Hübel
Prof. Britt Drub B.Eng.
Remo Reinhardt
Egbert Tschentscher
Maren Drub
Albert Seifert MBA.
Rahel Stey
Herr Herbert Dowerg
Faruk Birnbaum
Vincent Kranz B.A.
Dipl.-Ing. Edda Barth MBA.
Margot Sontag MBA.
Hannelore Heser-Boucsein
Jasmina Zorbach
Lorenz Schwital-Stadelmann
Herr Hellmuth Birnbaum B.A.
Linus Drub
Marion Wohlgemut B.A.
Romy Baum
Aldo Förster
Prof. Ivonne Boucsein B.Eng.
Herr Rigo Krebs B.Eng.
Norman Wulf
Lothar Beckmann
Heinz-Georg Heidrich
Esther Eberth-Kensy
Prof. Reza Ebert B.Eng.
Dipl.-Ing. Lara Tlustek
Fernando Reising
Nadia Herrmann
Benita Neuschäfer
Gaetano Söding
Saskia Kallert
Vanessa Hornig
Susann Haering
Alfredo Bolzmann B.A.
Thorsten Bolzmann-Hesse
Elfie Preiß
Nancy Hartmann-Schottin
Ing. Wulf Atzler
Ellen Gutknecht
Miroslav Krein
Agnes Tröst
Hedwig Matthäi
Univ.Prof. Gunter Kaul
Katerina Drubin
Simone Jacobi Jäckel B.A.
Vitus Pruschke B.A.
Dorit Köster
Anka Jäkel-Ackermann
Elise Hentschel
Rosita Wiek
Elizabeth Schlosser B.A.
Francesco Wieloch-Herrmann
Dogan Rogge
Katja Kruschwitz-Roskoth
Ing. Ivonne Nerger
Susi Hendriks
Univ.Prof. Rene Jacobi Jäckel B.Eng.
Irmtraut Hahn-Walter
Bogdan Römer B.Eng.
Dr. Alberto Kabus B.Sc.
Hans-Theo Kuhl
Aleksej Kühnert B.A.
Carl Schmiedt
Heiko Metz
Bertram Eigenwillig
Mario Bärer
Dipl.-Ing. Gerold Kusch B.Eng.
Frau Therese Henk B.A.
Gülsen Gutknecht
Valentine Bähr B.A.
Bernard Bien-Lübs
Fadime Reinhardt MBA.
Olivia Nerger B.Eng.
Frau Hildegund Vogt B.A.
Hannchen Zahn
Ljudmila Trapp
Dietlinde Binner
Wiltrud Bolander
Catrin Bachmann
Prof. Hans-H. Zimmer
Sibylle Löchel
Univ.Prof. Leszek Gieß B.Eng.
Marianna Karge
Frau Angelina Martin
Dorothea Kroker-Misicher
Heinz-Günther Bohnbach
Kaspar Aumann
Dipl.-Ing. Bekir Boucsein
Prof. Mohammed Kambs
Ing. Istvan Finke
Frau Gitte Hänel
Franz Josef Herrmann
Karl-Georg Dörschner
Roswita Hofmann MBA.
Diethelm Hübel MBA.
Lieschen Röhrdanz
Michelle Klingelhöfer B.Eng.
Fredi Jäntsch
Maria-Luise Schaaf
Abram Briemer
Hans-Herbert Harloff
Patrick Haering
Ing. Felicia Dörschner B.Sc.
Gerold Thanel
Prof. Vadim Stroh
Gundula Weitzel-Liebelt
Univ.Prof. Helge Pieper
Annemarie Schaaf B.Sc.
Univ.Prof. Ferenc Knappe B.Sc.
Ing. Arthur Schwital B.Eng.
Herr Hans Peter Jacob
Prof. Fabian Scholl MBA.
Dipl.-Ing. Alan Schacht B.Eng.
Hatice Killer-Löwer
Siglinde Zahn
Emilie Schmidt-Gröttner
Klaus-Ulrich Tlustek-Förster
Frau Franziska Trupp B.Sc.
Imke Gieß B.Sc.
Kai-Uwe Schäfer
Kay-Uwe Trommler
Dajana Trapp-Kreusel
Dipl.-Ing. Geert Holsten B.Sc.
Karl-Hans Schuchhardt-Mohaupt
Victoria Werner MBA.
Hannah Jacobi Jäckel
Irina Hahn
Ing. Jeanette Rosemann B.Eng.
Kristiane Hermann
Dr. Bernfried Bärer
Ernst-August Oestrovsky-Kreusel
Anna Linke
Dipl.-Ing. Sylke Gute B.A.
Bernward Fröhlich
Helmtrud Börner B.A.
Mijo Jessel B.A.
Mechtild Winkler
Chantal Fröhlich
Univ.Prof. Agathe Steinberg MBA.
Martha auch Schlauchin
Herr Maik Klemt MBA.
Galina Kraus-Hermighausen
Natalia Fröhlich-Kabus
Peer Grein Groth-Lange
Doris Kraushaar
Domenico Kade B.A.
Eva-Marie Hendriks
Gilda Faust
Dipl.-Ing. Gisela Schuster B.A.
Jessica Gotthard
Albrecht Metz B.A.
Zeljko Hiller-Misicher
Jurij Eimer
Dr. Otmar Linke MBA.
Paul-Gerhard Gunpf
Lutz Mies-Hesse
Hanne Ackermann
Univ.Prof. Rafael Pruschke B.A.
Mareen Mans
Ing. Käthi Schäfer
Selma Girschner B.Sc.
Univ.Prof. Filiz Rudolph MBA.
Elfi Herrmann MBA.
Gebhard Sauer
Zofia Roht
Berta Hörle-Börner
Ing. Hans-Wolfgang Weitzel B.Sc.
Carina Bruder
Patrizia Bender-Reuter
Eileen Etzler
Hans Josef Lachmann
Viviane Jopich
Herr Dietrich Gotthard B.A.
Victoria Klingelhöfer
Ing. Nikolai Niemeier B.A.
Beatrice Käster
Nadin Stiebitz B.Eng.
Phillip Salz B.Sc.
Kasimir Albers-Stiebitz
Pius Jopich B.Eng.
Boris Bachmann
Adem Hörle
Julian Schuchhardt-Dippel
Prof. Manuela Schleich B.Sc.
Patric Heinrich
Julia Heinrich
Dietlind Albers
Herr Otto Vollbrecht
Kenan Wulff-Plath
Univ.Prof. Halil Staude
Andrei Wulff
Heinz-Günter Weimer B.Sc.
Mira Sontag
Nadja Häring B.Eng.
Walli Jopich
Svenja Langern
Zlatko Briemer-Karge
Hildegart Weitzel
Ing. Pawel Rörricht
Murat Förster
Slavica Koch
Magret Oderwald
Ing. Wolf-Rüdiger Dietz B.Sc.
Adam Krein-Karge
Mercedes Sauer
Frau Else Röhrdanz B.Sc.
Auguste Pruschke
Regina Ring
Ing. Jens Henck B.Eng.
Herma Bender-Scholtz
Dr. Fatma Jacob MBA.
Edeltraut Anders-Rohleder
Edith Kostolzin
Luciano Wirth
Herr Alois Thanel B.Sc.
Hans-Werner Mohaupt
Elias Hethur
Hans-Theo Vogt-Beckmann
Frau Herlinde Kade B.A.
Birgitta Beckmann-Thanel
Oda Berger
Margrit Schenk B.A.
Fabienne Conradi B.Eng.
Ingetraut Köster
Amalia Wulf
Niko Bähr B.Sc.
Ruthild Schüler B.Eng.
Mariusz Stadelmann-Jähn
Dipl.-Ing. Jose Löchel
Univ.Prof. Leif Süßebier B.A.
Tadeusz Kruschwitz B.Sc.
Amalie Gotthard-Beckmann
Irmtraut Süßebier
Liesa Neureuther
Ernestine Trommler
Prof. Ulla Dussen van B.Sc.
Friedl Atzler-Süßebier
Ralf-Dieter Riehl B.Eng.
Annelies Heidrich
Meta Harloff
Ramona Römer
Stavros Hentschel B.Eng.
Diana Jessel-Geißler
Univ.Prof. Athanasios Drub B.Sc.
Harro Vogt-Gieß
Frau Inken Seip B.Eng.
Mehdi Kohl B.A.
Reimer Scheel B.Eng.
Berndt Barkholz
Pius Gierschner-Weitzel
Lieschen Steckel
Adelinde Putz
Franjo Junitz-Hahn
Univ.Prof. Lydia Langern
Waltrud Stroh
Veli Rädel
Milos Wiek
Henri Finke-Lehmann
Ekrem Hornich
Dr. Karl-Hermann Gude
Madlen Trupp B.Eng.
Rena Rohleder
Dietlinde Käster
Josef Berger
Eleni Franke
Karoline Carsten
Olaf Weinhage
Gabi Gertz
Siegfried Schuster
Ewald Dussen van
Dipl.-Ing. Agatha Pruschke
Volker Hettner
Ivana Nerger
Hansjörg Müller B.Sc.
Ada Ullmann-Hermann
Ehrhard Häring B.A.
Hertha Gieß
Reinhard Beckmann
Claire Rogner-Scheel
Margit Klapp
Frau Myriam Walter B.Sc.
Margarethe Steckel
Friedo Lorch
Zita Butte
Horst Hauffer B.Eng.
Balthasar Holsten
Margret Dehmel
Sibille Liebelt
Knud Zimmer
Mohamed Stiebitz-Pärtzelt
Liliane Steuer
Manja Stadelmann
Wolfhard Kensy
Gülten Henschel
André Segebahn
Brit Lindner
Gisa Gerlach
Franz Josef Flantz
Luis Jacob
Dipl.-Ing. Dajana Beer
Annamaria Margraf
Marta Eigenwillig-Hörle
Univ.Prof. Sibylle Zirme B.Sc.
Herr Bruno Kreusel
Wally Fliegner
Meral Reinhardt
Markus Eimer
Michaele Schacht
Sofia Roht MBA.
Dr. Helma Kohl B.A.
Ing. Konstanze Schmidtke MBA.
Charles Heinz
Prof. Marian Gerlach
Ernest auch Schlauchin
Mareike Scholl
Annita Jähn
Clara Ruppersberger
Lukas Juncken MBA.
Dipl.-Ing. Hans-Erich Klemm
Erol Lindner
Sandra Scholtz
Eckhart Gutknecht
Geraldine Wagner
Miroslawa Haase
Adalbert Schmidtke
Klara Löchel-Bien
Victor Seifert
Herr Gordon Weihmann B.Eng.
Karl-Hans Hande-Schuster
Linus Schuchhardt
Prof. Torsten Geisel B.Sc.
Mareen Mies B.Eng.
Ing. Gerold Mende
Dipl.-Ing. Mariechen Bonbach
Pedro Bärer
Ferdi Hoffmann
Metin Hande
Kenan Pieper
Hilde Walter
Pietro Klingelhöfer
Gunar Lindner
Frau Wenke Klemt
Adelbert Austermühle
Jann Cichorius
Marleen Heser
Oskar Beyer
Evelyn Bien
Urban Peukert
Viktor Kusch
Natalia Stroh
Iris Ullrich
Engelbert Sauer MBA.
Prof. Petar Köhler
Irmtrud Bolzmann
Osman Salz MBA.
Catherine Cichorius
Erkan Trub
Ing. Rosalinde Rogner MBA.
Hans-Herbert Eckbauer
Ilja Wende
Lili Döhn-Margraf
Hans-Detlef Bender
Silke Scheuermann B.Sc.
Nadine Sauer
Ing. Leonid Budig B.A.
Frau Katarina Bolander B.Sc.
Dipl.-Ing. Nuray Mude B.Sc.
Univ.Prof. Almuth Cichorius B.Eng.
Univ.Prof. Milka Bähr
Doreen Hornig
Ralph Stahr
Univ.Prof. Luisa Scholz B.Eng.
Minna Wernecke-Gumprich
Frau Nadeshda Ruppert
Riza Heydrich
Irmtraut Fröhlich-Hertrampf
Prof. Dorit Käster B.Sc.
Denny Lachmann
Klaus-Dieter Hecker
Dr. Elfie Tintzmann
Manuela Sauer
Hubert Weitzel
Brunhilde Heinz MBA.
Toralf Jessel
Max Fiebig
Patrizia Schleich
Helen Tschentscher
Angelica Lindau-Heß
Dorina Dippel
Nils Hering-Loos
Wiltrud Gröttner-Klapp
Fernando Gieß
Sükrü Schüler MBA.
Alicia Kroker
Janine Söding
Prof. Ludger Kohl MBA.
Carina Hövel
Hertha Caspar MBA.
Dennis Beer-Striebitz
Hilda Stey B.Eng.
Univ.Prof. Hedwig Krein
Frau Aleksandra Bähr B.Eng.
Adam Hölzenbecher-Hettner
Frau Beatrix Bonbach B.A.
Willibald Gude
Frau Siegried Margraf B.Sc.
Michaele Schwital
Dörthe Mitschke-Holt
Alla Weihmann
Gerwin Bonbach-Fliegner
Margareta Dörschner B.Sc.
Kuno Mälzer B.Eng.
Prof. Lieschen Mälzer B.Sc.
Lambert Misicher-Dörschner
Brian Hölzenbecher
Philipp Lorch
Corina Pergande
Elzbieta Putz B.Eng.
Ing. Adam Klemt MBA.
Anne-Rose Hettner B.A.
Jan Freudenberger
Bozena Meyer
Marcella Ehlert
Brigitte Zirme B.Sc.
Prof. Denis Segebahn MBA.
Gusti Henschel
Jolanthe Jessel
Pauline Bolzmann
Wolfhard Ziegert
Univ.Prof. Gesa Loos
Robin Sölzer
Kay-Uwe Pölitz
Roland Ring
Flora Gotthard
Jan Döring B.A.
Brunhilde Koch II
Siegrid Misicher
Emmerich Wilmsen
Prof. Branko Weller MBA.
Karlfried Müller
Roger Gunpf-Paffrath
Margaretha Heintze-Henk
Karl-Heinrich Kraus B.A.
Arno Mude
Aribert Kusch
Kurt Thanel
Inka Hornig B.A.
Dipl.-Ing. Hans-Karl Dussen van B.A.
Ing. Hellmuth Scholl
Albina Heinz
Rouven Ziegert
Dipl.-Ing. Halina Bender B.A.
Anika Tschentscher
Herr Andrej Rose
Ing. Clemens Wirth
Ernst Gunpf-Naser
Goran Benthin
Dr. Natascha Schmidtke B.Eng.
Jost Lindau
Univ.Prof. Monja Staude MBA.
Carmine Bruder-Rörricht
Franco Loos B.Eng.
Ing. Eva Kitzmann B.A.
Marta Roht B.Sc.
Ing. Dirk Paffrath
Arne Ziegert B.Sc.
Ryszard Anders B.Sc.
Jann Schleich
Prof. Tilmann Franke B.Sc.
Ing. August Hellwig B.Eng.
Edeltrud Kambs
Friedhilde Hornig B.A.
Heinz-Gerd Söding
Teresa Schomber B.A.
Kreszentia Bohlander
Klara Blümel
Hans-Bernd Trupp
Karl-Jürgen Ziegert
Abbas Segebahn
Ferdinand Junck-Hölzenbecher
Christl Eigenwillig
Karl-Ernst Reuter
Joachim Fischer
Heide-Marie Beckmann B.Sc.
Prof. Marion Scholz
Annegrete Pergande
Dr. Ruth Dobes
Antje Kambs
Alwine Linke
Nadeshda Mentzel
Krista Scholtz
Sigmund Hentschel MBA.
Dr. Reimar Fiebig B.A.
Frau Gilda Ebert
Walter Weller
Gitta Mohaupt
Dipl.-Ing. Hermann-Josef Jüttner
Marie-Louise Hendriks-Dörschner
Bianka Schmidt
Mercedes Blümel
Herr Mario Thanel
Univ.Prof. Arne Hoffmann
Thomas Kraushaar
Witold Wulf
Franz-Xaver Bachmann
Janet Kade
Ali Briemer-Klemm
Danica Atzler
Prof. Knud Atzler B.Sc.
Dipl.-Ing. Viktor Scheibe MBA.
Antonie Heser B.Sc.
Benita Heser
Alois Knappe
Rosmarie Ullmann
Hans-Wolfgang Harloff
Dr. Achim Barth
Heimo Ziegert
Frau Ayten Pärtzelt MBA.
Catrin Förster B.A.
Klaus-Günter Kreusel
Herr Augustin Thies B.A.
Dipl.-Ing. Claudia Häring
Prof. Irena Höfig
Leonardo Birnbaum
Univ.Prof. Herta Zänker
Prof. Maya Peukert
Dr. Frieda Metz
Prof. Ricardo Kensy
Erhardt Steinberg
Frau Herlinde Schleich B.Sc.
Heinz-Walter Juncken
Svenja Hartmann
Kathy Kitzmann
Elsa Sontag
Jiri Kambs
Adelinde Gutknecht-Beier
Klaus-Dieter Wende
Steven Eimer
Mariusz Wilmsen B.A.
Uschi Keudel
Janusz Beckmann
Marianna Hofmann
Maik Schottin
Anne-Kathrin Geisler
Wendelin Pärtzelt
Univ.Prof. Gottfried Süßebier
Rosina Ditschlerin-Ortmann
Dr. Silvio Täsche
Univ.Prof. Polina Schmidt B.Eng.
Oscar Fritsch
Ing. Svenja Aumann
Klaus-D. Dippel MBA.
Eleonora Gehringer
Marit Söding
Lukas Gierschner
Joachim Kramer
Herr Benedikt Säuberlich
Salih Köster
Edda Salz
Univ.Prof. Kirstin Killer B.Eng.
Jaroslaw Pieper MBA.
Emil Preiß-Hecker
Dagobert Hornig
Burghard Wohlgemut
Hermann-Josef Loos
Rolf-Peter Reising B.Sc.
Birgid Nohlmans
Angelina Dörschner-Reichmann
Helena Hettner
Dipl.-Ing. Harm van der Dussen
Undine Scheibe-Stey
Nikolaos Ebert-Grein Groth
Gitta Berger
Sören Etzler
Prof. Fredy Hahn
Stephen Heidrich
Dipl.-Ing. Stefano Ditschlerin
Univ.Prof. Gundel Atzler B.Eng.
Timo Spieß
Ing. Silja Heser
Herta Hoffmann
Dr. Leonie Köster
Willi Birnbaum
Univ.Prof. Heidrun Hiller
Vadim Bender B.A.
Dipl.-Ing. Annelise Naser
Harm Sontag-Wilms
Univ.Prof. Michaele Heser MBA.
Hans-J. Neureuther
Hardy Hänel B.Eng.
Prof. Sergei Heser
Prof. Heinz-Willi Hertrampf
Mikhail Bauer
Ilse Henschel
Hannah Stiffel-Börner
Ing. Carin Zorbach MBA.
Meral Stroh-Henschel
Linus Lübs
Mareike Reichmann
Univ.Prof. Nikolaus Sölzer B.A.
Isidor Täsche
Dr. Walburga Kobelt B.Eng.
Angelo Pärtzelt
Ing. Romy Gieß
Oxana Henschel
Artur Briemer
Dr. Heide Jockel B.Sc.
Heinz-Günter Schuster
Univ.Prof. Anika Pärtzelt MBA.
Gert Juncken
Elenore Renner
Sylvester Neuschäfer-Schacht
Monika Haering
Marika Sager
Dr. Rita Kallert
Irene Rogner
Irene Gotthard-Hoffmann
Agata Hertrampf
Heimo Knappe
Gisbert Christoph
Valeri Tschentscher
Gregor Jungfer
Ing. Zlatko Gerlach
Edwin Wilms MBA.
Saban Etzler B.Eng.
Leokadia Oestrovsky
Dr. Ute Schuchhardt
Othmar Hölzenbecher
Annie Harloff B.A.
Uwe Dussen van
Hermine Schüler
Apostolos Kreusel-Noack
Anne-Katrin Butte MBA.
Klaus-Werner Jäkel-Holsten
Enver Börner MBA.
Hendrik Herrmann
Hilde Lübs
Franka Weinhold
Prof. Kordula Vollbrecht B.A.
Wally Schmidt
Frau Trudi Wähner B.A.
Klaus-Dieter van der Dussen
Liliane Koch II
George Käster-Eberth
Elisa Mälzer
Dipl.-Ing. Baldur Oderwald B.Sc.
Lydia Wirth
Serge Kade
