Student
Anastasios Kuhl
Ing. Georg Lübs
Annie Gnatz B.A.
Emmerich Wilmsen
Theresia Liebelt
Konstantinos Seifert
Daniela Weimer
Wenke Stolze
Patrick Wohlgemut
Prof. Sarina Hartmann
Gertrude Ullmann
Oxana Ortmann MBA.
Ariane Roskoth
Gundula Ruppersberger
Wilfriede Ehlert
Dr. Edith Ring B.Sc.
Thorsten Herrmann
Ali Briemer-Klemm
Harriet Ullmann
Dörte Warmer
Dr. Gudula Scheuermann
Damaris Bien
Prof. Nuran Sauer B.Sc.
Annett Mies-Hellwig
Filippo Kostolzin
Prof. Patrik Scheel
Gerti Ullrich
Vinko Reuter
Marek Walter MBA.
Hildegart Weitzel
Univ.Prof. Jeanette Girschner B.Sc.
Prof. Lieschen Mälzer B.Sc.
Dr. Zeljko Pruschke
Natascha Schinke B.Eng.
Krzysztof Kruschwitz
Karl-Otto Winkler B.Eng.
Marie-Louise Hauffer
Prof. Heinz-Joachim Seidel
Dipl.-Ing. Dorina Lindau B.Sc.
Univ.Prof. Arno Kramer B.Eng.
Hansjoachim Salz-Junk
Adelbert Rörricht
Frau Anna Mangold B.A.
Bernard Karge
Prof. Irmela Klemt B.Eng.
Anika Biggen MBA.
Wendelin Pärtzelt
Iris Kraushaar B.Sc.
Cilli Siering
Andree Wilmsen B.Eng.
Sami Stolze-Döhn
Lina Hein-Gotthard
Dipl.-Ing. Karl-Heinz Rörricht
Luzie Sager-Gierschner
Irmengard Rudolph
Dr. Lilija Dowerg MBA.
Kristian Albers
Senol Hölzenbecher
Gülay Werner
Dogan Kranz
Raphael Höfig
Andreas Metz
Kira Hartmann B.Sc.
Dipl.-Ing. Fred Meister
Dipl.-Ing. John Ortmann MBA.
Arzu Wieloch-Röhrdanz
Mariana Wirth
Erica Holsten
Ortrun Siering
Wolf Stadelmann
Ing. Sebastian Killer B.A.
Univ.Prof. Antoinette Wende B.A.
Martin Rose B.A.
Kristian Rosemann B.Sc.
Janko Margraf MBA.
Miroslawa Jäkel-Bohnbach
Ingbert Birnbaum-Ring
Adem Hörle
Prof. Natalja Käster MBA.
Miodrag Dörr-Austermühle
Sylvia Schenk
Samir Wähner-Butte
Kevin Trubin
Zdravko Jacob
Milena Weitzel-Steinberg
Mariechen Scholl
Mato Trubin
Univ.Prof. Undine Becker MBA.
Wieland Linke
Xaver Schönland
Harold Bähr B.A.
Ingo Löffler
Margita Schleich-Becker
Ing. Imke Eigenwillig B.A.
Leon Bauer
Univ.Prof. Margrit Davids B.Eng.
Univ.Prof. Heinrich Reinhardt MBA.
Univ.Prof. Paulo Jähn
Lena Wende
Hans Dieter Junk
Luisa Barkholz
Ernestine Karz
Prof. Knud Salz
Rosi Renner-Graf
Isidor Heinrich
Dipl.-Ing. Hannelore Kostolzin
Ing. Konstantin Gerlach B.A.
Prof. Anna-Lena Wagner MBA.
Elena Pruschke
Erol Lindner
Ing. Hatice Gehringer
Slawomir Bohnbach
Alexa Dietz
Evangelia Schlosser-Boucsein
Frau Patricia Gorlitz B.A.
Prof. Kunigunda Pergande MBA.
Ing. Hans-Heinrich Reichmann B.Sc.
Univ.Prof. Karl-Friedrich Mosemann B.Sc.
Monica Blümel
Irmtraud Schönland
Gudula Niemeier
Patricia Wiek
Rosemarie Hethur
Fatima Rörricht
Concetta Seifert
Frida Stolze
Dipl.-Ing. Ingolf Krein
Johan Heydrich
Kreszenz Beier
Ing. Birte Heidrich B.Eng.
Josip Hiller-Hauffer
Heimo Bauer
Dr. Anatoli Bonbach
Hedy Loos
Stephan Hauffer
Dr. Sigfried Seip B.Eng.
Dipl.-Ing. Wolfram Johann B.Eng.
Luise Junk
Ulrike Klemt B.Sc.
Bernfried Roht
Frau Melita Scholz B.A.
Bodo Ullrich
Eleni Matthäi
Ottilie auch Schlauchin B.Eng.
Ehrentraud Hänel-Dussen van
Dr. Jasmina Ruppert
Dipl.-Ing. Hans-Gerhard Schleich
Meta Eigenwillig
Anneliese Trub
Adam Krein-Karge
Hans-Günther Etzold
Ioannis Klemt
Melanie Segebahn
Marlene Steckel B.A.
Bruno Henschel
Jörgen Lorch
Jerzy Mende-Wagenknecht
Giovanni Weller-Söding
Liliana Gehringer
Dipl.-Ing. Sedat Sontag
Veronica Benthin
Prof. Pedro Schmidt B.Eng.
Nikolai Rädel-Klemt
Bayram Kostolzin-Rosenow
Danilo Losekann
Lucie Gutknecht
Ingetraud Fiebig
Monja Mülichen
Andrei Bolander-Jäkel
Liesbeth Huhn
Gunnar Weimer
Karl-Otto Putz
Ulla Fliegner-Sölzer
Sören Trommler
Liane Hermann MBA.
Heide-Marie Heß B.A.
Herr Hartwig Henk B.A.
Babett Pruschke-Schäfer
Prof. Cilli Wulf
Herma Geisler-Beckmann
Frau Gilda Ebert
Malte Kallert-Möchlichen
Dr. Margita Stiebitz
Herr Gustav Noack
Klaus-Peter Zorbach
Ahmad Fechner-Wulff
Vitali Ortmann
Dr. Janett Schottin B.Eng.
George Weimer
Auguste Pruschke
Heinz-Werner Buchholz
Prof. Goran Sölzer MBA.
Dipl.-Ing. Nuray Mude B.Sc.
Ronald Stiebitz
Annegrete Pergande
Gertraud Tröst
Frau Edeltraud Radisch B.A.
Dr. Fedor Plath B.Sc.
Ilonka Noack
Karl-Peter Kramer
Irmi Zobel
Desiree Gierschner B.Eng.
Süleyman Baum
Frau Käte Zahn
Olaf Juncken
Kläre Kohl
Ekkehart Bruder
Prof. Almuth Dippel
Ing. Torben Hande MBA.
Dipl.-Ing. Emanuel Nette
Walburga Junk
Hardy Hänel B.Eng.
Rosi Spieß
Hans-Helmut Eimer MBA.
Karl-August Liebelt-Köhler
Kai-Uwe Schäfer
Adalbert Ullmann
Elena Wilmsen
Cäcilie Haase
Margit Müller
Francoise Zänker-Knappe
Otto Butte
Univ.Prof. Katharina Werner MBA.
Lucia Hermighausen
Valeria Conradi
Anto Niemeier
Constanze Schleich
Dr. Kai-Uwe Schulz B.A.
Thies Birnbaum B.A.
Damaris Eigenwillig
Apostolos Kreusel-Noack
Isabell Briemer
Necati Koch
Traugott Textor-Wagenknecht
Ehrenfried Drubin-Paffrath
Konrad Schuster
Amalia Schmidtke-Radisch
Alwine Bien
Lara Stroh
Univ.Prof. Olivia Gnatz MBA.
Nadeshda Hänel-Kaul
Lars Eckbauer-Möchlichen
Gottfried Martin-Martin
Hugo Keudel B.A.
Bernhard Becker
Gislinde Schlosser
Egbert Heintze
Mohammed Geißler
Ismail Junck-Trommler
Hans-Helmut Binner B.Sc.
Anette Bien
Fadime Heidrich B.A.
Gregor Jungfer
Prof. Martin Ullmann
Nada Dowerg-Jähn
Dr. Valentin Eigenwillig
Dipl.-Ing. Karina Kambs MBA.
Dierk Gunpf B.A.
Felicitas Kensy-Stey
Kathy Kitzmann
Dr. Aysel Kohl
Prof. Necati Stey B.A.
Istvan Scheuermann
Helge Finke-Wähner
Prof. Nikolai Gunpf
Ada Heser B.Sc.
Stephanie Krause
Klaus Peter Adler
Dr. Hans-Peter Adolph MBA.
Univ.Prof. Traudl Mentzel B.Eng.
Herr Vito Roskoth B.Sc.
Ing. Zofia Ernst
Birgitta Beckmann-Thanel
Dorina Fiebig
Herr Leonid Röhricht MBA.
Eleonore Kuhl-Koch
Czeslaw Bohnbach B.Eng.
Dagmar Jungfer
Siegbert Conradi
Ing. Pamela Gerlach
Timm Schleich
Alwine Sager
Marten Röhricht B.Sc.
Ljiljana Henk
Frau Dana Röhrdanz
Hanns Ehlert MBA.
Andres Sager
Gerhart Schenk MBA.
Janette Kallert
Kunigunda Zimmer
Brunhilde Koch II
Ria Walter
Georg Misicher
Nick Jockel B.A.
Herr Thomas Baum
Univ.Prof. Hans-Albert Ruppert
Meta Harloff
Jessika Thies
Dipl.-Ing. Nikolaus Conradi MBA.
Alan Stadelmann-Lindner
Madeleine Hermann B.Sc.
Sigmund Hentschel MBA.
Josefa Hauffer
Kristina Scheibe
Dr. Hans Dieter Mude
Lilly Naser
Dipl.-Ing. Mareike Noack B.Sc.
Leni Heß
Hans-Gerd Preiß
Univ.Prof. Friederike Bender B.Eng.
Univ.Prof. Gusti Schlosser
Hans-Herbert Eckbauer
James Kostolzin-Staude
Dipl.-Ing. Elly Davids B.Sc.
Ernst-August Gutknecht
Milka Scholl
Hildegunde Wende-Spieß
Kreszenz Drubin
Ludmila Dobes B.A.
Pedro Pölitz
Fredy Bachmann B.Eng.
Maritta Boucsein
Univ.Prof. Fredy Barth MBA.
Kilian Patberg
Ing. Margarethe Martin
Hendrik Herrmann
Univ.Prof. Heinrich Knappe B.A.
Miroslawa Rose
Jörg Speer
Bozena Carsten B.Sc.
Anatolij Trub
Larissa Ullmann
Stefanie Dippel
Ehrhard Klotz
Prof. Hans-H. Zimmer
Betti Zirme B.A.
Wolfhard Jäkel MBA.
Jacek Klemt
Osman Liebelt
Mehdi Kohl B.A.
Univ.Prof. Ignatz Baum
Dr. Athanasios Noack MBA.
Conrad Killer
Frau Evamaria Geißler
Dipl.-Ing. Konrad Schenk
Oliver Biggen
Inken Gorlitz
Zeljko Jessel
Marie-Luise Staude-Käster
Frau Ilka Pärtzelt B.Eng.
Ekkehart Binner
Berta Hörle-Börner
Alfred Rose
Gitta Berger
Dipl.-Ing. Aloys Hentschel
Frau Evelyn Tlustek B.Sc.
Eberhard Rust B.A.
Gerald Hendriks
Luigi Junitz
Annelore Bolander
Enver Conradi-Hecker
Gabriele Käster
Dr. Peer Schwital MBA.
Carl-Heinz Trapp
Carsten Hartmann
Gilda Scholz
Vesna Döhn
Ing. Heinz Ehlert
Semra Fiebig
Robert Etzold
Elsa Preiß
Jadwiga Gotthard
Ludwig Zimmer MBA.
Dipl.-Ing. Hans-Erich Klemm
Dipl.-Ing. Laila Scheuermann B.Sc.
Dipl.-Ing. Annemarie Trommler B.Sc.
Lorenzo Adler-Trommler
Dr. Karla Christoph
Stavros Hoffmann
Ing. Ahmet Häring
Alf auch Schlauchin
Ariane Löchel
Prof. Aziz Stumpf
Univ.Prof. Hinrich Eberth
Prof. Theobald Mangold
Dipl.-Ing. Stefano Wernecke B.A.
Diether Dussen van-Rohleder
Heinrich Köster
Prof. Pascale Kruschwitz
Maja Fischer B.A.
Frieda Gröttner
Björn Steckel B.Eng.
Maren Roht
Marta Sontag
Anatol Hübel
Sebastian Vogt
Karl-Heinrich Sölzer
Imke Gieß B.Sc.
Cemil Schweitzer
Dipl.-Ing. Alf Graf
Univ.Prof. Diedrich Köhler B.A.
Frau Mechtild Fliegner
Karlheinz Martin
Jörg-Peter Klemt MBA.
Dogan Ruppersberger
Jessica Kohl
Manja Stadelmann
Regine Häring
Hans-Jochen Gorlitz B.Sc.
Herr Darius Heuser
Giuseppina Keudel
Tanja Rörricht-Haering
Maximilian Pohl B.A.
Heike Karge
Stjepan Schmidtke
Berthold Austermühle MBA.
Gabriele Schmidt
Dipl.-Ing. Sibylle Kensy
Horst-Dieter Seifert
Lissy Dippel
Kriemhild Junk MBA.
Dipl.-Ing. Valeria Kühnert MBA.
Gerda Sauer
Stephan Stolze-Holt
Eckhard Lindau B.A.
Alicja Faust B.Eng.
Abram Briemer
Ing. Hans Peter Schenk B.A.
Siegrun Schomber
Thorben Ruppert
Laurenz Scholl
Katharina Speer
Hardy Weller
Univ.Prof. Inga Hermighausen B.Eng.
Dipl.-Ing. Roland Bien B.Sc.
Burghard Hamann-Dippel
Jochem Röhrdanz
Senol Hande MBA.
Univ.Prof. Josip Hartung
Mareile Birnbaum
Ottilie Hartung
Marianne Heser
Henriette Bruder
Franz Schweitzer
Ing. Mariechen Nerger B.Eng.
Violetta Beyer
Cosimo Zimmer
Adam Hölzenbecher-Hettner
Helfried Langern
Ing. Mike Stolze
Cosima Johann
Dina Schmiedt MBA.
Ortrun Eckbauer-Kohl
Roberto Ritter-Fritsch
Dipl.-Ing. Sigrun Neuschäfer B.Sc.
Leonid Hein B.Sc.
Kay-Uwe Trommler
Oda Berger
Wolfhard Kensy
Dr. Ottfried Lachmann B.Sc.
Hans-Ulrich Dussen van
Luzia Kranz
Rüdiger Heinrich
Univ.Prof. Liliana Drub
Krystyna Holsten B.A.
Magdalene Fröhlich
Mohamed Schottin
Marten Möchlichen
Anne-Marie Drewes
Frau Notburga Pergande
Gunhild Kroker
Dorina Weinhage
Milka Wohlgemut-Meyer
Zlatko Lehmann
Sebastian Warmer
Eugenia Sorgatz
Dajana Meyer
Gerti Trupp-Dowerg
Renato Bolnbach
Pius Jopich B.Eng.
Carmine Bruder-Rörricht
Friedrich-Karl Jopich B.Eng.
Theresa Killer
Ingeborg Wesack
Tino Paffrath B.Eng.
Marlen Flantz
Sibylle Löchel
Irmengard Eckbauer
Karl-Dieter Seifert
Kristiane Hermann
Hüseyin Wulf-Schmidt
Brit Heidrich B.A.
Andrea Wulf
Jolanda Jopich
Artur Briemer
Dipl.-Ing. Nathalie Radisch
Antonius Kraus
Ernest Tlustek
Frau Almuth Kostolzin B.A.
Frau Annette Fiebig B.Eng.
Kornelia Kade
Luka Binner
Maja Jungfer
Leonardo Klingelhöfer B.Sc.
Celal Seifert
Ernst-August Oestrovsky-Kreusel
Univ.Prof. Isabel Ladeck
Eva-Marie Hendriks
Marjan Segebahn B.Eng.
Wilfriede Ziegert
Prof. Alina Ziegert
Antje Kambs
Amanda Weller
Hanspeter Koch II-Wohlgemut
Gitte Buchholz
Dipl.-Ing. Tim Fritsch
Sevim Ackermann
Daniele Pieper-Käster
Milica Reichmann
Gabriella Rädel
Sinaida Roskoth B.A.
Hans-Adolf Junken
Ing. Ignaz Rose
Birger Becker
Zdravko Niemeier
Prof. Jan-Peter Schmidt
Franz Josef Nette-Werner
Susanna Jäntsch
Amalia Wulf
Prof. Knud Atzler B.Sc.
Christiana Pohl
Hans-Karl Rust MBA.
Leopoldine Butte
Prof. Woldemar Beier B.A.
Ing. Gabriella Bähr
Aribert Schulz B.Eng.
Sibylla Klingelhöfer B.Sc.
Wolfhard Vogt
Karl Meister B.Eng.
Rainer Hänel
Prof. Janin Dietz
Benjamin Jäntsch B.Sc.
Arif Heinrich
Sören Liebelt
Ing. Valentina Börner
Kira Eckbauer
Dipl.-Ing. Pero Ruppersberger B.Sc.
Maurizio Hermann
Heribert Römer-Lindau
Siegrid Hande
Hilmar Graf
Raymond Speer
Dipl.-Ing. Ante Rust
Juliana Weinhage
Swen Schweitzer B.Sc.
Bertold Schenk
Otmar Misicher
Siegrun Reinhardt
Yvette Süßebier
Dr. Mariusz Beckmann
Adrian Killer
Harro Söding
Gertraude Pärtzelt MBA.
Dusan Conradi-Rogner
Amalie Gotthard-Beckmann
Elvira Cichorius
Prof. Marten Söding B.A.
Prof. Emine Beer
Ing. Mattias Boucsein
Ing. Swen Sorgatz B.Eng.
Gerta Klemt
Justine Lindner
Liselotte Lindau
Johann Seidel
Guido Junck
Ing. Emmy Beer
Ilija Hofmann
Gertraud Mentzel
Univ.Prof. Dorit Pechel B.A.
Heide Hesse-Bärer
Karlheinz Stahr
Calogero Mude-Etzold
Kunigunda Heser
Herr Roderich Hauffer
Univ.Prof. Jörg-Peter Riehl
Mirco Girschner
Fabienne Matthäi-Heß
Dörthe Hiller
Frau Francesca Blümel
Reinhard Beer-Etzler
Dipl.-Ing. Gerold Kusch B.Eng.
Grete Peukert
Anna-Lena Sontag-Köhler
Ing. Dietlind Gieß
Andrew Misicher
Frau Korinna Kranz
Harm Hein
Beata Stahr
Wieslaw Käster
Gisa Budig-Löwer
Elisabeth Käster
Justine Kade
Selma Fritsch B.Eng.
Prof. Hannah Hölzenbecher MBA.
Hartmuth Eberhardt
Frau Reinhilde Wirth MBA.
Kay-Uwe Barkholz
Ivana Nerger
Meral Eberhardt B.A.
Cosimo Löffler B.Sc.
Sybilla Striebitz
Ing. Maike Hölzenbecher B.A.
Reimar Rädel
Gunnar Hentschel
Mirjana Schlosser B.Eng.
Fernando Neuschäfer
Jörg-Peter Christoph
Doris Karz
Aurelia Sorgatz
Vinko Schönland B.Eng.
Albina Stadelmann
Frau Mira Klemm
Fredy Hiller
Gerhart Karz
Univ.Prof. Herlinde Klotz
Friedrich-Karl Eberth
Prof. Bela Noack
Ljudmila Nerger
Desiree Ruppert
Imre Mülichen
Notburga Pechel B.Eng.
Erdal Bähr
Ruth Barkholz-Koch II
Dipl.-Ing. Jiri Walter
Ada Kreusel
Conny Zirme B.Sc.
Carin Mohaupt-Heser
Berthold Haase-Trub
Prof. Helga Hesse
Sören Spieß
Aldo Förster
Theda Stumpf B.Eng.
Univ.Prof. Hans-Rudolf Wohlgemut
Dipl.-Ing. Marek Jockel
Friedlinde Meyer
Frithjof Gertz
Britt Bolander B.A.
Ante Gunpf
Edmund Siering
Osman Schmidtke
Ing. Chantal Schleich B.Eng.
Herr Frank Bolnbach
Heidemarie Junitz
Ing. Daria Lorch B.A.
Mareike Wilmsen
Klaas Vogt
Andy Mangold
Jörg Pechel
Dipl.-Ing. Wenzel Hellwig B.Sc.
Gabor Steuer
Tillmann Stolze
Dr. Marie-Louise Wohlgemut B.Sc.
Burckhard Margraf
Michail Schmidt
Prof. Sylvio Gumprich
Annika Lindner
Ivana Eimer
Genoveva Löffler
Victoria Binner
Ramona Henk B.Sc.
Hans-Herbert Gutknecht
Prof. Ildiko Adler MBA.
Harold Scheibe
Benita Schleich
Univ.Prof. Norbert Röhrdanz B.Sc.
Evangelos Hartmann B.A.
Oda Barkholz
Domenico Nohlmans-Eberhardt
Dr. Timo Ernst
German Speer
Prof. Cora Bolander
Fatima Röhrdanz
Prof. Lutz Adolph
Anni Kraus
Hansjörg Holsten
Gina Schmidtke
Gerlinde Albers-Hörle
Rainer Conradi
Sylvana Holzapfel
Univ.Prof. Dorle Fröhlich
Bernhardine Ruppersberger
Reiner Conradi
Paulina Oderwald
Hermann Josef Weihmann
Ilka Faust
Gundula Adler-Bien
Prof. Konrad Neuschäfer
Prof. Clemens Söding
Prof. Sandy Butte
Gertraude Ruppersberger
Frederik Bohlander
Hanno Salz
Prof. Guenter Mosemann
Rolf-Peter Reising B.Sc.
Hubertine Jäkel
Ing. Jo Caspar
Gislinde Junken
Sylvana Hornich MBA.
Stilla Heuser
Arzu Ullrich
Maren Drub
Gisa Dörr B.Eng.
Ing. Wolf-Rüdiger Weihmann B.Eng.
Jonathan Birnbaum-Stiebitz
Michaele Ruppert
Helga Gerlach-Seifert
Ing. Hermine Warmer B.A.
Univ.Prof. Karl-Jürgen Trommler B.Sc.
Alexandre Caspar
Luzie Schäfer
Uli Oderwald-Freudenberger
Vincenzo Haering
Niko Bähr B.Sc.
Heinz-Peter Biggen
Irmtraud Hauffer-Matthäi
Prof. Gertraude Mangold B.Eng.
Lorenz Hande-Hamann
Linus Mans-Röhrdanz
Univ.Prof. Tomasz Atzler B.Sc.
Jörg Haase-Röhricht
Nadja Häring B.Eng.
Univ.Prof. Claus-Dieter Meister B.Eng.
Inna Hande
Dolores auch Schlauchin
Prof. Maria-Luise Drub B.Sc.
Dipl.-Ing. Lieselotte Trüb B.A.
Zeynep Keudel
Kemal Butte-Tintzmann
Heinz-Jürgen Adolph
Rotraud Fiebig
Isolde Seifert
Nikolas Hethur MBA.
Univ.Prof. Halil Staude
Dr. Otmar Linke MBA.
Angelique Adler
Annelore Täsche
Herr Gunther Flantz
Antonia Köster B.A.
Nada Hänel
Ing. Giorgio Warmer B.Eng.
Valeri Mielcarek
Martha Dowerg
Adelgunde Thanel
Volkmar Trub
Gertraude Tintzmann
Dr. Uta Gumprich
Faruk Köhler
Attila Werner
Mattias Kruschwitz
Ing. Dierk Striebitz
Willfried Kostolzin
Cosimo Bender
Bernadette Sorgatz
Kai-Uwe Mitschke
Hans D. Haering
Heinz-Otto Geisler B.Sc.
Frau Tatiana Hande B.Sc.
Gundel Dietz
Univ.Prof. Meta Rädel
Ing. Leo Schulz
Lidia Franke
Angelique Wesack B.Eng.
Ingried Ullmann
Ernest auch Schlauchin
Dorle Dörschner
Karsten Schwital
Veli Rädel
Patricia Trubin
Aleksander Drub
Univ.Prof. Antonina Becker
Henryk Bauer
Clemens Thanel
Univ.Prof. Anne-Kathrin Gerlach B.Sc.
Dagmar Koch
Ruth Wiek-Bloch
Catrin Ziegert-Meyer
Fritz Schenk B.A.
Stephen Bruder
Irmtraut Ortmann MBA.
Berndt Grein Groth B.Sc.
Lieschen Röhricht MBA.
Jörn Trupp MBA.
Yusuf Nette B.Sc.
Dorothee Renner
Torsten Trapp B.A.
Monique Ullmann MBA.
Herr Ansgar Gnatz
Dipl.-Ing. Mariola Lange B.Sc.
Constance Lange
Heinz-Otto Wende
Univ.Prof. Alexandre Schottin
Fatih Ladeck-Weihmann
Ramon Salz
Dr. Fatma Jacob MBA.
Sarina Dörr
Mina Segebahn B.A.
Univ.Prof. Gretl Langern B.A.
Traute Fröhlich
Joana Zimmer B.A.
Kata Gierschner
Claus Butte
Senta Warmer
Ing. Nicolai Textor B.A.
Centa Krebs-Stadelmann
Mara Roht
Frau Nuray Mangold MBA.
Ilja Freudenberger B.A.
Veli Junitz
Kornelius Heintze-Baum
Insa Bloch B.A.
Gottlob Seip
Alena Neureuther
Dr. Muzaffer Sauer B.Eng.
Gudrun Heß B.Sc.
Charles Heinz
Friedhilde Wernecke
Birgid Schüler
Marie-Luise Ring
Isa Tlustek
Arndt Bachmann B.Eng.
Jana Drubin-Heß
Martha auch Schlauchin
Jasmina Cichorius-Barth
Marlies Mude
Sylwia Bolander
Editha Jacob
Dipl.-Ing. Patric Johann
Susi Schuchhardt
Iris Mans
Ing. Jens Henck B.Eng.
Hermine Wohlgemut
Augusta Flantz
Annett Anders MBA.
Rudolph Metz-Mitschke
Käthe Langern-Jacob
Siegfried Schuster
Simon Mude
Maxim Roht
Dr. Gunther Jähn B.A.
Univ.Prof. Frieder Döhn MBA.
Friedrich-Wilhelm Metz
Dr. Annelies Stumpf
Ing. Muharrem Paffrath B.Sc.
Willi Birnbaum
Silvester Fischer
Herr Gordon Weihmann B.Eng.
Irina Birnbaum
Valeria Mende
Rainer Gude-Kaul
Radmila Schomber B.Eng.
Wolfgang Beier-Mohaupt
Prof. Edgar Roht
Dr. Annedore Wulff B.Sc.
Karen Hendriks
Melanie Jungfer-Preiß
Kai-Uwe Stiebitz-Hentschel
Adrian Trupp
Ing. Jenny Oestrovsky
Frau Rosa-Maria Sauer B.Sc.
Herr Alwin Sager B.A.
Dipl.-Ing. Rigo van der Dussen B.Eng.
Vassilios Davids
Alwina Neureuther
Univ.Prof. Heinz-Werner Renner B.A.
Frau Raissa Ruppersberger B.Eng.
Dariusz Wirth
Elisa Mälzer
Paul Carsten
Univ.Prof. Alois Jähn B.Eng.
Constanze Lange
Peter Mitschke
Erna Schmiedt
Alwin Löffler B.A.
Ronald Werner
Filippo Patberg
Dr. Annita Kallert
Dipl.-Ing. Laurenz Gerlach MBA.
Solveig Scheibe
Annett Dehmel MBA.
Patrizia Bender-Reuter
Ing. Hans-Wolfgang Weitzel B.Sc.
Oxana Stumpf
Mariana Jüttner
Gerlind Trüb-Losekann
Catrin Caspar
Hertha Butte B.Eng.
Annegret Holt-Heuser
Dr. Bernfried Schomber
Tillmann Dobes-Trupp
Meinrad Barkholz B.Eng.
Yvette Dietz
Woldemar Heydrich B.Eng.
Max Fiebig
Volker Adler
Winfried Hermann
Ing. Selim Tintzmann B.A.
Herrmann Holt-Lindner
Prof. Heinz-Joachim Losekann
Univ.Prof. Pamela Kambs MBA.
Felicia Löffler
Univ.Prof. Ditmar Mitschke B.A.
Lieschen Kusch-Pechel
Mehdi Bähr B.A.
Univ.Prof. Lucia Zobel
Halina Lachmann
Hasso Mans-Buchholz
Prof. John Jessel
Anna Lübs
Uli Renner
