Student
Hiltrud Klemm
Resi Margraf
Claudius Rust-Mans
Immo Koch II
Zita Winkler
Dipl.-Ing. Danuta Stumpf B.Eng.
Ing. Leopold Beier B.Sc.
Norbert Eimer
Ing. Krzysztof Kambs B.Eng.
Nikolaos Dehmel B.A.
Matthäus Eckbauer
Prof. Marika Davids B.A.
Joachim Steuer
Prof. Kata Häring
Enrico Oderwald
Franz-Xaver Carsten
Hans Dieter Stahr
Nikolaos Ebert-Grein Groth
Herr Rüdiger Ruppersberger
Ing. Adam Klemt MBA.
Elfie Kreusel
Lioba Söding
Erol Jäntsch
Matthias Dowerg
Ismail Steinberg
Ilka Zimmer-Wesack
Prof. Ingbert Nette
Dipl.-Ing. Ernst-Dieter Harloff MBA.
Willy Weiß
Artur Berger
Dipl.-Ing. Serge Nerger
Ansgar Hande
Filippo Juncken
Bertold Stadelmann
Inge Dietz B.A.
Ludwina Haase
Gerolf Radisch
Dr. Catharina Gerlach B.Eng.
Friedrich-Wilhelm Metz
Elisabeth Käster
Dipl.-Ing. Pero Ruppersberger B.Sc.
Dipl.-Ing. Jaroslav Henk
Kay-Uwe Finke
Raphael Höfig
Michel Hermighausen
Monika Hornich MBA.
Otmar Gierschner
Univ.Prof. Romuald Hermighausen
Cora Stumpf-Gunpf
Kristiane Steckel
Ing. Hans-Walter Ackermann
Prof. Annita Wulff
Zeljko Kobelt B.Eng.
Undine Eimer
Frau Ilka Pärtzelt B.Eng.
Karlheinz Martin
Ing. Hüseyin Gutknecht B.Sc.
Dora Jockel
Herr Falk Holzapfel
Augustin Wende
Cläre Heser
Eggert Börner-Geisler
Zlatko Briemer-Karge
Krista Putz
Heinz-Willi Jockel
Dr. Diedrich Gerlach B.A.
Marcus Langern
Senta Ruppersberger
Frau Bianka Henk B.Sc.
Birgitta Loos
Olaf Wesack
Sükrü Fiebig
Jörg Speer
Linda Ziegert-Junken
Univ.Prof. Jörg Jessel MBA.
Benita Geißler
Dr. Gunther Jähn B.A.
Heimo Knappe
Ivo Wesack B.Sc.
Carin Rohleder
Dipl.-Ing. Hanns Nette
Prof. Juan Hamann
Trude Scholtz B.A.
Witold Wulf
Maurizio Hartmann
Dr. Almut Peukert MBA.
Klaus-Michael Mälzer
Dr. Wanda Dippel
Univ.Prof. Heidrun Hiller
Ing. Danica Gieß MBA.
Clara Mans
Joana Zimmer B.A.
Prof. Maya Peukert
Meral Liebelt
Frau Mareile Birnbaum
Dorothea Etzler
Dina Johann
Frau Gertraude Wesack B.Eng.
Svea Hartung B.Eng.
Natalie Neureuther
Utz Staude
Univ.Prof. Halil Staude
Christl Pölitz
Dr. Timo Ernst
Ilija Eckbauer-Steinberg
Ante Gunpf
Gerald Hendriks
Athanasios Bloch
Wolfhard Kensy
Laurenz Ritter
Ben Zahn
Heinz-Wilhelm Kuhl
Ulla Süßebier
Antoinette Schottin
Gabi Klapp
Rouven Bloch B.A.
Ing. Eva Kitzmann B.A.
Univ.Prof. Vadim Vollbrecht B.A.
Prof. Klaas Geißler B.A.
Flora Etzold
Rüdiger Geisler
Burkhard Holt-Schleich
Irena Wilmsen
Philip Weller B.A.
Beatrice Fechner
Madeleine Thanel MBA.
Univ.Prof. Kathi Noack B.Eng.
Miodrag Dörr-Austermühle
Henny Rose
Mathilde Kreusel
Irmtraud Freudenberger
Lilli Harloff
Univ.Prof. Lissi Schomber
Univ.Prof. Gisa Meister
Geza Bloch-Mühle
Emmy Trub MBA.
Agnes Tröst
Univ.Prof. Cläre Weihmann B.A.
Univ.Prof. Traudel Wernecke B.A.
Josefa Junk
Siegfried Schuster
Regina Reuter
Irmgard Hövel
Liesbeth Junck-Benthin
Tatjana Käster-Schüler
Isa Rose
Detlev Heintze
Tassilo Gehringer
Heinz-Georg Rosemann-Bohnbach
Romuald Kambs MBA.
Dr. Ralf Hölzenbecher
Herr Konstantin Neureuther B.A.
Bernt Huhn
Norman Fechner
Frau Krista Rädel B.Sc.
Katrin Ortmann
Prof. Gaetano Weiß
Sybilla Eigenwillig
Tina van der Dussen
Alicia Ring
Gunhild Stroh-Jacob
Reni Roht-Binner
Swantje Binner B.A.
Klaus-Dieter Koch II B.A.
Theda van der Dussen
Sibel Hörle
Ing. Meinhard Schweitzer
Oxana Ladeck
James Kostolzin-Haase
Marcella Franke B.A.
Heide Knappe
Sibilla Mitschke-Losekann
Mariusz Wilmsen B.A.
Julia Conradi-Mentzel
Univ.Prof. Ladislaus Hande
Cosima Johann
Wojciech Losekann-Seidel
Thorben Ruppert
Ing. Maren Schenk
Nadeschda Pölitz
Hedi Bärer
Ottfried Peukert-Schulz
Ottmar Beier
Luka Binner
Wilfriede Ehlert
Prof. Nuran Sauer B.Sc.
Laila Trüb
Ing. Berta Oestrovsky B.Eng.
Fatima Rosemann-Schmidtke
Concetta Karge
Augustin Carsten
Hagen Girschner
Patrizia Bender-Reuter
Liane Reuter
Wolf-Dietrich Berger
Dipl.-Ing. Cynthia Hauffer B.A.
Jennifer Berger
Ing. Rolf Gertz
Dr. Senol Beier MBA.
Luis Ackermann
Pamela Mies B.Eng.
Ing. Mohammed Geißler B.Eng.
Ing. Jens-Peter Tschentscher
Adelgunde Thanel
Ilka Faust
Dietlinde Söding
Miodrag Fliegner B.A.
Saskia Wagenknecht
Yusuf Sontag
Elke Haase
Klaus-Peter Kitzmann
Isa Knappe-Biggen
Karl-Josef Schottin-Hoffmann
Heinz-Dieter Gute
Waltrud Jacob
Ingetraut Jopich
Francoise Zänker-Knappe
Alexander Hörle
Ing. Alma Rudolph B.Sc.
Karlfried Müller
Dipl.-Ing. Miguel Bärer
Prof. Urs Flantz
Darius Trupp
Univ.Prof. Fredy Barth MBA.
Günter Löwer
Janet Johann B.A.
Anika Biggen MBA.
Dipl.-Ing. Janus Roht B.Sc.
Jens Löchel
Ingo Löffler
Ing. Zoran Tintzmann
Frau Käthi Hamann B.Eng.
Gisa Dörr B.Eng.
Erdal Bähr
Dipl.-Ing. Dragica Neureuther
Gisela Schwital-Scheel
Ing. Kristina Biggen
Paolo Hentschel-Zobel
Herr Jan Kobelt
Dr. Hans-Peter Adolph MBA.
Anne-Kathrin Geisler
Hans-Detlef Schleich
Prof. Lieschen Bohlander
Birgitta Schleich
Hannes Meyer
Edeltrud Kambs
Univ.Prof. Siegfried Karz B.Sc.
Anne-Rose Sorgatz
Herr Hansjoachim Geisler
Laurenz Siering-Kallert
Felizitas Jungfer
Petar Bauer
Lidia Franke
Nadeshda Mentzel
Mechtild Hering
Mohamed Schottin
Klaus-Dieter Hecker
Malgorzata Rohleder
Harro Vogt-Gieß
Ing. Siegrid Birnbaum
Alois Werner
Roman Hauffer
Dipl.-Ing. Rüdiger Otto B.A.
Rosalia Pruschke
Gesche Kühnert
Alexandros Ernst
Univ.Prof. Manuela Heinrich
Miroslav Kohl
Dino Martin
Dr. Sonia Hornich B.Eng.
Joachim Rogge
Dr. Marian Rust
Natali Patberg B.A.
Elli Meister
Dajana Ring
Gisela Carsten B.Sc.
Hans Peter Beckmann
Herma Geisler-Beckmann
Ludwig Zimmer MBA.
Natalia Hauffer
Univ.Prof. Rene Jacobi Jäckel B.Eng.
Herr Yilmaz Vollbrecht B.Eng.
Kunigunda Hänel-Briemer
Agathe Weinhage B.A.
Ing. Aziz Hein
Kornelius Pergande-Weiß
Josefine Rosenow-Hertrampf
Maya Conradi
Rudolf Weihmann
Slawomir Ehlert-Reising
Zeljko Henck
Alexandros Heintze
Almut Trupp
Herr Karlheinz Mans
Anneliese Gnatz
Klara Löchel-Bien
Felix Freudenberger
Tillmann Dobes-Trupp
Francoise Vollbrecht B.Sc.
Hans-Josef Butte-Dussen van
Prof. Freya Biggen B.Eng.
Heinz-Günter Weimer B.Sc.
Janin Höfig B.A.
Kemal Butte-Tintzmann
Univ.Prof. Till Vogt MBA.
Margareta Zirme
Dipl.-Ing. Klaus Geisler
Vladimir Patberg-Weller
Faruk Schomber
Gert Seifert
Cläre Bruder-Hentschel
Prof. Kordula Vollbrecht B.A.
Elfriede Gnatz
Dr. Samuel Dobes B.Sc.
Frida Süßebier
Frau Mechtild Fliegner
Ute Stroh
Ing. Gotthard Reuter B.A.
Dipl.-Ing. Theobald Knappe B.Eng.
Hanni Dippel-Heser
Freddy Hande
Antonius Käster
Diethard Gude
Edda Henschel
Martin Pechel-Freudenberger
Prof. Hermann Bohlander B.Eng.
Edwin Förster-Albers
Sandor Ritter
Ing. Engelbert Bauer
Lene Hermann-Kaul
Jörg-Peter Dowerg
Regina Wende
Claire Rogner-Scheel
Marvin Kade-Ladeck
Margareta Dörschner B.Sc.
Elizabeth Budig
Nikolaj Scholz
Carola Kusch
Pius Jopich B.Eng.
Yvette Süßebier
Ingrid Rudolph
Delia Rust
Slavica Ernst-Schmidtke
Friedlinde Sauer
Cemal Hamann
Salih Eckbauer-Renner
Drago Täsche
Manuel Pärtzelt
Aleksander Scheuermann
Alf Jüttner
Dr. Amir Jäkel
Inka Trub
Univ.Prof. Edelgard Naser B.A.
Fernando Dobes
Irmtrud Textor B.Eng.
Krystyna Holsten B.A.
Birte Gröttner MBA.
Erwin Jungfer
Eileen Hartung
Jiri Bärer
Bianka Holsten
Steven Trub
Dipl.-Ing. Wenzel Hellwig B.Sc.
Franka Peukert
Susanna Söding
Regine Sorgatz
Sara Johann
Christof Ditschlerin
Albrecht Seifert B.Sc.
Ing. Luisa Oestrovsky
Dörthe Rädel
Nancy Hartmann-Schottin
Lena Mitschke
Jana Langern
Herr Otto Vollbrecht
Nils Hermighausen
Victoria Hornig
Bruno Hethur
Karla Wirth
Rosina Ditschlerin-Ortmann
Dipl.-Ing. Angelina Mälzer B.Eng.
Hans-Herbert Walter
Prof. Eckhart Jockel B.Eng.
Anna-Marie Zorbach
Bernard Steinberg
Gusti Henschel
Ahmet Thies
Prof. Jelena Krebs B.Sc.
Herr Arnulf Kohl
Heinrich Döring
Luigi Junitz
Bruni Vogt MBA.
Melissa Dietz
Dipl.-Ing. Meral Beyer
Rüdiger Bien-Hübel
Adam Seifert
Jasmina Zorbach
Irmtraut Mülichen B.A.
Vassilios Kramer
Bertha Gotthard
Herr Karl-Heinrich Eberth B.Sc.
Prof. Irma Bien B.Eng.
Berndt Grein Groth B.Sc.
Geza Beckmann
Prof. Linus Kambs B.A.
Univ.Prof. Harro Weller
Ing. Istvan Finke
Josefa Hauffer
Alida Ehlert
Friedemann Stoll
Dr. Egbert Kraus
Univ.Prof. Marita Pohl
Dr. Sigrun Schönland B.A.
Prof. Heinz-Joachim Seidel
Olaf Juncken
Reimund Bohlander
Nadja Hethur
Zbigniew Boucsein
Henryk Bauer
Ruthild Hoffmann
Muharrem Benthin
Dr. Valeri Sölzer B.Sc.
Sergej Hauffer MBA.
Ing. Helmtrud Dussen van
Martha auch Schlauchin
Helene Gröttner-Hornich
Frithjof van der Dussen
Univ.Prof. Hiltrud Löwer
Gilda Scholz
Guiseppe Bien
Ing. Guenther Scholtz B.A.
Stefanie Benthin
Hüseyin Johann
Rouven Ziegert
Beatrice Käster
Gerda Mans
Ruth Hartung
Dorothee Seidel
Friedrich-Karl Jopich B.Eng.
Pavel Jessel
Ilonka Zimmer
Aribert Mitschke
Maria-Theresia Tschentscher
Monique Liebelt-Ebert
Nora Dehmel B.Eng.
Manuela Linke B.Eng.
Jaroslav Benthin
André Sauer
Univ.Prof. Ferenc Knappe B.Sc.
Anne-Marie Stumpf
Prof. Folker Budig
Antonius Bonbach-Juncken
Iwan Schleich
Dr. Jorge Kambs B.A.
Dolores Atzler B.A.
Frau Belinda Plath B.A.
Annelie Heuser
Hardy Wende B.Sc.
Renate Austermühle B.Eng.
Gretel Stroh
Prof. Urs Täsche
Faruk Meister
Dipl.-Ing. Patricia Werner B.Sc.
Frau Trude Walter B.A.
Baldur Knappe
Heiderose Lange-Schüler
Ramona Römer
Tillmann Matthäi B.Eng.
Prof. Jürgen Blümel B.A.
Dipl.-Ing. Albrecht Metz
Zdravko Jacob
Mechtild Niemeier
Carola Franke
Herr Ignatz Boucsein MBA.
Univ.Prof. Herlinde Klotz
Miroslaw Hentschel-Stoll
Ing. Helene Jähn B.Eng.
Prof. Anna-Lena Wagner MBA.
Jacob Bähr
Folker Otto MBA.
Eberhard Dobes
Jessika Schacht
Herr Hilmar Stumpf
Dipl.-Ing. Eveline Jäkel MBA.
Mehdi Kohl B.A.
Michel Kuhl
Lena Losekann
Tomas Gröttner
Stephanie Kranz B.A.
Chantal Fröhlich
Liesbeth Schlosser
Herr Salih Blümel
Ralf-Dieter Riehl B.Eng.
Liesa Neureuther
Regine Wende B.A.
Wolf-Dieter Schmiedt
Ivana Nerger
Florian Wulff
Aleksandra Stey MBA.
Stephen Ackermann B.A.
Silvia Eberth
Hans-Jörg Lachmann
Anatolij Peukert
Danilo Hein-Scheibe
Anthony Oderwald
Friedrich-Wilhelm Roht-Wiek
Anneli Butte
Frederik Bohlander
Ortrun Siering
Ing. Marten Hering
Meinhard Schuster
Isolde Seifert
Freia Hofmann
Gisa Hornig-Geißler
Frau Annette Fiebig B.Eng.
Ing. Cosimo Steinberg
Klaus-Peter Gieß-Winkler
Muzaffer Sorgatz
Dr. Gerard Reichmann MBA.
Pia Fliegner
Alfredo Möchlichen
Anka Boucsein
Willy Kallert
Sergei Ritter
Manfred Juncken
Dr. Saban Hoffmann B.Eng.
Brian Blümel B.Eng.
Lucie Gutknecht
Juan Fechner
Elise Heinz
Frau Reinhilde Wirth MBA.
Ignatz Börner
Kristin Kaul B.Sc.
Wilma Paffrath
Ing. Klothilde Hörle B.A.
Prof. Ralf-Peter Schlosser B.Eng.
Geraldine Wagner
Halina Römer-Hartung
Gert Fischer
Frau Chantal Ebert B.Eng.
Steven Weinhold B.A.
Elfi Kranz
Herr Bastian Hübel B.A.
Karl-Jürgen Ziegert
Rosa Christoph-Sontag
Kay-Uwe Trommler
Dipl.-Ing. Josip Mies
Dipl.-Ing. Salvatore Zänker MBA.
Bayram Hering
Beatrix Rädel MBA.
Elli Kuhl B.Eng.
Hans-Christian Roht
Prof. Sonia Blümel
Ing. Wolf-Rüdiger Herrmann B.Sc.
Ulrike Gierschner-Koch II
Grete Peukert
Gabriela Girschner
Dipl.-Ing. Leokadia Junk
Hildegunde Geißler-Klemm
Rebecca Oderwald
Dr. Ella Warmer
Annemie Margraf
Halina Austermühle-Bender
Jurij Bärer
Herr Bastian Ritter B.Sc.
Brian Dussen van
Sebastian Karge
Ing. Magda Jäntsch
Dipl.-Ing. Rabea Sorgatz MBA.
Domenico Gerlach-Kramer
Ehrenfried Seidel MBA.
Mary Reuter B.Sc.
Falk Höfig
Pia Steuer
Süleyman Baum
Frau Elfi Winkler MBA.
Margit Müller
Hedwig Matthäi
Univ.Prof. Jaqueline Dehmel
Maren Scholz-Bohlander
Dr. Editha Rohleder
Univ.Prof. Luka Mende
Margarete Mohaupt B.Sc.
Ottokar Döhn
Gretchen Pohl
Gerta Klemt
Kathi Seip
Krzysztof Mülichen
Univ.Prof. Dana Seifert
Tabea Rogge
Senol Langern
Vittorio Hertrampf
Siegrun Reinhardt
Ing. Klaus-Michael Bolzmann
Gino Häring
Dr. Denise Girschner B.Sc.
Dr. Jonas Fechner
Prof. Mathilde Segebahn MBA.
Anne Schmidtke
Hagen Weimer
Prof. Rabea Hettner B.Eng.
Harriet Ullmann
Francoise Dippel B.Eng.
Ilja Wende
Fatima Weinhage-Boucsein
Frau Wenke Klemt
Prof. Liliana Klemm MBA.
Magarete Beyer B.Eng.
Rosalinde Killer
Eleonore Kuhl-Koch
Dr. Theresia Mende
Elfi Wesack
Sofia Roht MBA.
Gitte Römer-Kroker
Prof. Ferdinand Gertz B.Sc.
Maurizio Mans-Ullmann
Wilhelm Metz
Oscar Fritsch
Juergen Bähr
Sibylla Koch MBA.
Jelena Löffler
Prof. Gunter Mentzel
Fatima Eckbauer-Rosemann
Ilja Hartung
Ing. Torben Hande MBA.
Ilse Nette
Prof. Irmgard Mühle
Hans-Willi Ladeck
Prof. Theda Hölzenbecher
Rahel Stey
Dr. Peer Schwital MBA.
Univ.Prof. Anneke Gunpf
Philipp Reising-Harloff
Ernst-August Gutknecht
Evangelos Staude
Dr. Joseph Bien
Geert Etzold
Dietlind Albers
Joanna Christoph
Anka Jäkel-Ackermann
Oliver Bien
Hildegund Ruppersberger
Ing. Alexander Mude
Jadwiga Gotthard
Dorota Mude
Daniele Seip
Univ.Prof. Ivonne Haase B.Sc.
Hartmut Biggen-Trapp
Justine Lindner
Dr. Jens-Uwe Ruppert
Univ.Prof. Irene Budig
Herr Lukas Eimer
Prof. Volkmar Wirth B.Eng.
Vincent Kranz B.A.
Roland Putz
Karl-Peter Kramer
Roselinde Ebert
Ismail Geisler
Bertha Köhler
Sibylle Stey
Cynthia Linke
Brian Lehmann B.Eng.
Dina Hartung
Svetlana Schenk-Barth
Severin Barkholz B.Eng.
Notburga Heuser
Milan Weiß-Schuchhardt
Prof. Grete Müller
Meike Rosenow
Inka Trapp
Alwin Schaaf
Dipl.-Ing. Karl-Heinz Rörricht
Otmar Ditschlerin
Univ.Prof. Waltrud Rogner
Gunther Tschentscher
Horst-Peter Ritter
Patric Stahr-Ebert
Herr Simon Fliegner MBA.
Carmelo Stiebitz
Massimo Dörschner
Ing. Dagmar Bohnbach B.Eng.
Wolfhard Vogt
Frau Josefa Henschel B.A.
Hertha Butte B.Eng.
Telse Steuer B.Eng.
Helma Fliegner
Adalbert Vollbrecht
Frauke Staude
Philomena Bloch
Herr Marian Schlosser B.A.
Valeska Zimmer-Schleich
Adam Gertz
Zita Ullmann-Heydrich
Prof. Gesine Lange
Siegmar Keudel-Gude
Dipl.-Ing. Mariechen Bonbach
Giesela Wagner
Hans D. Kusch B.Sc.
Marie-Luise Rogner
Carmela Lindau
Univ.Prof. Wibke Reinhardt B.Eng.
Fabian Lübs
Ortwin Scholl
Anne-Rose Klemm
Ekrem Spieß
Anneli Neuschäfer
Anni Seidel B.Eng.
Serge Trubin
Jelena Meyer MBA.
Katharine Mohaupt-Heuser
Ing. Maike Hölzenbecher B.A.
Heino Römer
Univ.Prof. Ioannis Lübs B.Eng.
Hartwig Zirme
Hans-Rainer Rogner
Susann Haering
Dipl.-Ing. Mahmoud Mühle B.Eng.
Reimar Rädel
Krzysztof Kruschwitz
Tibor Köhler-Schönland
Gerwin Schuster
Peter-Michael Spieß
Ing. Anastasios Berger
Gereon Wende MBA.
Zbigniew Schleich-Huhn
Isabell Briemer
Marjan Segebahn B.Eng.
Hilda Stey B.Eng.
Eva Wende-Peukert
Madlen Salz
Ing. Tanja Scheibe B.Eng.
Dr. Marianne Reising
Alwin Scholl
Valeria Mende
Sedat Gude
Dr. Alberto Kabus B.Sc.
Aurelia Dussen van MBA.
Andre Stroh
Lieschen Walter
Tadeusz Hentschel
Hansjürgen Lindner
Jessica Stumpf
Cläre Mohaupt
Zita Klemt
Erol Röhrdanz
Klaus-D. Dippel MBA.
Deborah Becker
Hanspeter Juncken
Christiane Mentzel
Niko Butte-Rosenow
Kata Atzler
Hartmuth Eberhardt
Gerdi Neureuther-Mälzer
Cornelia Schinke
Aziz Bauer MBA.
Hans-Bernd Trubin-Klemt
Hermine Franke B.Eng.
Prof. Natalja Mies MBA.
Annelise Schwital
Stavros Hoffmann
Caroline Haering MBA.
Isabell Kroker B.Eng.
Prof. Gertraud Drewes
Detlev Stadelmann
Annemarie Häring
Wibke Cichorius
Willibald Boucsein B.Sc.
Tilmann Geisler
Marie-Therese Birnbaum
Engelbert Carsten-Hiller
Prof. Tadeusz Mosemann B.Sc.
Ellinor Kraus
Adolfine Fischer
Branka Mentzel
Dipl.-Ing. Margaretha Köhler B.Eng.
Heide-Marie Heß B.A.
Dr. Leonie Köster
Torben Schweitzer
Univ.Prof. Henryk Kostolzin
Mercedes Blümel
Dr. Leo Schlosser MBA.
Dipl.-Ing. Ingbert Krebs B.Eng.
Burckhard Mende
Elena Gotthard
Dr. Bernfried Bärer
Jana Wulf MBA.
Cengiz Dehmel
Nina Wagenknecht
Dr. Franco Wilms
Jens-Uwe Geisler
Carlo Martin B.Eng.
Nicole Scheibe
Pirmin Wulf B.Sc.
Prof. Siegrun Langern
Patrick Döring
Sofia Mielcarek B.A.
Dipl.-Ing. Dursun Köhler
Detlev Weihmann-Schäfer
Mariana Kranz
Carina Hövel
Univ.Prof. Beatrix Roskoth
Eleni Franke
Ing. Philipp Textor
Dr. Franz-Peter Löffler
Adelinde Gutknecht-Beier
Peer Grein Groth-Lange
Vittorio Harloff
Carlo Ackermann-Birnbaum
Ing. Pamela Gerlach
Anselm Mühle
Prof. Wolfram Binner B.Eng.
Brigitte Zirme B.Sc.
Frank-Peter Bien
Dipl.-Ing. Amanda Striebitz
Dr. Burkard Bolzmann B.A.
Univ.Prof. Ron Rörricht
Benjamin Stoll
Hans-Adolf Junken
Aurelia Mude
Univ.Prof. Liliana Niemeier B.Eng.
Univ.Prof. Heimo Dobes B.A.
Dunja Dörr B.Sc.
Christos Bolander
Lissy Dippel
Hansgeorg Heuser
Kai-Uwe Schäfer
Emmerich Killer
Traudl Christoph
Ingried Sauer
Dr. Cäcilia Henk B.Eng.
Raisa Stey-Sauer
Mirko Ehlert
Guiseppe Rust
Klaus-Werner Jäkel-Holsten
Marijan Huhn
Otto Butte
Francisco Wirth
Volkmar Mosemann
Niko Geißler-Wirth
Hans-Theo Bärer B.Eng.
Eckhard Sölzer
Dr. Annika Gude MBA.
Hanife Ullrich
Dr. Achim Barth
Mandy Loos
Thorsten Adler B.Sc.
Prof. Evelyn Henk
Dr. Margita Stiebitz
Hans Misicher
Anica Austermühle
Karl-Heinz Buchholz
Prof. Robert Heintze
Gülay Werner
Herr Wolfhard Hövel
Dr. Emin Dietz B.Sc.
Abraham Adler
Nathalie Lehmann
Frau Christiane Zänker B.A.
Harro Gunpf
Dr. Mario Lorch
Ortrun Pohl B.Eng.
Ing. Kläre Radisch
Susanna Beyer B.Eng.
Gert Nette
Magdalena Sauer
Dipl.-Ing. Hans-Erich Klemm
Hermann Bruder
Zdravko Kroker
Swantje Heinz
Julius Liebelt
Alois Jungfer B.Eng.
Gebhard Seidel
Anastasios Heinz
Univ.Prof. Jann Schleich
Ilias Wagner
Janin Hamann
Prof. Branko Weller MBA.
Herr Valerij Heydrich
Knut Jacob
Herr Thorben Jacob
Philip Renner
Hansgeorg Beier-Freudenberger
Valentin Gute
Frau Änne Gunpf B.Sc.
Kläre Beier B.A.
Wenke Patberg
Dr. Olaf Gierschner B.Sc.
Mareen Krebs-Hofmann
Slobodan Hauffer
Maurizio Hermann
Jaroslaw Eckbauer
Valentina Weihmann-Zahn
Franca Mentzel
Dr. Alena Hövel
Arnfried Lorch B.A.
Dipl.-Ing. Kristine Klapp MBA.
Univ.Prof. Ottmar Jopich
Stjepan Schmidtke
Gloria Schulz-Huhn
Sedat Matthäi
Heribert Steuer
Madeleine Hermann B.Sc.
Dr. Sara Niemeier
Reingard Jungfer
Gislinde Müller
Dr. Marco Scheuermann
Dipl.-Ing. Bodo Junk B.Eng.
Carlo Pohl
Verena Hornich
Dipl.-Ing. Kriemhild Löchel
Rosita Möchlichen-Stumpf
Adriane Heinz-Metz
