Student
Herr Karl Dippel B.A.
Ing. Bernard Schleich B.Sc.
Ing. Willi Warmer B.Eng.
Gislinde Lehmann
Berend Gertz B.Eng.
Aneta Heydrich
Jorge Killer
Julia Pärtzelt
Julia Conradi-Mentzel
Oda Barkholz
Malte Davids
Marlen Hesse
Malte Herrmann-Zänker
Miroslawa Rose
Heidrun Stiebitz
Friedbert Sorgatz
Christa Säuberlich
Prof. Horst Mälzer B.Sc.
Eugen Weitzel
Univ.Prof. Sebastian Sontag
Isidor Atzler
Tadeusz Hentschel
Helene Keudel
Ryszard Lehmann
Karola Zorbach B.Eng.
Walentina Hesse
Dipl.-Ing. Zenta Hornig B.Sc.
Olaf Wesack
Marzena Mentzel
Ing. Heinz-Josef Hoffmann
Georgine Schäfer
Dipl.-Ing. Jaqueline Striebitz
Vera Losekann
Prof. Sandra Klapp
Gert Hölzenbecher B.Sc.
Univ.Prof. Hanspeter Gorlitz
Prof. Lotti Löffler
Herwig Krebs
Ing. Hulda Schaaf
Ing. Herwig Drub MBA.
Dorothea Etzler
Ing. Alfred Söding
Malte Schäfer
Univ.Prof. Ewald Rogner B.Sc.
Gudula Holzapfel
Ernestine Tröst
Marko Trupp
Frau Juliane Schulz B.Sc.
Vincenzo Steinberg B.Sc.
Claus-Dieter Krause
Inga Eberhardt
Gundula Ruppersberger
Prof. Dirk Biggen B.Eng.
Balthasar Klemm
Univ.Prof. Etta Bohnbach
Univ.Prof. Marita Pohl
Prof. Bela Noack
Damaris Bien
Dragan Trub
Ellen Vogt
Angela Weimer B.A.
Hans-Albert Wirth
Angelica Klemt
Prof. Ingbert Nette
Ing. Gerold Mende
Raymond Römer
Waltraut Gehringer
Isidor Heinrich
Natalja Seidel
Mirko Bolander
Ing. Bernfried Pruschke
Julia Ruppersberger
Wieslaw Freudenberger
Irma Neureuther
Univ.Prof. Markus Schottin
Danilo Losekann
Irmtrud Röhrdanz
Veronica Benthin
Frau Margit Gehringer MBA.
Hans-Ulrich Dussen van
Dörthe Mitschke-Holt
Univ.Prof. Ottmar Jopich
Margaret Kraus
Horst-Dieter Bähr
Ing. Wencke Speer
Ditmar Bien
Herr Laurenz Häring
Dr. Amir Jäkel
Emmy Koch
Ivonne Lachmann
Hansjörg Roht
Stavros Ortmann
Waltrud Stroh
Frau Eugenia Matthäi
Damaris Zirme
Frieda Gröttner
Zofia Schönland B.Sc.
Leopold Weller-Zobel
Univ.Prof. Reginald Lorch
Dipl.-Ing. Astrid Kade
Frau Nadeshda Ruppert
Ing. Nuran Schaaf
Arif Pergande-Wagenknecht
Constance Lange
Krista Bohnbach
Dusan Eigenwillig
Hasso Zahn
Dr. Annika Gude MBA.
Univ.Prof. Alexandre Schottin
Fredi Huhn
Dr. Klothilde Lachmann B.A.
Laurenz Ritter
Regine Häring
Univ.Prof. Resi Kobelt
Clara Mans
Stephanie Beer
Marlene Heuser-Trub
Ferenc Trüb B.A.
Irmtrud Schmiedt B.Sc.
Hans-Jörg Trupp-Säuberlich
Lutz Wagenknecht-Gotthard
Dr. Ursel Gute
Gilbert Schottin
Lucia Hermighausen
Martina Keudel
Nico Hartung-Linke
Toralf Jessel
Ehrhard Klotz
Margret Hentschel-Davids
Liane Hermann MBA.
Reinhold Bloch
Univ.Prof. Gottfried Süßebier
Zenon Pärtzelt
Philomena Bloch
Hanne-Lore Kraus
Univ.Prof. Franz-Xaver Girschner B.Sc.
Sandor Riehl
Sören Trommler
Steven Steinberg B.Eng.
Herr Karl-Heinrich Eberth B.Sc.
Jose Tlustek B.Sc.
Patrick Wohlgemut
Günter Wiek B.A.
Mirjana Schlosser B.Eng.
Birger Becker
Artur Briemer
Ralph Jacobi Jäckel
Stjepan Wesack-Winkler
Frau Danica Davids B.A.
Zoltan Preiß B.Eng.
Silvester Fischer
Ing. Alma Rudolph B.Sc.
Rahel Kreusel
Meta Eigenwillig
Ellen Gutknecht
Ing. Boris Junck MBA.
Herr Frank-Peter Jopich
Gülten Ruppersberger-Wende
Ing. Hanna Killer
Artur Budig
Elke Haase
René Ehlert
Prof. Urs Flantz
Rupert Kallert
Karl-Peter Hofmann B.A.
Frau Maria Jopich
Jenny Scholtz
Robin Sölzer
Monique Stroh
Univ.Prof. Hartwig Holsten B.Sc.
Magret Bähr
Wilfriede Misicher
Dipl.-Ing. Leo Sager
Andrej van der Dussen B.A.
Prof. Johan van der Dussen
Prof. Volkmar Wirth B.Eng.
Tony Henk MBA.
Pero Scheuermann
Herr Hellmuth Birnbaum B.A.
Liselotte Lindau
Evangelos Hartmann B.A.
Joana Mielcarek B.A.
Mehmet Beckmann-Geisel
Anny Zirme
Dirk Graf-Stiffel
Eva-Maria Mies MBA.
Marika Zänker B.A.
Dr. Lilly Conradi B.Sc.
Imre Mülichen
Univ.Prof. Walfried Hövel
Urs Bähr
Gitte Römer-Kroker
Ing. Wenke Karge B.Sc.
Prof. Natalja Käster MBA.
Jaroslaw Pieper MBA.
Ing. Baldur Blümel MBA.
Dr. Zeki Eberth
Felix Hölzenbecher B.A.
Univ.Prof. German Rörricht
Pia Steuer
Wilfriede Ehlert
Edgar Jüttner
Ignatz Wähner-Hänel
Desiree Ruppert
Hüseyin Stahr
Dr. Muzaffer Sauer B.Eng.
Erik Trupp MBA.
Ortrun Siering
Magdalena Löwer B.Eng.
Ewald Kreusel
Sergej Hauffer MBA.
Lene Hermann-Kaul
Edith Binner
Elise Hentschel
Jacek Täsche
Nikolai Rädel-Klemt
Conny Metz
Johann Oestrovsky
Freia Lübs
Sara Johann
Nurten Henschel-Stroh
Marianna Geisler
Prof. Sarina Hartmann
Zbigniew Weinhage
Annelie Schomber
Dorle Schmidtke MBA.
Heinz-Willi Geisel
Jozef Bohlander
Leif Christoph
Rolf-Dieter Flantz B.Eng.
Univ.Prof. Jaqueline Dehmel
Dipl.-Ing. Jens-Uwe Dobes
Stavros Schinke
Frederik Bohlander
Annemarie Häring
Prof. Petar Köhler
Serge Kraus B.Eng.
Ing. Lisbeth Fritsch
Susanna Schaaf
Roger Hendriks-Ruppersberger
Hannes Jäntsch
Ing. Gregor Lindau
Saskia Wagenknecht
Gertraud Mende
Jens-Uwe Käster
Gilbert Peukert B.Eng.
Stephan Warmer B.Eng.
Ing. Massimo Losekann
Horst-Günter Zirme
Pius Röhrdanz
Dipl.-Ing. Violetta Briemer B.A.
Frau Angelina Martin
Jochem Hermighausen
Ludwig Zimmer MBA.
Eileen Geißler
Univ.Prof. Damian Sorgatz B.Eng.
Tony Hecker
Adelinde Zimmer
Dipl.-Ing. Giorgio Drubin B.Eng.
Dörthe Hiller
Eleni Krause B.A.
Dipl.-Ing. Dorina Lindau B.Sc.
Hans-Michael Krein-Wernecke
Silja Kraus-Schuster
Irmtrud Pohl
Faruk Köhler
Marvin Kade-Ladeck
Sylvia Schenk
Prof. Gabriella Holt B.Eng.
Prof. Natalija Weinhold
Catrin Hamann
Ekkehart Grein Groth
Elmar Patberg
Friedrich-Karl Zorbach
Monique Schleich-Kroker
Vito Gorlitz
Prof. Marko Rohleder B.A.
Bayram Cichorius-Zobel
Hedi Gumprich
Emil Preiß-Hecker
Ing. Jeanette Rosemann B.Eng.
Cosimo Zimmer
Rouven Eberhardt
Fatih Bohlander
Ilija Hofmann
Maren Anders
Elli Täsche B.Eng.
Dipl.-Ing. Korinna Pärtzelt
Prof. Rosa Kruschwitz B.Sc.
Ralf-Dieter Kroker
Kata Atzler
Stjepan Schmidtke
Anett Bien-Schuster
Ekrem Zänker
Mandy Loos
Reingard Geisel
Brunhild Briemer B.Sc.
Ottilie Scheel
Annelies Seifert
Univ.Prof. Janos Rörricht MBA.
Dajana Meyer
Sylvia Schäfer
Jacob Bähr
Aleksej Lehmann
Christl Wähner
Nuran Schottin B.Eng.
Zdenka Weiß
Univ.Prof. Dolores Jäkel
Guiseppe Kranz
Herr Gisbert Langern
Gusti Henschel
Carl-Heinz Trapp
Steve Scholl-Ladeck
Margita Meister
Annamaria Kade-Fischer
Ing. Petar Hänel MBA.
Annie Gnatz B.A.
Edeltraud Mülichen
Frau Renate Geisler
Ing. Hermine Warmer B.A.
Xenia Christoph
Dr. Otto Schmidtke MBA.
Elmar Förster
Dr. Diedrich Gerlach B.A.
Osman Schmidtke
Daniel Stiebitz
Viviane Fritsch-Martin
Prof. Sonia Blümel
Frau Karolina Hörle
Cindy Tschentscher
Prof. Kathy Warmer MBA.
Prof. Siegbert Scheuermann B.A.
Arnold Oderwald
Herr Wieland Hartmann MBA.
Corina Pergande
Hans-Georg Scholz
Gerwin Ortmann
Ing. Melanie Hamann
Luzie Sager-Gierschner
Emma Briemer B.Eng.
Zita Butte
Dipl.-Ing. Daniele Geißler
Käthi Löffler
Jens Trub
Carl-Heinz Kraus
Lambert Wilmsen
Univ.Prof. Gundi Koch B.A.
Gisa Budig-Löwer
Jann Fröhlich
Reimund Kraushaar
Birgid Drewes-Seifert
Prof. Nikolaos Steinberg B.Sc.
Centa Krebs-Stadelmann
Christina Geisel-Hesse
Eugenia Sorgatz
Wojciech Rogner
Kay-Uwe Ziegert
Birgit Pergande
Ing. Chantal Schleich B.Eng.
Dr. Reinhilde Thies B.Eng.
Herta Keudel
Rosemarie Schmiedecke
Herr Gordon Weihmann B.Eng.
Juan Klapp B.Eng.
Frau Reinhilde Wirth MBA.
Faruk Birnbaum
Emma Briemer
Camilla Gunpf
Frau Caren Schmidt MBA.
Ricarda Warmer B.A.
Ingmar Beckmann
Magarete Krause
Fatima Röhrdanz
Elzbieta Putz B.Eng.
Ing. Guenther Scholtz B.A.
Sabine Gude
Slavko Weitzel B.Sc.
Jörgen Paffrath B.Sc.
Ing. Agnes Zobel
Karl-Wilhelm Anders-Gude
Alban Dippel
Joana Wähner
Gordana Bolnbach
Heidelore Zirme
Dorle Knappe
Univ.Prof. Arno Kramer B.Eng.
Othmar Hölzenbecher
Liliana Davids
Hilde Walter
Ivanka Rogge
Prof. Kata Häring
Balthasar Kruschwitz B.A.
Heinz-Werner Briemer B.A.
Elma Junken
Anne-Rose Hettner B.A.
Erol Jäntsch
Hans-Herbert Flantz
Hellmuth Heidrich
Giuseppina Keudel
Carmelo Klapp-Berger
Carla Tintzmann
Jann Geisler
Katerina Drubin
Amalia Hermann-Schäfer
Prof. Martin Ullmann
Aleksandra Benthin
Heinz-Günther Bohnbach
Horst-Dieter Gude
Univ.Prof. Undine Becker MBA.
Peter Rohleder
Hedi Bärer
Friedemann Kostolzin
Herr Rudi Neuschäfer
Darius Loos
Prof. Heinz-Peter Thies
Lorenz Schwital-Stadelmann
Artur Berger
Ulrike Hiller
Wenzel Wilmsen
Ewa Eimer-Linke
Nikolai Stiebitz
Beatrix Rädel MBA.
Christopher Gertz-Kade
Giovanni Weller-Söding
Benno Klemt
Uli Schönland-Trupp
Elly Hande
Univ.Prof. Guido Carsten MBA.
Sofia Hethur
Leonore Jäkel
Hasso Mans-Buchholz
Volkmar Mosemann
Bernhardine Bender MBA.
Univ.Prof. Karl-Jürgen Trommler B.Sc.
Rebecca Oderwald
Frau Monique Löchel
Hans-Jörg Lachmann
Elena Wilmsen
Erol Eimer
Maria Bruder
Ing. Karl-Georg Dobes
Mariana Jüttner
Ing. Dorothee Harloff B.Sc.
Karolin Mitschke
Süleyman Baum
Theresa Caspar
Ing. Amalia Walter
Anto Kostolzin
Anthony Patberg
Karl-Josef Schottin-Hoffmann
Sergio Kraushaar-Anders
Susan Warmer
Andreas Metz
Nikolai Mohaupt
Jakob Seifert
Catherine Huhn
Istvan Patberg-Anders
Nikola Kitzmann
Elizabeth Budig
Kunigunda Hänel-Briemer
Ole Süßebier MBA.
Evangelos Ring-Schmiedecke
Lilo Hartung
Dipl.-Ing. Jiri Walter
Dorle Zirme
Abram Briemer
Ariane Löchel
Prof. Catherine Knappe MBA.
Simone Harloff B.Eng.
Enver Dehmel
Univ.Prof. Nevenka Döhn B.Eng.
Mirja Wähner
Herr Gerhardt Benthin
Aline Steinberg-Klingelhöfer
Milka Wohlgemut-Meyer
Vinko Schönland B.Eng.
Immo Ring
Dr. Wolf-Rüdiger Trüb
Ditmar Briemer
Clara Stroh
Francoise Zänker-Knappe
Hartmut Zirme
Heinz-Günter Boucsein
Cord Zorbach
Dietrich Adolph MBA.
Anastasios Kuhl
Enrico Oderwald
Prof. Anna Kühnert B.Sc.
Vassilios Trommler-Gieß
Prof. Marija Seidel
Hans-Detlef Kobelt
Friedemann Stoll
Adalbert Schmidtke
Micha Eckbauer B.Sc.
Prof. Lene Oestrovsky B.Sc.
Dr. Eberhardt Adolph B.Eng.
Franz-Peter Benthin-Reichmann
Sylvio Gutknecht
Felizitas Becker-Mosemann
Ing. Romuald Kreusel B.A.
Freddy Hande
Heinz-Günter Schuster
Ing. Knut Christoph
Dierk Dörr
Dursun Mies
Herr Osman Gerlach B.Sc.
Aenne Beyer
Hildegunde Staude
Siegbert Kranz
Salih Köster
Horst-Peter Faust
Gregor Knappe B.Eng.
Anica Kade-Steuer
Adriana Vogt
Alla Weihmann
Jiri Bärer
Domenico Reichmann
Bertha Köhler
Fridolin Paffrath-Geisler
Dr. Lidija Metz
Univ.Prof. Roman Misicher
Waltrud Gumprich
Inken Hellwig-Hermann
Ing. Swen Ehlert
Sigmund Conradi
Anna-Marie Heidrich
Giesela Wagner
Ernst-August Gunpf
Dietlind Anders B.A.
Krista Scholtz
Nurettin Bärer B.Eng.
Konstanze Mohaupt
Francisco Budig-Geisler
Jörg-Peter Dowerg
Benita Ullmann
Marietta Heinrich
Ingbert Hartung
Ilija Höfig
Ada Kreusel
Gisa Hornig-Geißler
Gerda Kitzmann
Heinrich Kramer
Saskia Roskoth B.Eng.
Susann Henk
Melitta Salz
Ing. Hans-Wolfgang Weitzel B.Sc.
Nicolai Röhricht-Spieß
Hans-Gerhard Staude
Prof. Susanne Rose
Kazim Tschentscher
Annamaria Hänel-Zimmer
Käte Ditschlerin-Roht
Prof. Ursula Niemeier B.Eng.
Dr. Anny Kallert
Dipl.-Ing. Jaroslav Henk
Margit Losekann
Univ.Prof. Paulo Jähn
Ing. Karl-Dieter Stroh
Florentine Sölzer-Siering
Boris Bachmann
Rainer Henk-Gotthard
Maik Tintzmann B.Sc.
Gerta Stey-Klemm
Simona Lorch
Susanna Weitzel
Prof. Apollonia Gerlach B.Sc.
Margarethe Steckel
Frau Evelyn Tlustek B.Sc.
Dr. Heinz Dieter Dörschner
Ria Stroh
Dipl.-Ing. Stefano Ditschlerin
Ottmar Hölzenbecher
Prof. Klaus Peter Bruder
Heinz-Joachim Jähn
Anastasia Mans
Hildegart Weitzel
Reza Kusch
Henrik Heidrich
Rahel Dörschner
Bettina Klapp
Kornelius Winkler
Woldemar Bolzmann B.A.
Frank-Michael Löwer-Ring
Dr. Myriam Pieper B.Eng.
Antonietta Hübel
Luis Ackermann
Oxana Lübs
Frau Xenia Blümel
Mikhail Bauer
Mirella Löchel
Siegmar Pergande
Univ.Prof. Anny Stolze
Anne-Katrin Höfig
Dr. Annaliese Lindner
Liesbeth Koch II
Jasmina Bolzmann-Hövel
Karl Zirme
Mareen Mies B.Eng.
Prof. Nuran Sauer B.Sc.
Ria Walter
Luisa Barkholz
Lars Ullrich
Edeltraut Anders-Rohleder
Prof. Ignaz Cichorius
Maurizio Hermann
Herr Bruno Kreusel
Herlinde Schenk B.A.
Orhan Wieloch
Caterina Weinhage
Anna-Marie Zorbach
Dr. Mohamed Kroker B.Eng.
Vinzenz Bruder
Dr. Mato Geisel
Brit Anders
Zeki Hartung
Annett Mies-Hellwig
Ilse Nette
Mato Patberg-Heintze
Gerta Klemt
Justus Schleich-Drewes
Frank-Michael Sontag
Prof. Augustin Stey B.A.
Klaus-Peter Schüler-Schaaf
Natali Patberg B.A.
Dipl.-Ing. Kristine Klapp MBA.
Liliana Zorbach MBA.
Amanda Eimer B.Sc.
Frau Mia Kaul MBA.
Franz Löwer
Prof. Marika Davids B.A.
Reinhart Jopich
Marianne Hecker
Folkert Schwital
Ludmila Dobes B.A.
Dr. Annekatrin Striebitz
Univ.Prof. Aysel Lindau
Antonina Christoph MBA.
Ing. Dorothe Junken
Teresa Ladeck-Rädel
Thorsten Gude
Gertraud Tröst
Gerhild Beyer
Anett Wieloch
Catherine Cichorius
Alicia Ring
Dipl.-Ing. Betti Löffler MBA.
Tomislav Jopich-van der Dussen
Sandy Fechner
Adam Gertz
Brita Roht MBA.
Prof. Magda Textor
Auguste Pruschke
Tilman Hövel
Karl-Heinz Buchholz
Gabriel Kreusel
Lydia Losekann MBA.
Anka Förster
Hugo Keudel B.A.
Dr. Constance Römer
Herr Vito Roskoth B.Sc.
Herr Jacek Budig B.Eng.
Ing. Wiltrud Sauer B.Sc.
Aloisia Faust
Univ.Prof. Amalie Warmer B.Eng.
Prof. Klaus-Ulrich Boucsein MBA.
Anica Tintzmann B.Eng.
Paul-Gerhard Jungfer B.Eng.
Czeslaw Jäkel-Röhrdanz
Evangelia Misicher
Esther Ehlert
Cläre Bruder-Hentschel
Dorit Dowerg
Univ.Prof. Otto Kruschwitz MBA.
Prof. Almuth Dippel
Ronald Hofmann
Telse Steuer B.Eng.
Ludwina Mohaupt
Slawomir Tlustek B.A.
Erdal Bruder
Univ.Prof. Pauline Klemt
Dr. Marian Rust
Hanny Martin
Jens-Peter Bolzmann
Sergio Schleich
Marie-Louise Killer-Etzler
Rolf-Peter Reising B.Sc.
Inna Winkler
Karl-Georg Römer B.A.
Dr. Hans Jörg Zobel
Alwine Linke
Dipl.-Ing. Rüdiger Otto B.A.
Ing. Hatice Gehringer
Helma Hänel B.A.
Ing. Friedhold Hartung B.Sc.
Ilonka Noack
Heide-Marie Heß B.A.
Univ.Prof. Cläre Weihmann B.A.
Siegward Hertrampf
Francis Rohleder
Ing. Marie-Therese Seifert
Torben Schweitzer
Antonios Walter
Valerie Mangold
Prof. Tadeusz Mosemann B.Sc.
Ing. Pawel Rörricht
Anastasios Karge
Waldtraut Hoffmann
Dorothee Renner
Domenico Nohlmans-Eberhardt
Jan Gumprich
Janina Faust MBA.
Univ.Prof. Helge Pieper
Sofia Heinrich
Mohammad Finke
Kristin Kabus
Mariola Heinrich
Brian Ditschlerin
Sükrü Walter B.Eng.
Frau Bianka Henk B.Sc.
Hanni Dippel-Heser
Rose-Marie Schüler
Renate Austermühle B.Eng.
Stavros Vollbrecht-Geißler
Prof. Natalja Mies MBA.
Korinna Spieß MBA.
Franka Weinhold
Irma Atzler-Herrmann
Frau Tatiana Hande B.Sc.
Ing. Isolde Rosenow
Univ.Prof. Leif Süßebier B.A.
Trudi Radisch
Prof. Erwin Albers B.Sc.
David Warmer
Adolfine Lange
Elvira Scholtz
Michail Pechel
Reimar Rädel
Univ.Prof. Emine Vogt B.Sc.
Ludwina Haase
Anne-Rose Klapp-Jockel
Ljiljana Stoll
Hermann Bruder
Hans-Karl Bauer B.Eng.
Dr. Elzbieta Mitschke B.Eng.
Rosalinde Trupp
Dieter Trupp
Hans-J. Hahn-Süßebier
Klaus Dieter Rädel
Svea Hartung B.Eng.
Svetlana Bonbach B.A.
Carolin Siering
Ernst-Dieter Rörricht B.Eng.
Benjamin Lübs
Walfried Wohlgemut B.Eng.
Prof. Arif Mielcarek B.Eng.
Cindy Stahr
Univ.Prof. Siegrun Klingelhöfer MBA.
Johanna Finke-Ehlert
Cecilia Gertz
Dipl.-Ing. Laila Scheuermann B.Sc.
Falko Kusch B.A.
Wolfhard Rosemann B.Eng.
Timm Wende
Czeslaw Jacobi Jäckel-Zahn
Prof. Emine Beer
Patrick Pärtzelt-Henck
Univ.Prof. Matthäus Gude
Alexander Hörle
Friedlinde Schenk-Wulff
Hans-Gerd Holt
Dimitrios Fiebig
Giuseppina Linke
Bodo Martin
Prof. Tania Grein Groth
Valerij Barth
Monique Liebelt-Ebert
Valentine Tschentscher
Karl-Heinz Hahn
Prof. Karen Benthin B.Eng.
Dr. Semra Wagenknecht
Martha auch Schlauchin
Alwine Bien
Kai-Uwe Sorgatz
Frau Brit Stoll
Pietro Klingelhöfer
Bogdan Zirme
Alicja Faust B.Eng.
Ernest Müller
Robby Weller
Irmtraut Süßebier
Filippo Jäntsch
Wibke Tschentscher-Wulf
Jens-Peter Heinrich
Sebastian Vogt
Ahmet Stumpf
Gerti Trupp-Dowerg
Prof. Rabea Hettner B.Eng.
Zbigniew Hahn MBA.
Anny Dietz
Dipl.-Ing. Alan Schacht B.Eng.
Peggy Haering B.Sc.
Melanie Segebahn
Hendrik Gehringer
Prof. Carina Eimer
Ekaterina Wieloch
Marie-Theres Trupp
Erica Holsten
Siegrid Paffrath
Jaroslaw Seip
Kevin Tlustek-Heinz
Carolin Etzler
Milka Scholl
Volkmar Hentschel
Stefanie Pruschke
Frau Jane Caspar
Ing. Silja Heser
Ilka Faust
Ing. Hanny Schlosser MBA.
Bianca Mans
Fredy Birnbaum-Kensy
Bekir Gumprich-Kabus
Margret Dehmel
Wilma Paffrath
Valentin Rädel
Milos Biggen
Hansjoachim Kraus-Beer
Prof. Anna-Lena Wagner MBA.
Frauke Stadelmann
Torsten Pergande
Alf Jüttner
Jeannette Schleich
Volker Adler
Burckhard Mende
Dipl.-Ing. Geert Holsten B.Sc.
Dipl.-Ing. Danuta Stumpf B.Eng.
Urs Ebert
Petar Hamann
Solveig Trapp MBA.
Dipl.-Ing. Mariola Lange B.Sc.
Heinrich Bohlander-Ullrich
Frau Evelyne Süßebier B.Eng.
Mary Hofmann B.A.
Ortwin Scholl
Emma Sauer B.Eng.
Horst Hauffer B.Eng.
Christiane Blümel
Irmengard Eckbauer
Ole Losekann
Ibrahim Lehmann B.Eng.
Paolo Klotz-Hein
Diedrich Scheel-Hübel
Nina Müller B.Eng.
Anneli Neuschäfer
Siegbert Conradi
Reinhilde Hesse B.Sc.
Krystyna Rust-Baum
Birgid Schüler
Uschi Trüb
Ing. Krzysztof Kambs B.Eng.
Melitta Drewes
Gülsen Benthin
Sandor Ritter
Sarina Dörr
Hanno Trub
Dr. Silvester Krein B.Sc.
Dipl.-Ing. Cora Baum
Dipl.-Ing. Matteo Baum
Jurij Zahn B.Sc.
Manuela Sauer
Virginia Gieß
Luisa Hecker
Prof. Vesna Scholz
Ing. Carolin Faust B.A.
Adelheid Schmidtke
Gunhild Kroker
Heinrich Köster
Eckehard Mude
Reimar Müller
Prof. Heinz-Joachim Seidel
Pirmin Wulf B.Sc.
Dr. Ruth Dobes
Univ.Prof. Inga Hermighausen B.Eng.
Gislinde Junken
Frau Ina Dietz MBA.
Rena Radisch
Ibrahim Eberth
Mariola Gnatz
Gerda Stey
Jessika Thies
Frauke Söding
Dr. Hans-Hermann Rosemann B.A.
Ivanka Gierschner-Pergande
Gerwin Schuster
Robby Kramer
Herr Konstantin Neureuther B.A.
Holger Röhricht
Univ.Prof. Hans-Albert Ruppert
Tabea Kaul
Hanne-Lore Losekann B.Sc.
Annaliese Heser B.Sc.
Bruno Hesse
Dipl.-Ing. Margarete Schmidt
Ing. Anton Gotthard MBA.
Vadim Rose-Wulf
Arnim Bärer
Elizabeth Jacob
Benita Holzapfel-Hecker
Grit Röhricht-Rosemann
Heinz-Georg Rosemann-Bohnbach
Alina Spieß
Dipl.-Ing. Maik Mende B.Sc.
Hans-Dieter Scholl
Milica Reichmann
Dipl.-Ing. Nuray Mude B.Sc.
Heimo Karge-Freudenberger
Manja Stadelmann
Nicolas Möchlichen MBA.
Dipl.-Ing. Katarina Schmidtke
Rene Hofmann
Ilka Lachmann
Darius Klotz
Kreszentia Jockel
Dipl.-Ing. Stefano Wernecke B.A.
Dr. Jonas Fechner
Alessandro Werner
Tomasz Preiß
Eggert Börner-Geisler
Jörn Barth-Möchlichen
Aurelia Sorgatz
Eckehard Wernecke
Stavros Hoffmann
Rüdiger Hellwig B.A.
Antonius Hermighausen
Agnes Tröst
