Student
Paul-Gerhard Gunpf
Romy Baum
Dipl.-Ing. Sibylle Kensy
Juliana Weinhage
Friedrich-Karl Jopich B.Eng.
Univ.Prof. Hugo Martin
Arne Dobes
Halina Austermühle-Bender
Angelica Lindau-Heß
Elmar Fröhlich
Peter-Michael Spieß
Prof. Mohammad Reinhardt
Ronald Börner-Hentschel
Hartmuth Gude B.Eng.
Armin Scholz
Adam Seifert
Bayram Lübs B.Eng.
Jose Tlustek B.Sc.
Maria-Theresia Scholl
Miguel Gehringer-Reising
Dagmar Schäfer
Annelie Bloch
Univ.Prof. Heidelinde Jopich B.Sc.
Kristin Jacob
Erica Renner-Trapp
Josefa Lange
Adina Kallert
Hubertus Dörschner
Theresia Liebelt
Franco Loos B.Eng.
Thorben Ruppert
Pero Römer
Zita Holt
Frederik Bohlander
Wojciech Losekann-Seidel
Reinhard Eigenwillig
Frau Rosalinde Mitschke B.A.
Christopher Gertz-Kade
Folkert Barth B.Sc.
Karl-Georg Lehmann
Erkan Beier
Juan Schweitzer
Frau Nurten Huhn
Univ.Prof. Liliana Niemeier B.Eng.
Liliana Gehringer
Irmtraut Hahn-Walter
Benjamin Jäntsch B.Sc.
Rosa-Maria Knappe
Hans-Gerd Gnatz
Dipl.-Ing. Lieselotte Trüb B.A.
Erika Pruschke
Univ.Prof. Fatima Hölzenbecher
Senol Harloff-Lindau
Aribert Mitschke
Hans-J. Neureuther
Robby Weller
Ing. Alexander Mude
Gerhart Davids B.A.
Theres Heser
Slavko Fliegner B.Sc.
Nadeschda Barkholz
Dana Löwer MBA.
Konstanze Sontag
Goran Benthin
Zeljko Baum
Roswita Sauer
Gerald Albers-Jähn
Univ.Prof. Claudio Schmiedt
Martina Keudel
Ingetraud Freudenberger
Rene Hofmann
Britta Nerger B.Eng.
Alena Neureuther
Ing. Utz Klemt B.A.
Alida Trupp
Aleksej Kühnert B.A.
Herta Hendriks
Lili Weimer
Dagobert Bohnbach
Dr. Annette Linke MBA.
Anika Binner-Löffler
Ing. Loni Gnatz MBA.
Dipl.-Ing. Lioba Plath
Vera Heydrich
Prof. Götz Finke
Helmuth Wagner
Regina Ring
Justina Neureuther
Kornelius Fröhlich B.Sc.
Gaetano Köhler
Willy Weiß
Anto Kostolzin
Jo Gnatz
Marie-Therese Wagner
Ron Sorgatz-Eimer
Irmtraud Ladeck
Marie Hoffmann B.Sc.
Sofia Hethur
Roman Hauffer
Univ.Prof. Herta Zänker
Friedl Briemer-Austermühle
Anatolij Peukert
Immo Ring
Dipl.-Ing. Patricia Werner B.Sc.
Valentin Steuer-Mans
Herr Ilhan Tröst B.A.
Rose Henschel
Nancy Hartmann-Schottin
Annelene Möchlichen-Weiß
Lena Mitschke
Ing. Leo Schulz
Annegrete Jüttner
Isabell Eberth-Pechel
Friedericke Ruppersberger
Asta Knappe
Kay-Uwe Ziegert
Dipl.-Ing. Milos Klemt
Hilde Walter
Frau Brigitta Bohlander MBA.
Andreas Gunpf
Dr. Franz-Peter Löffler
Gesa Jäntsch
Dina Hartung
Alexandros Heintze
Eggert Börner-Geisler
Victoria Werner MBA.
Mehdi Bähr B.A.
Mirja Wähner
Gertrude Gumprich
Paolo Weller-Heinrich
Samir Wähner-Butte
Janko Stey MBA.
Sören Liebelt
Dr. Eberhardt Adolph B.Eng.
Baldur Metz
Rüdiger Geisler
Ottilie auch Schlauchin B.Eng.
Frank-Peter Ullmann
Stefano Koch B.Eng.
Dr. Semra Wagenknecht
Friedl Hartmann
Ing. Carin Zorbach MBA.
Ing. Mike Stolze
Frieda Gröttner
Gino Häring
Jörg Pechel
Marijan Killer
Sophie Scheibe
Josef Rädel
Maurizio Eckbauer
Sebastian Warmer
Patric Stahr-Ebert
Jochen Naser
Burckhard Caspar
Prof. Walter Pechel
Larissa Käster
Dipl.-Ing. Ingolf Krein
Kamil Hecker-Hahn
Sieghard Hahn
Julian Dussen van B.Eng.
Sibel Hörle
Eckart Cichorius
Jonas Hendriks
Leni Heß
Malgorzata Rohleder
Josefine Rosenow-Hertrampf
Alwine Linke
Carmine Schacht
Frau Patricia Gorlitz B.A.
Emmerich Killer
Univ.Prof. Arne Hoffmann
Veit Etzler
Leokadia Putz
Felicitas Ruppersberger
Albrecht Caspar
Dipl.-Ing. Aloys Hentschel
Dr. Karl-Ludwig Stoll MBA.
Dr. Meral Thies B.Sc.
Hans-Gerhard Döhn
Leokadia Finke-Dippel
Univ.Prof. Jane Mans B.Eng.
Ellen auch Schlauchin
Hagen Weimer
Prof. Karl-Friedrich Geisler B.A.
Herr Darius Heuser
Frau Raissa Radisch B.Eng.
Richard Drub
Kemal Butte-Tintzmann
Drago Täsche
Dina Schmiedt MBA.
Univ.Prof. Jaqueline Dehmel
Dr. Hans Jörg Zobel
Concetta Dehmel
Patrizia Schüler
Marie-Theres Trupp
Agathe Weinhage B.A.
Lidia Franke
Rudolph Etzold
Dr. Kristine Tschentscher
Brian Preiß
Salvatore Eberhardt-Ring
Dr. Hans-Albert Stroh
Elise Ackermann
Bernard Bien-Lübs
Jiri Bärer
Horst-Günter Zirme
Prof. Ruthild Nette B.A.
Dipl.-Ing. Halina Bender B.A.
Berndt Mohaupt MBA.
Frau Raissa Ruppersberger B.Eng.
Judith Koch-Mude
Helmtrud Atzler
Dr. Jonas Anders B.Sc.
Hertha Gutknecht
Deborah Beier
Olivia Jäkel
Frau Stella Plath B.A.
Dipl.-Ing. Tim Fritsch
Irmtraut Noack
Gabriella Schuster
Milos Biggen
Sofie Staude
Nikolas Ebert
Damian auch Schlauchin B.Eng.
Jeannette Schleich
Kathi Hering
Leni Wohlgemut-Ruppersberger
Elizabeth Vollbrecht
Änne Möchlichen
Ioannis Junck
Berthold Jäntsch-Jessel
Manuel Schenk
Krzysztof Niemeier-Kostolzin
Carolina Ditschlerin
Cord Zorbach
Aneta Kambs
Nikola Riehl
Kurt Thanel
Dr. Annelene Geisel B.Sc.
Sigismund Junitz
Mariechen Scholl
Annamaria Kade-Fischer
Karl-Heinrich Karz
Nikolas Siering
Polina Ladeck B.A.
Tatiana Pechel
Käthe Hande
Sigmund Heydrich
Elisabeth Käster
Nadeschda Pölitz
Janine Söding
Verena Hornich
Ing. Wolf-Rüdiger Dietz B.Sc.
Hans-Hinrich Stiffel
Dipl.-Ing. Slawomir Ebert MBA.
Mareile Birnbaum
Sibylle Stey
Lambert Wilmsen
Hans-Adolf Junken
Valeri Mielcarek
Reni Roht-Binner
Julia Mosemann
Judith Boucsein-Aumann
Bernt Huhn
Univ.Prof. Dorina Lange
Ing. Jens Henck B.Eng.
Lars Kallert
Mona Thies
Magret Bähr
Roy Gumprich-Klemm
Dolores Conradi
Mandy Huhn B.A.
Dipl.-Ing. Laila Scheuermann B.Sc.
Agathe Söding
Beata Stahr
Hanne-Lore Berger
Stanislav Stey
Univ.Prof. Gisa Meister
Dr. Elif Peukert B.Eng.
Kuno Kreusel
Bogdan Steckel B.Eng.
Dipl.-Ing. Angelique Ortmann
Prof. Branko Weller MBA.
Helena Franke
Miroslawa Haase
Leszek Wagner-Häring
Henriette Ladeck
Frau Delia Hellwig B.Sc.
Filippo Juncken
Anne-Kathrin Ortmann
Christina Geisel-Hesse
Abbas Täsche
Prof. Heinz-Joachim Losekann
Univ.Prof. Vesna Hering
Ria Koch II
Adriane Gröttner
Hajo Ziegert-Noack
Gertrude Ullmann
Waltraud Hentschel
Dipl.-Ing. Jaroslav Henk
Lutz Pärtzelt
Anatolij Jüttner-Bauer
Aziz Anders
Giuseppe Preiß
Thorsten Kensy B.Eng.
Univ.Prof. Mira Mende B.Eng.
Siegmar Kramer
Valeria Conradi
Mechthilde Lindau B.A.
Dipl.-Ing. Gabi Scholtz
Karl-Otto Winkler B.Eng.
Dr. Francisco Hänel
Leonore Hettner-Staude
Herr Dietrich Gotthard B.A.
Carla Hecker
Felizitas Werner
Uschi Trüb
Ilija Eckbauer-Steinberg
Frau Alexandra Beckmann B.A.
Amir Reuter
Manuel Wagenknecht
Cilli Siering
Sigrid Schleich
Patrizia Wirth
Dr. Dora Fischer
Helene Gröttner-Hornich
Edda Jungfer
Edelbert Stey-Scholz
Dr. Sonia Hornich B.Eng.
Bozena Carsten B.Sc.
Fatih Ladeck-Weihmann
Marie-Louise Hendriks-Dörschner
Katarina Knappe
Arnulf Süßebier
Prof. Anica Haering B.A.
Adem Mühle-Ruppert
Univ.Prof. Karl-Otto Dowerg MBA.
Brunhilde Heinz MBA.
Ing. Siegmar Meyer B.A.
Wanda Becker
Prof. Alma Gumprich
Gunhild Gorlitz-Heinrich
Frau Tatiana Hande B.Sc.
Dominic auch Schlauchin
Thomas Drub
Zofia Gumprich
Valeria Finke
Fernando Neuschäfer
Wiltrud Bolander
Friedlinde Schenk-Wulff
Jacob Süßebier
Jens-Uwe Neureuther
Dr. Lisa Kusch
Frau Else Röhrdanz B.Sc.
Patrick Haering
Natalie Neureuther
Prof. Nikolai Gunpf
Frau Nadeshda Ruppert
Irmgard Hövel
Gerhild Stiffel
Vitali Neureuther
Diana Drubin-Walter
Karsten Wohlgemut
Herr Julian Gotthard B.Eng.
Frau Mia Kaul MBA.
Rosmarie Ullmann
Ing. Carla Ziegert B.Eng.
Stanislaw Misicher
Berthold Rudolph
Dr. Frederike Hering B.Eng.
Frithjof van der Dussen
Lina Hörle
Folker Otto MBA.
Prof. Alina Ziegert
Friedo Meister-Klemm
Götz Hofmann B.A.
Veit Beckmann
Dr. Czeslaw Neureuther
Lia Heydrich
Helene Ullrich
Liliane Steuer
Leopold Rörricht
Irina Hahn
Prof. Ahmad Rörricht
Berend Gertz B.Eng.
Halina Lachmann
Marcel Stumpf
Janet Kade
Ing. Dietlind Gieß
Benno Kraushaar
Frau Edeltraud Radisch B.A.
Marina Radisch
Hans-Ulrich Liebelt-Hauffer
Prof. Edgar Roht
Birgitta Loos
Jessika Käster
Univ.Prof. Alexei Mülichen MBA.
Ole Ritter MBA.
Evangelia Meyer-Mielcarek
Luigi Gude
Univ.Prof. Hans-Albert Ruppert
Herr Hellmuth Birnbaum B.A.
Hanspeter Koch II-Wohlgemut
Dolores auch Schlauchin
Fritz Nerger
Valentin Rädel
Ernest auch Schlauchin
Holger Gröttner B.Eng.
Iris Mans
Artur Kreusel
Ing. Adam Klemt MBA.
Milena Weitzel-Steinberg
Ralph Binner-Römer
Irma Atzler-Herrmann
Ing. Carolin Matthäi
Volkhard Köster-Jüttner
Tina van der Dussen
Birte Gröttner MBA.
Birgitta Schleich
Theda van der Dussen
Luisa Barkholz
Gert Fischer
Frau Therese Henk B.A.
Herr Johann Kostolzin
Cora Scholtz
Prof. Cathrin Misicher
Amalie Gotthard-Beckmann
Michael Scholz
Änne Schweitzer-Putz
Bernhardine Bender MBA.
Wolf Häring-Kallert
Gerta Kallert-auch Schlauchin
Marion Kuhl
Klaus Lorch-Graf
Franjo Löffler B.Eng.
Ing. Madlen Beier B.A.
Tülay Scholtz
Halina Segebahn
Aurelia Sorgatz
Ing. Gertraude Holsten B.Sc.
Arnfried Lorch B.A.
Dietlind Drubin
Dr. Marie-Louise Wohlgemut B.Sc.
Univ.Prof. Marko Schmiedecke MBA.
Herr David Freudenberger B.Eng.
Toralf Pieper
Gordana Budig B.A.
Dorothea Kroker-Misicher
Dr. Constance Römer
Dipl.-Ing. Gunnar Rohleder B.Sc.
Leszek Hentschel
Dipl.-Ing. Gisa Jüttner B.Sc.
Gottlieb Kade
Celal Mühle
Hanna Knappe
Prof. Ricardo Kensy
Dr. Elwira Hiller
Gretchen Eimer-Wilmsen
Bruni Freudenberger
Dr. Marliese Junck B.Sc.
Frau Anka Hering
Heide Knappe
Dr. Mato Geisel
Peer Hölzenbecher
Miguel Lehmann
Elisa Steinberg
Martin Dörr
Leonardo Lehmann
Stavros Ortmann
Ernst-August Oestrovsky-Kreusel
Edda Gertz B.Eng.
Myriam Aumann
Herr Karl-Heinrich Eberth B.Sc.
Fabienne Holt MBA.
Verena Gute-Trüb
Univ.Prof. Christa-Maria Lehmann B.A.
Knud Trommler
Gesa Keudel-Bauer
Daniel Stiebitz
Belinda Huhn
Ryszard Süßebier-Neureuther
Insa Bloch B.A.
Janus Oderwald-auch Schlauchin
Prof. Sergei Heser
Ing. Swen Sorgatz B.Eng.
Frida Süßebier
Leonardo Birnbaum
Dr. Markus Roskoth B.Sc.
Valerie Kallert B.A.
Vesna Döhn
Falk Wagenknecht B.Eng.
Frau Ariane Weinhage MBA.
Frau Francesca Blümel
Maike Bolnbach
Massimo Dörschner
Volker Hettner
Univ.Prof. Friedl Tlustek
Änne Wagner
Rose Beer
Zoran Oestrovsky
Raymond Römer
Univ.Prof. Emine Vogt B.Sc.
Herr Konstantin Neureuther B.A.
Felicitas Biggen
Samuel Ackermann
Karen Hendriks
Katerina Hauffer
Gundula Weitzel-Liebelt
Ing. Alexandros Vogt MBA.
Kai-Uwe Rogner
Katherina Ruppert
Ing. Leonid Budig B.A.
Ira Scholz-Pohl
Herlinde Schenk B.A.
Hakan Kitzmann-Scholl
Dr. Ute Schuchhardt
Hans-Herbert Eckbauer
Michaele Ruppert
Univ.Prof. Jürgen Weiß
Annegrete Pergande
Tino Wagenknecht B.Eng.
Barbara Kambs
Stephanie Heintze
Prof. Martin Ullmann
Janin Haase
Alwina Neureuther
Hülya Scheibe
Herr Roderich Hauffer
Arno Ullmann
Timm Schönland
Dr. Marianne Reising
Irene Gotthard-Hoffmann
Univ.Prof. Therese Hänel
Frau Mareile Birnbaum
Ing. Elenore Kostolzin
Mandy Loos
Auguste Lorch
Dr. Annika Gude MBA.
Remo Köhler
Michel Hermighausen
Reinhilde Metz
Jasmina Rädel
Rena Rohleder
Roderich Weitzel
Ole Schmidtke
Kreszentia Bloch-Steckel
Univ.Prof. Nadja Jacob B.Eng.
Prof. Auguste Scholz
Frau Eugenia Matthäi
Ekaterina Liebelt
Linus Mans-Röhrdanz
Desiree Wulf-Jüttner
Frau Trudel Hövel
Tilman Killer B.A.
Erica Lachmann
Kläre Kohl
Dipl.-Ing. Hans-Karl Dussen van B.A.
Prof. Wolf-Dieter Killer B.Sc.
Domenico Gerlach-Kramer
Univ.Prof. Dogan Mielcarek
Herr Ilja Kroker
Hans-Rudolf Huhn
Ing. Fredi Löffler
Andre Schlosser
Toni Dehmel-Striebitz
Knud Zimmer
Sarah Beckmann
Dr. Bernfried Bärer
Ing. Eleonora Holzapfel
Dipl.-Ing. Gusti Ditschlerin B.Eng.
Katherina Bien
Ing. Toralf Wiek
Dr. Franco Wilms
Karl-Wilhelm Meyer
Herr Jan Kobelt
Bernd-Dieter Kostolzin B.A.
Hannah Stiffel-Börner
Ole Süßebier MBA.
Zeljko Gieß
Antonietta Kostolzin
Maya Haering-Becker
Alois Knappe
Ilka Faust
Konstantinos Seifert
Prof. Ivonne Boucsein B.Eng.
Irmi Täsche B.A.
Thies Birnbaum B.A.
Viola Sager
Ehrenfried Seidel MBA.
Joana Mielcarek B.A.
Mira Bender
Elwira Wirth
Mariana Steckel
Erdal Bruder
Kenneth Köhler-Kaul
Madeleine Hermann B.Sc.
Prof. Emil Kruschwitz
Notburga Pechel B.Eng.
Susan Warmer
Apollonia Trüb B.A.
Herr Wieslaw Trupp
Wojciech Girschner B.A.
Lothar Beckmann
Univ.Prof. Harro Fröhlich
Univ.Prof. Katharina Werner MBA.
Gregor Buchholz
Ernst-Otto Heß-Hartmann
Jasmina Heuser
Sinaida Adolph
Marieluise Schulz
Karoline Römer
Raymond Misicher
Dipl.-Ing. Freya Höfig
Leokadia Herrmann
Rosalinde Killer
Friedhilde Wernecke
Dipl.-Ing. Danuta Stumpf B.Eng.
Melita Schacht
Frau Elfi Winkler MBA.
Ing. Käthi Schäfer
Prof. Bianka Reinhardt
Dr. Lidija Weihmann
Hans-Martin Junk-Kuhl
Univ.Prof. Dolores Jäkel
Adele Stroh
Heiko Metz
Ignaz Stoll
Antonios Zimmer
Aynur Bohlander
Arif Heinrich
Käthi Lübs
Celal Hettner MBA.
Dr. Saban Hoffmann B.Eng.
André Röhrdanz B.A.
Mehmet Beckmann-Geisel
Univ.Prof. Vinko Tschentscher
Philip Fritsch
Dr. Athanasios Noack MBA.
Pirmin Boucsein MBA.
Yvette Dietz
Maja Jungfer
Univ.Prof. Dorle Röhrdanz B.A.
Kuno Mälzer B.Eng.
Gudrun Heß B.Sc.
Ferdinand Junck-Hölzenbecher
Annita Lorch
Ing. Carmen Birnbaum
Frau Linda Weiß B.Eng.
Conny Zirme B.Sc.
Leif Wulff
Melita Schleich
Friedrich-Wilhelm Roht-Wiek
Olga Albers B.Sc.
Natalija Haering
Undine Jopich
Louis Kostolzin
Dr. Leo Schlosser MBA.
Dr. Rosmarie Seip
Udo Grein Groth
Frau Jane Caspar
Timo Huhn
Wilma Pärtzelt-Huhn
Edit Martin B.Sc.
Knut Jacob
Prof. Ulla Dussen van B.Sc.
Frau Hildegund Vogt B.A.
Ing. Herbert Mühle B.Sc.
Severin Barkholz B.Eng.
Eva-Maria Zänker
Bozena Schuchhardt
Dipl.-Ing. Tina Wagenknecht MBA.
Dipl.-Ing. Petar Lübs
Jonas Christoph B.Eng.
Ing. Klaus-Michael Bolzmann
Ludmila Löffler
Marika Zänker B.A.
Univ.Prof. Claudia Freudenberger B.Sc.
Ferenc Pergande B.Eng.
Franz Josef Flantz
Johan Baum
Ralf-Peter Ebert
Herta Weitzel
Klaus-Peter Gieß-Winkler
Slawomir Bohnbach
Manja Stadelmann
Birgit Pergande
Frau Beatrix Bonbach B.A.
Philip Weller B.A.
Carlos Klotz
Dr. Jann Wesack B.A.
Gregor Knappe B.Eng.
Gusti Schleich
Elfi Roht
Hedy Kobelt
Hanspeter Benthin
Ing. Kläre Radisch
Dorle Knappe
Käthi Faust-Gorlitz
Hans Georg Gorlitz-Schäfer
Dr. Fedor Plath B.Sc.
Ing. Cilli Gertz B.A.
Herr Hartwig Henk B.A.
Dan Scheuermann
Gertrude Lehmann-Kostolzin
Johannes Schuchhardt-Junitz
Korinna Söding
Univ.Prof. Ron Rörricht
Prof. Henryk Kitzmann
Victoria Binner
Kornelius Hornig MBA.
Ing. Selim Tintzmann B.A.
Univ.Prof. Diethard Klotz
Maurice Steckel
Herr Roman Sontag B.Sc.
Elfi Herrmann MBA.
Prof. Volker Hermann
Dipl.-Ing. Hans-Günther Peukert B.Eng.
Klemens Thies
Rico Putz-Killer
Cord Benthin
Reimar Jacob-Loos
Hannelore Noack MBA.
Roland Ring
Luzia Kranz
Frau Herlinde Schleich B.Sc.
Wiltrud Geißler
Frau Inken Seip B.Eng.
Herr David Löchel B.A.
Herr Vito Roskoth B.Sc.
Magret Oderwald
Prof. Lilly Schmidtke
Friedericke Lange
Antonino Klingelhöfer
Nuray Aumann
Ing. Hans-Joachim Ullrich
Dierk Buchholz MBA.
Heinz-Wilhelm Kuhl
Sibylla Klingelhöfer B.Sc.
Dipl.-Ing. Gerold Kusch B.Eng.
Ann Werner-Wilms
Friedlinde Warmer
Dipl.-Ing. Eveline Jäkel MBA.
Univ.Prof. Kathi Noack B.Eng.
Prof. Ursula Eigenwillig
Mahmut Rose B.A.
Alla Rohleder
Heinrich Bohlander-Ullrich
Marga Vogt
Swantje Binner B.A.
Fatma Seidel B.A.
George Paffrath MBA.
Janette Wiek
Mandy Scholl-Bohnbach
Polina Hettner
Torben Hartung
Romy Zahn-Bien
Prof. Natalia Junck B.Sc.
Heinz-Georg Döhn
Anne-Rose Hettner B.A.
Bekir Bonbach
Dipl.-Ing. Mariola Lange B.Sc.
Herr Augustin Thies B.A.
Alois Werner
Aloys Barkholz
Prof. Ingbert Nette
Branka Hering
Monja Heidrich
Hilda Metz-Dehmel
Alois Jungfer B.Eng.
Ilias Seip
Gudula Stroh-Bien
Emma Sorgatz-Radisch
Marica Seidel B.Eng.
Gilda Segebahn
Simone Harloff B.Eng.
Dipl.-Ing. Mahmoud Mühle B.Eng.
Lieselotte Nohlmans
Felix Müller
Janin Hamann
Tomislav Jopich-van der Dussen
Vassilios Birnbaum
Jana Wulf MBA.
Liliana Zorbach MBA.
Branka Speer B.A.
Mariusz Wilmsen B.A.
Gina Stumpf
Gertraud Tröst
Peter Mitschke
Carmen Weinhold
Univ.Prof. Elfriede Rohleder
Dietrich Adolph MBA.
Tabea Birnbaum
Frau Emma Kaul B.Eng.
Luigi Wähner
Serge Kade
Birgitta Hettner
Nico Hartung-Linke
Mijo Jessel B.A.
Mareike Reichmann
Klaus-Peter Häring
Joachim Kramer
Doris Karz
Linus Drub
Dipl.-Ing. Nuray Mude B.Sc.
Karl-Georg Zahn
Frau Cynthia Bähr B.Sc.
Berend Rörricht
Geert Schuchhardt
Univ.Prof. Walter Barkholz
Dipl.-Ing. Sigrun Neuschäfer B.Sc.
Imre Sauer
Konstantin Ladeck
Univ.Prof. Etta Bohnbach
Gotthard Löwer
Uli Wohlgemut-Stadelmann
Karl-Friedrich Kitzmann
Karlfried Müller
Roselinde Ebert
Mohamed Heydrich
Marita Henk
Justus Schleich-Drewes
Krzysztof Kruschwitz
Herta Keudel
Willy Reichmann
Prof. Raymond Söding
Alicia Kroker
Prof. Georgia Zirme MBA.
Prof. Fredy Hahn
Hans-Gerd Jockel
Vincenzo Lübs
Dr. Regine Gotthard
Arndt Bachmann B.Eng.
Vera Losekann
Volkmar Mosemann
Carola Köhler MBA.
Univ.Prof. Steffen Tröst
Prof. Ingeborg Noack
Laurenz Siering-Kallert
Birgid Schüler
Jost Roskoth
Reinhold Bloch
Lidija Pärtzelt
Marlis Rogge B.Sc.
Dr. Caroline Ortmann
Renate Mies
Susi Grein Groth-Steuer
Elmar Förster
Adriane Heinz-Metz
Ing. Konstantin Gerlach B.A.
Gundolf Schomber-Hellwig
Karl-Peter Kramer
Wendelin Schäfer B.Sc.
Anja Meyer B.A.
Univ.Prof. Kata Zahn
Benita Heser
Wolf Schottin-Gunpf
Moritz Spieß
Franz Josef Haase
Lotte Kusch
Hans-Günther Etzold
Antonietta Barth
Herr Tom Täsche
Maria Hellwig
Marlen Jacobi Jäckel B.Eng.
Frau Heidelore Gehringer
Sibille Liebelt
Manuel Hering-Jäntsch
Petar Bauer
Prof. Marion Scholz
Inna Winkler
Blanka Ladeck
Alwine Sager
Angelica Lorch B.Eng.
Phillip Hermann
Oliver Kohl
Prof. Kata Häring
Kornelius Winkler
Madlen Trupp B.Eng.
Francesca Wieloch
Rosalinde Trupp
Anny Zirme
Marcus Finke
Hiltraud Klemm-Pärtzelt
Elisa Karz-Rohleder
Fatma Hesse
Frau Dorothe Mielcarek
Marek Adler
Marcel Fechner
Kathi Wesack
Dr. Edelbert Wieloch MBA.
Joanna Weinhold-Förster
Gereon Jacob
Senol Heintze-Gerlach
Zita Klemt
Herr Thomas Baum
Georg Nerger
Ljiljana Ruppert
Dogan Bolander
Anika Tschentscher
Fanny Zänker-Hein
Stanislaus Davids MBA.
Gabriele Käster
Theda Stumpf B.Eng.
Elfie Jäkel
Ing. Nuran Schaaf
James Kostolzin-Staude
Torben Wiek-Ring
Vladimir Patberg-Weller
Adelinde Ackermann-Knappe
Philipp Lorch
Prof. Oswald Ehlert MBA.
Edelgard Gnatz-Dobes
Hansjürgen Faust
Antonios Schönland
Anni Seidel B.Eng.
H.-Dieter Mülichen B.A.
Herr Ruben Schüler B.Eng.
Gabi Meister
Rosalinde Losekann
Gernot Hornich B.A.
Alida Tröst
Ingolf Ruppersberger-Berger
Amanda Stadelmann-Mende
Annemie Kade-Kuhl
Meral Bolnbach
Univ.Prof. Michail Tintzmann B.Eng.
Siegbert Bachmann-Hövel
Anke Bähr
Cord Haase
Willi Birnbaum
Ing. Lisbeth Fritsch
Univ.Prof. Michaele Heser MBA.
Ing. Gerold Mende
Sigrun Mälzer
Senta Schmiedecke
Harro Söding
Univ.Prof. Ivonne Haase B.Sc.
