Student
Frau Beatrix Bonbach B.A.
Frau Ingelore Gertz
Prof. Timo Schleich MBA.
Loni van der Dussen B.Sc.
Vinko Kraus-Schmiedt
Ilse Krebs
Univ.Prof. Anny Stolze
Patrick Wohlgemut
Mechtild Niemeier
Brian van der Dussen
Ruthild Schüler B.Eng.
Milos Wiek
Beata Lübs
Ute Möchlichen
Heinz-Georg Döhn
Inna Hande
Meike Berger
Rochus Gude
Kerstin Niemeier
Dipl.-Ing. Wenzel Hellwig B.Sc.
Kristian Albers
Isa Weihmann
Ivanka Berger-Kraus
Danilo Ladeck-Köhler
Senol Harloff-Lindau
Berit Pärtzelt
Ing. Ben Lindau MBA.
Mia Roskoth
Isidor Zobel-Ritter
Agathe Gertz-Butte
Phillip Rosemann-Bachmann
Dipl.-Ing. Gunar Kuhl
Frau Almut Kuhl
Univ.Prof. Marc Schmiedt
Julian Lehmann-Ortmann
Albert Seifert MBA.
Alida Ehlert
Siegmund Hövel
Siegmar Dowerg
Stephan Hauffer
Eduard Kühnert
Genoveva Löffler
Jan Freudenberger
Toralf Jessel
Halil Löwer
Ursel Juncken-Buchholz
Lambert Misicher-Dörschner
Univ.Prof. Traude Gertz
Reimar Rädel
Ilse Henschel
Frau Ilka Pärtzelt B.Eng.
Karlfried Ruppersberger
Conny Fliegner
Dr. Rudolf Killer B.Sc.
Philipp Killer B.A.
Franz-Xaver Carsten
Frau Pascale Hettner B.Eng.
Hannelore Noack MBA.
Prof. Lieschen Mälzer B.Sc.
Cora Steuer-Junken
Herr Bastian Ritter B.Sc.
Bernward Losekann MBA.
Mirjam Stumpf
Nurettin Koch II
Natascha Gotthard
Vinzenz Bruder
Dr. Almut Nohlmans B.A.
Halina Lachmann
Ludger Stiffel
Ingried Sauer
Silvia Eberth
Elenore Renner
Prof. Klaas Geißler B.A.
Eckhart Gutknecht
Irma Neureuther
Prof. Jonas Scholtz
Univ.Prof. Walter Barkholz
Branka Hering
Gunter Grein Groth B.Eng.
Dipl.-Ing. Dragica Neureuther
Dipl.-Ing. Julian Mühle
Marleen Austermühle-Tintzmann
Denis Weimer
Antonios Walter
Kristin Kabus
Fredy Ring
Tino Gnatz
Ing. Ivonne Nerger
Marie-Louise Girschner
Prof. Hans-Peter Noack B.A.
Giuseppina Linke
Ing. Jessica Mende
Steve Scholl-Ladeck
Dr. Karla Christoph
Paolo Weller-Heinrich
Dr. Mohamed Kroker B.Eng.
Anika Holsten
Catrin Hamann
Miodrag Fliegner B.A.
Dipl.-Ing. Laila Scheuermann B.Sc.
Silvio Weimer
Univ.Prof. Betty Conradi B.A.
Ing. Luisa Oestrovsky
Theodor Bolnbach-Kroker
Susanna Schaaf
Jacek Täsche
Dr. Lilija Dowerg MBA.
Magret Mans
Ing. Cosimo Steinberg
Dipl.-Ing. Ana Rosemann
Ronny Scholtz
Prof. Gaetano Weiß
Dr. Rita Kallert
Hulda Junk
Andre Schinke
Michel Hermighausen
Claus Jähn B.Eng.
Asta Hesse
Brunhilde Scholz
Kaspar Aumann
Anne Schmidtke
Istvan Scheuermann
Frau Trudi Wähner B.A.
Manja Stadelmann
Waltrud Scholl
Gretel Hande
Benita Schleich
Prof. Maya Peukert
Dr. Marija Stiebitz
Univ.Prof. Amelie Gröttner B.Eng.
Jacqueline Hofmann
Eberhardt Fiebig
Dr. Reinhart Hecker B.A.
Edith Hettner
Dragica Kreusel
Sabrina Schomber
Marian Hande
Bernd Binner-Hornich
Adelheid Schinke
Corina Pergande
Alla Weihmann
Wally Anders B.Eng.
Cosimo Zimmer
Danny auch Schlauchin
Wiltrud Christoph
Irmgard Täsche B.A.
Amelie Pruschke MBA.
Erik Trupp MBA.
Slavica Koch
Prof. Natalija Weinhold
Ekaterina Liebelt
Viktoria Trub-Budig
Thomas Kraushaar
Wenke Stolze
Paola Kroker-Klotz
Janko Neureuther
Univ.Prof. Sönke Schomber
Univ.Prof. Sigurd Fischer B.Eng.
Raisa Scholtz
Ingeburg Radisch-Steckel
Dipl.-Ing. Dorina Lindau B.Sc.
Leonhard Adolph
Daria Liebelt
Frank-Michael Klemt
Mehdi Bähr B.A.
René Gude B.A.
Detlev Weihmann-Schäfer
Sieghard Hahn
Nadin Hertrampf-Killer
Marlen Weihmann-Trub
Dominic auch Schlauchin
Prof. Patrik Scheel
Geza Weller
Prof. Tobias Börner
Abram Scholz B.Sc.
Deborah Scholtz B.A.
Liliana Zorbach MBA.
Cord Haase
Tabea Rogge
Francoise Vollbrecht B.Sc.
Dietlinde Binner
Herr Mario Pergande
Theda Klotz
Änne Ring MBA.
Gerhild Löffler
Pirmin Boucsein MBA.
Hans-Georg Scholz
Hilma Kuhl
Prof. Elzbieta Fechner B.Sc.
Univ.Prof. Valeria Putz
Dipl.-Ing. Gloria Heidrich
Dariusz Wirth
Irmtraut Hahn-Walter
Dr. Annika Gude MBA.
Dr. Hans Jörg Zobel
Dipl.-Ing. Walfried Rosemann B.Eng.
Hiltrud Klemm
Immo Koch II
Hans-Erich Warmer B.A.
Detlev Wilmsen
Prof. Hermann Josef Söding
Herr Süleyman Karge MBA.
Dina Hartung
Sören Etzler
Ing. Emanuel Tintzmann
Evi Grein Groth
Carsten Hartmann
Paolo Meister
Albina Stadelmann
Burckhard Margraf
Janette Kraushaar
Clara Rust
Aloisia Faust
Herr Lukas Eimer
Wenzel Ebert
Adolfine Lange
Dipl.-Ing. Undine Warmer
Irmtrud Röhrdanz
Cilli Gorlitz
Heinz-Jürgen Hesse
Annemarie Seidel
Valeska Geisler B.Eng.
Bogdan Römer B.Eng.
Univ.Prof. Philomena Kensy
Herr Jonathan Beckmann B.A.
Alice Nette
Ing. Elisabet Jopich B.Sc.
Greta Baum
Ing. Leopold Hoffmann
Dipl.-Ing. Annelise Naser
Liesa Neureuther
Katharina Süßebier B.A.
Achim Budig
Ing. Zoltan Dobes B.A.
Eckart Klotz
Herma Bender-Scholtz
Hans-Günther Scheuermann B.Eng.
Prof. Wilma Mangold
Annekatrin Wende
Edit Martin B.Sc.
Paulina Bender-Liebelt
Miguel Briemer
Prof. Mechtild Steuer
Irina Birnbaum
Helene Gröttner-Hornich
Dipl.-Ing. Hans-Ludwig Meyer
Czeslaw Bohnbach B.Eng.
Univ.Prof. Nermin Rosemann B.Sc.
Dipl.-Ing. Theobald Knappe B.Eng.
Eduard Ruppersberger
Albin Budig
Cora Stumpf-Gunpf
Leopoldine Butte
Lia Heydrich
Frau Raissa Ruppersberger B.Eng.
Karl-Peter Häring-Kruschwitz
Dipl.-Ing. Milos Klemt
Henny Vogt
Cornelius Jacobi Jäckel
Liesbeth Schlosser
Gino Hartung
Dr. Annette Linke MBA.
Gertraude Pärtzelt MBA.
Kasimir Albers-Stiebitz
Dipl.-Ing. Sedat Sontag
Mike Hofmann
Lidia Franke
Henni Ullmann MBA.
Hubert Weitzel
Annekatrin Schleich
Mikhail Bauer
Ing. Irmtraud Wiek MBA.
Marek Hesse B.Eng.
Anna-Luise Kraushaar
Diana Drubin-Walter
Univ.Prof. Anneke Gunpf
Tomislav Jopich-van der Dussen
Dr. Jane Kostolzin
Prof. Romy Bohnbach
Prof. Bela Noack
Tino Paffrath B.Eng.
Christina Schlosser
Friedemann Stoll
Heide Schottin
Franz Josef Nette-Werner
Danny Gumprich
Dusan Conradi-Rogner
Frau Brit Stoll
Ing. Vitali Hentschel MBA.
Annelie Kitzmann
Anke Hettner
Hans-J. Hahn-Süßebier
Univ.Prof. Natalie Flantz
Marit Mühle
Univ.Prof. Greta Trapp
Dipl.-Ing. Mirella Franke MBA.
Vincenzo Zirme
Berndt Riehl-Bohlander
Nancy Karz-Bolzmann
Ing. Pamela Gerlach
Prof. Mirko Adolph B.A.
Univ.Prof. Kirstin Killer B.Eng.
Lena Wende
Christos Gumprich
Ing. Maria Lübs
Ditmar Trub
Dr. Marie-Theres Möchlichen B.A.
Andrei Hertrampf-Trommler
Rosemarie Hethur
Egbert Gertz
Janna Kambs
Zoltan Preiß B.Eng.
Dariusz Reising-Ernst
Uli Stolze MBA.
Ehrentraud Kroker
Heide-Marie Koch II
Carla Hecker
Willibald Seidel
Dr. Leo Schlosser MBA.
Stefano Huhn
Augusta Rosemann
Julie Schweitzer
Ottmar Beier
Ramon Salz
Frau Dorothe Mielcarek
Dr. Deborah Kade
Karl-Dieter Segebahn-Köster
Steffen Cichorius B.Eng.
Valerij Barth
Theo Trubin
Herr Christopher Speer
Dipl.-Ing. Leo Sager
Dipl.-Ing. Babette Bauer B.Sc.
Prof. Ignaz Cichorius
Dipl.-Ing. Sebastiano Käster B.Eng.
Melanie Segebahn
Lothar Fischer
Bianka Schuster-Ziegert
Friedhilde Hornig B.A.
Friedo Meister-Klemm
Prof. Ursula Eigenwillig
Dr. Jorge Kambs B.A.
Carmen Berger
Marcus Langern
Lieselotte Nohlmans
Mirja Dehmel B.A.
Lilija Kensy
Xaver Schönland
Milica Reichmann
Katharine Mühle
Gislinde Schlosser
Gundi Tlustek
Reinhild Patberg
Samuel Ackermann
Herr Oliver Stahr
Madlen Salz
Woldemar Bähr
Margret Hentschel-Davids
Therese Neureuther
Ralf-Peter Ebert
Konstanze Mühle
Fatma Hein
Kunigunda Fischer
Kristian Rosemann B.Sc.
Nadeshda Schenk
Mandy Trüb
Ing. Herbert Mühle B.Sc.
Annaliese Hettner B.A.
Deborah Etzler
Univ.Prof. Aloisia Fröhlich B.A.
Raymond Ruppersberger
Dr. Helma Kohl B.A.
Prof. Axel Davids MBA.
Bertha Reuter
Lutz Pärtzelt
Univ.Prof. Mira Heser B.Sc.
Senta Hiller
Simon Hahn
Insa Jacobi Jäckel
Univ.Prof. Resi Kobelt
Herr Siegmar Geisler
Klaus Peter Adler
Liliane Koch II
Baptist Vogt
Imke Gieß B.Sc.
Antonius Pärtzelt-Jüttner
Magret Bähr
Ralf-Peter Schacht
Anett Wieloch
Fabienne Dobes-Heuser
Karl-Peter Grein Groth B.Eng.
Hans-Jochen Stolze
Mia Paffrath-Ortmann
Carin Atzler
Univ.Prof. Arno Kramer B.Eng.
Univ.Prof. Pascal Schweitzer
Irmtraut Ortmann MBA.
Gabi Neuschäfer-Oestrovsky
Timo Spieß
Felizitas Becker-Mosemann
Cristina Salz B.Sc.
Ing. Eleonora Holzapfel
Alena Hänel
Meral Bolnbach
Hans-Detlef auch Schlauchin-Fischer
Ing. Mariechen Nerger B.Eng.
Johann Rust
Ida Buchholz B.Eng.
Dipl.-Ing. Marisa Scholl
Anneli Heintze
Gilbert Steuer-Rosemann
Ursel Eckbauer
Reinhard Christoph
Adalbert Vollbrecht
Evelin Gerlach
Maurizio Eckbauer
Gerda Kitzmann
Viola Sager
Sinaida Heinz-Gnatz
Stilla Klotz
Marica Martin
Jakob Pohl
Prof. Wolfram Binner B.Eng.
Ing. Jürgen Jopich B.A.
Natalja Löchel-Beckmann
Wilhelm Walter
Jessika Thies
Anna-Lena Wohlgemut
Dietrich Adolph MBA.
Angelique Adler
Dipl.-Ing. Svea Neureuther
Prof. Nuran Sauer B.Sc.
Madlen Lübs
Ehrenfried Seidel MBA.
Univ.Prof. Emil Jacobi Jäckel B.Eng.
Siegrid Segebahn
Anette Bien
Giuseppe Trupp
Ingelore Kobelt MBA.
Liliana Gehringer
Belinda Reinhardt B.A.
Hanna Knappe
Alban Butte
Univ.Prof. Ralf-Peter Tlustek B.Eng.
Patric Heinrich
Annelise Steckel B.Sc.
Prof. Mathias Schmiedt
Frederik Bohlander
Dogan Ruppersberger
Univ.Prof. Margareta Naser
Emin van der Dussen
Willy Hornig
Johann Baum
Cecilia Killer
Michail Pechel
Robby Kramer
Hakan Kühnert
Prof. Volker Hermann
Prof. Gerd Schenk
Reni Römer
Annaliese Heser B.Sc.
Ing. Marten Hering
Elise Heinz
Ing. Christa-Maria Liebelt
Herr Juri Kitzmann
Ernestine Karz
Marlies Mude
Fatih Zirme
Lara Stroh
Swen Wirth
Uta Kade
Cemal Hamann
Walburga Junk
Tibor Bolzmann MBA.
Georg Misicher
Gisela Paffrath
Hildegard Roht B.Sc.
Univ.Prof. Filiz Rudolph MBA.
Hertha Gutknecht
Siegrid Schmiedt
Ferenc Bolzmann-Girschner
Karl-Otto Putz
Käthi Faust-Gorlitz
Herr Louis Hövel
Ludmilla Pieper
Univ.Prof. Hanspeter Gorlitz
Bernard Losekann
Ing. Mahmoud Becker
Liselotte Lindau
Eva Wende-Peukert
Roy Schmidt B.Eng.
Richard Kostolzin
Ilka Lachmann
Armin Scholz
Gabriela Girschner
Olaf Wesack
Univ.Prof. Fatima Hölzenbecher
Erol Eimer
Dr. Abdullah Becker
Gebhard Seidel
Herr Tomislav Ladeck
Ing. Marleen Hölzenbecher MBA.
Harriet Rohleder
Dr. Lidia Flantz B.Sc.
Heinz-Gerd Beyer
Anatol Hübel
Birte Gröttner MBA.
Annamaria Baum MBA.
Anne-Kathrin Bachmann
Cornelia Gehringer
Sina Barkholz
Caroline Wende
Frau Edeltraud Radisch B.A.
Dr. Ella Warmer
Rosa-Maria Losekann-Schulz
Ralph Binner-Römer
Erna Kensy-Bähr
Cord Tröst
Otto Butte
Karolin Mitschke
Hinrich Römer
Mattias Kruschwitz
Dipl.-Ing. Petar Lübs
Ilonka Wulf
Antje Drub
Jolanta Nohlmans-Tschentscher
Antje Kambs
Herr Baptist Klotz
Agnes Ullmann
Friedlinde Mühle B.A.
Arif Killer
Gereon Textor
Alwina Neureuther
Hildegart Weitzel
Kai-Uwe Sorgatz
Univ.Prof. Horst Scholtz
Curt Jopich
Judith Boucsein-Aumann
Karl-Wilhelm Anders-Gude
Janine Dehmel B.Eng.
Louis Kostolzin
Sylvester Bender-Boucsein
Gregor Loos-Gehringer
Heide-Marie Adler B.Eng.
Univ.Prof. Gislinde Rohleder
Hans-Jürgen Klemm
Wally Kreusel
Alwin Löffler B.A.
Almut Rogge
Katy Täsche
Univ.Prof. Alexandros Junk
Oxana Stumpf
Inken Gute B.Eng.
Siegmar Pergande B.Eng.
Francisco Harloff
Friedhold Löwer-Ebert
Gundi Hiller
Zeki Hartung
Lili Heydrich-Beyer
Kilian Patberg
Siegried Otto
Prof. Beatrice Misicher
Hans Jürgen Lange
Maria-Theresia Heinz B.A.
Prof. Ivonne Boucsein B.Eng.
Elzbieta Hartung
Prof. Clemens Söding
Felicia Binner
Dr. Carmela Rudolph
Univ.Prof. Dana Seifert
Anne-Marie Stumpf
Dipl.-Ing. Wolfram Johann B.Eng.
Zbigniew Schleich-Huhn
Univ.Prof. Friedlinde Bien MBA.
Univ.Prof. Margitta Wagenknecht B.Eng.
Milos Knappe-Scholz
Herr Rigo Krebs B.Eng.
Henning Fechner
Melanie Hauffer
Thorben Kitzmann
Frau Trude Walter B.A.
Prof. Natalja Käster MBA.
Marko Kensy-Atzler
Emma Sauer B.Eng.
Swetlana Jessel
Nikolas Siering
Victoria Hiller
Dr. Gerold Dörschner
Dunja Trub
Bertha Rose
Univ.Prof. Arne Hoffmann
Herr Augustin Thies B.A.
Lara Oderwald
Univ.Prof. Nadeshda Oestrovsky
Dr. Gundula Putz
Prof. Cäcilia Gertz B.Eng.
Johann Beer
Dipl.-Ing. Walburga Steckel
Marijan Huhn
Carla Schacht
Univ.Prof. Othmar Geisel
Roberto Jockel
Dipl.-Ing. Theda Weinhold B.Eng.
Clara Ruppersberger
Hansjürgen Säuberlich
Ellinor Kraus
Calogero Seip
Dr. Bernfried Bärer
Herr Osman Gerlach B.Sc.
Gabor Pechel-Junken
Ing. Fredi Löffler
Univ.Prof. Virginia Pechel
Herr Bartholomäus Adolph MBA.
Oscar Fritsch
Frau Patricia Schmiedecke B.Eng.
Krista Putz
Riza Römer
Antonina Neureuther
Torben Roskoth-Wilmsen
Jeanette Speer
Ing. Gislinde Ernst B.A.
Dr. Edelbert Wieloch MBA.
Ramona Sontag
Niels Faust
Heinz-Joachim Kobelt
Pedro Hande B.Sc.
Sylvester Bachmann
Alwin Schaaf
Dipl.-Ing. Gunnar Rohleder B.Sc.
Natalie Neureuther
Arnold Oderwald
Ilhan Budig
Milos Trüb
Abram Briemer
Pawel auch Schlauchin
Ing. Dorothe Junken
Helge Pohl
Paolo Zänker MBA.
Ing. Clemens Wirth
August Weihmann
Annelie Schomber
Maren Roht
Denny Bohlander B.A.
Bernhard Becker
Gisa Hornig-Geißler
Janus Oderwald-auch Schlauchin
Prof. Ralf-Peter Schlosser B.Eng.
Emmerich Killer
Marjan Pölitz B.Eng.
Dr. Diedrich Atzler
Ing. Carin Zorbach MBA.
Dr. Evangelia Killer B.Sc.
Herr Jörgen Kruschwitz
Sandra Hornig
Milan Holzapfel
Fadime Heidrich B.A.
Hanife Täsche-Stiffel
Magdalena Tintzmann B.Sc.
Dipl.-Ing. Hülya Nerger
Franz-Peter Preiß B.A.
Sibylla Koch MBA.
Ilonka Lange
Halina Römer-Hartung
Burghard Albers-Berger
Dr. Timo Ernst
Hans-Hinrich Trub
Tim Sorgatz
Andrea Ziegert
Univ.Prof. Monja Staude MBA.
Eckard Textor
Dolores Atzler B.A.
Gilda Scholz
Ewald Dussen van
Giorgio Trüb
Heinrich Ackermann
Univ.Prof. Anna-Luise Faust
Ing. Thomas Drewes B.A.
Kai-Uwe Mitschke
Anna-Luise Seip-Hofmann
Käthi Lübs
Ben Eimer-Loos
Dorothee Blümel
Prof. Irmela Klemt B.Eng.
Dipl.-Ing. Meral Beyer
Mechtild Hering
Antonino Rogge-Meyer
Undine Lindner
Louis Geisel
Kreszenz Ruppert-Dobes
Ing. Hanny Noack MBA.
Thorsten Bolzmann-Hesse
Dr. Dora Fischer
Werner Heydrich-Schmidtke
Dr. Muzaffer Sauer B.Eng.
Anni Hänel B.Eng.
Tomas Tlustek
Gordon Klemt-Rörricht
Dr. Jochem Trapp MBA.
Prof. Britt Drub B.Eng.
Michel Kuhl
Nikolaos Reichmann
Oscar Junitz
Arno Lindner
Claus-Peter Flantz
Imelda Söding
Traudel Wilmsen B.A.
Viktor Bauer
Anastasia Gunpf
Herma Möchlichen
Frau Gertrud Jüttner
Janette Wiek
Karl-Heinz Rohleder
Tülay Hettner-Ebert
Dominic Möchlichen
Prof. Joanna Kreusel
Jonas Hendriks
Dipl.-Ing. Rouven Kallert MBA.
Wolf Martin
Dr. Gerda Butte MBA.
José Gröttner B.Sc.
Alan Stadelmann-Lindner
Anto Kobelt-Kobelt
Reimar Jacob-Loos
Evangelos Staude
Semra Gorlitz
Renate Austermühle B.Eng.
Manfred Juncken
Mirjana Schlosser B.Eng.
Anna-Marie Zorbach
Dietlinde Käster
Antonios Zimmer
Heiner Ruppersberger-Hentschel
Anna Lübs
Stefano Wagenknecht
Saban Hendriks
Fredy Hiller
Recep Hecker
Augustin Carsten
Prof. Vadim Stroh
Prof. Pedro Schmidt B.Eng.
Hertha Caspar MBA.
Uli Zimmer
Dr. Friedbert Bauer B.Eng.
Nadia Rosenow
Geza Beckmann
Ryszard Lehmann
Hans Dieter Stahr
Prof. Heinz-Willi Hertrampf
Univ.Prof. Gusti Schlosser
Heinz-Günter Weimer B.Sc.
Gunhild Nohlmans
Jessica Stumpf
Patrizia Biggen
Dipl.-Ing. Wilfriede Bruder
Ing. Alla Schottin B.A.
Hans-Heinrich Schüler-Seip
Emilia Scheel
Stephanie Weller
Hildegund Ruppersberger
Vitali Faust B.Eng.
Ricarda Warmer B.A.
Fedor Röhrdanz
Birger Becker
Irmengard Röhrdanz
Slawomir Tlustek B.A.
Ing. Madlen Beier B.A.
Univ.Prof. Franz-Josef Holt
Horst-Dieter Seifert
Prof. Kata Häring
Liesbeth Koch II
Prof. Magdalena Bohlander B.Sc.
Wulf Schuster
Univ.Prof. Oscar Lindau MBA.
Marika Sager
Rene Bruder B.Eng.
Conrad Paffrath
Dr. Jurij Nohlmans B.A.
Melissa Stey
Frau Josefa Henschel B.A.
Alf auch Schlauchin
Bertha Ritter-Drubin
Malte Schäfer
Ing. Gabriela Dippel MBA.
Eleni Mühle MBA.
Gerda Stey
Anica Ortmann B.A.
Birte Jüttner
Ing. Adam Klemt MBA.
Dipl.-Ing. Kevin Stadelmann
Prof. Claudia Mude
Univ.Prof. Tabea Dörschner MBA.
Anthony Bonbach
Heimo Huhn B.A.
Isidor Heinrich
Ayse Scheuermann-Sölzer
Ljiljana Stoll
Anka Förster
Ilja Freudenberger B.A.
Janusz Kruschwitz B.Eng.
Dipl.-Ing. Ante Rust
Prof. Maria-Luise Drub B.Sc.
Bekir Fechner
Eveline Kruschwitz B.Sc.
Felix Wilms
Elli Junck
Benita Geißler
Dr. Alois Kraushaar B.Sc.
Siegbert Kranz
Heiko Metz
Natalija Haering
Rolf-Dieter Preiß
Vassilios Kramer
Ismail Koch
Helga Gerlach-Seifert
Meinhard Schuster
Karl-Wilhelm Meyer
Natali Löffler
Karl-Heinz Buchholz
Prof. Ildiko Adler MBA.
Nico Drewes
Alexander Beckmann MBA.
Imelda Schäfer
Ing. Bianca Paffrath
Ludmila Patberg
Leokadia Herrmann
Regina Becker
Adriane Gröttner
Annemie Herrmann
Dr. Ingelore Winkler
Albert Hartmann-Lachmann
Reinhild Pergande
Dipl.-Ing. Ingolf Krein
Dipl.-Ing. Ildiko Löffler B.A.
Dietlind Drubin
Marlen Wende
Pasquale Karge
Frau Margrit Beckmann
Edelgard Finke B.Eng.
Dipl.-Ing. Roland Bien B.Sc.
Annaliese Gute
Hugo Ruppert-Kade
Dipl.-Ing. Melanie Kreusel B.A.
Paula Heinz
Prof. Marijan Hoffmann
Margareta Klingelhöfer
Zbigniew Boucsein
Vitali Neureuther
Frau Caren Schmidt MBA.
Hella Pergande MBA.
Anneliese Wähner
Carmine Bruder-Rörricht
Ing. Aldo Pechel B.Eng.
Kai-Uwe Rogner
Isolde Seifert
Ante Gunpf
Ronald Werner
Dipl.-Ing. Gerdi Wende
Elzbieta Putz B.Eng.
Ing. Augustin Budig B.Eng.
Univ.Prof. Clara Heidrich B.Sc.
Karina Tschentscher-Butte
Larissa Löffler
Lucia Kohl
Hans-Theo Thies
Isabell Briemer
Aziz Bähr B.A.
Waltraud Trapp-Pechel
Gerd Becker
Irmgard Pieper B.Eng.
Hermann-Josef Loos
Sigmund Kensy
Gabriella Rädel
Laurenz Scholl
Irina Täsche
Emilie Schmidt-Gröttner
Angela Weimer
Elvira Scholtz
Kuno Kreusel
Justine Patberg-Metz
Katharina Etzler
Aurelia Mude
Evi Heuser
Jost Roskoth
Ing. Alfred Söding
Anatol Gude MBA.
Karl-Heinz Hahn
Jacek Bärer
Ing. Nuran Schaaf
Herr Alois Thanel B.Sc.
Jann Schenk
Korbinian Bolander
Brunhilde Nohlmans
Emine Lübs
Univ.Prof. Brigitte Rogner
Zdravko Müller-Fritsch
Siegmar Ullmann-Fritsch
Otmar Wende
Gunar Lindner
Sylvana Hornich MBA.
Univ.Prof. Romuald Hermighausen
Frau Danielle Junk
Dominic Gunpf MBA.
Angelina Dörschner-Reichmann
Alwine Linke
Ing. Alma Rudolph B.Sc.
Cathrin Weitzel MBA.
Klaus-Dieter Knappe
Eckhard Sölzer
Ira Scholz-Pohl
Hans-J. Bolander
Hans-H. Schönland
Mesut Trommler
Ing. Celal Textor
Brunhilde Heinz MBA.
Univ.Prof. Nadja Jacob B.Eng.
Arno Mude
Beatrice Fechner
Univ.Prof. Polina Schmidt B.Eng.
Hans-J. Wohlgemut
Ing. Ramazan Kallert MBA.
Univ.Prof. Frieder Döhn MBA.
Serge Kade
Jörn Barth-Möchlichen
Philomena Bloch
Rainer Conradi
Ahmad Jacobi Jäckel
Janett Zorbach
Prof. Trude Schäfer MBA.
Solveig Scheibe
Dr. Heinz-Georg Aumann MBA.
