Student
Annemie Kade-Kuhl
Gertraude Tintzmann
Anto Kobelt-Kobelt
Dr. Natascha Schmidtke B.Eng.
Dr. Lilija Dowerg MBA.
Mohamed Heydrich
Theresia Henck
Mandy Trüb
Gerd Süßebier
Univ.Prof. Etta Bohnbach
Frieda Gröttner
Centa Kaul
Ekaterina auch Schlauchin
Stilla Heuser
Lia Zänker
Anne-Kathrin Ortmann
Herr Rupert Jüttner MBA.
Otmar Schmidtke
Ernestine Stumpf
Niklas Trubin
Zlatko Briemer-Karge
Herr Konstantin Neureuther B.A.
Heinz-Gerd Söding
Felizitas Werner
Inka Trub
Hanno Hölzenbecher B.Sc.
Herr Jost Ruppersberger B.A.
Annamaria Hänel-Zimmer
Ing. Herwig Drub MBA.
Kläre Kohl
Ing. Dorothe Junken
Matthäus Striebitz-Zirme
Ilka Zimmer-Wesack
Ing. Engelbert Bauer
Jörn Trupp MBA.
Annie Langern
Dipl.-Ing. Cynthia Hauffer B.A.
Felix Hölzenbecher B.A.
Prof. Monica Beer MBA.
Herr Filippo Rosemann B.A.
Dr. Kai-Uwe Schulz B.A.
Lilo Hartung
Karl-Heinz Buchholz
Hans-H. Schönland
Dr. Leo Schlosser MBA.
Ansgar Seidel
Michelle Kitzmann
Melanie Segebahn
Patrizia Biggen
Katherina Ruppert
Reinhard Beer-Etzler
Vitali Junken
Univ.Prof. Filiz Rudolph MBA.
Horst-Dieter Bähr
Zoltan Preiß B.Eng.
Dipl.-Ing. Reimer Werner MBA.
Dr. Anatoli Bonbach
Angelique Speer B.A.
Ahmed Freudenberger B.Sc.
Hildegard Roht B.Sc.
Gerhild Gude
Helge Pohl
Dipl.-Ing. Sylke Gute B.A.
Isidor Zobel-Ritter
Mara Vollbrecht B.A.
Ilonka Zimmer
Dipl.-Ing. Birgitta Boucsein
Anna-Luise Eckbauer
Helen Tschentscher
Prof. Wolf-Dieter Killer B.Sc.
Friedlinde Meyer
Laila Kranz
Grzegorz Mende B.A.
Viola Ackermann
Gebhard Sauer
Madlen Steinberg
Britt Schwital-Seip
Evangelos Staude
Josefine Rosemann
Polina Hettner
Jakob Seifert
Frau Ivanka Killer MBA.
Univ.Prof. Ismet Bloch B.Eng.
Klaus-Werner Koch II B.Sc.
Prof. Amelie Rose MBA.
Vincenzo Lübs
Frau Aleksandra Bähr B.Eng.
Birgit Pergande
Anette Bien
Maximilian Steinberg
Marlen Gute-Hauffer
Thies Blümel
Rainer Gude-Kaul
Univ.Prof. Josip Hartung
Timm Oderwald
Deborah Finke
Imelda Söding
Engin Hofmann
Ingetraut Jopich
Dr. Eberhardt Adolph B.Eng.
Leo Roskoth B.Sc.
Prof. Freya Biggen B.Eng.
Prof. Jörgen Gieß B.Eng.
Univ.Prof. Tina Rose
Cläre Heser
Raimund Gieß
Frederike Dippel
Esther Ehlert
Heinz-Wilhelm Werner
Dr. Heiderose Kallert B.Eng.
Dipl.-Ing. Halina Bender B.A.
Sybilla Eigenwillig
Marliese Becker
Catrin Hamann
Univ.Prof. Othmar Geisel
Ladislaus Killer
Hendrik Gehringer
Tony Wende
Ing. Leopold Beier B.Sc.
Wenke Neureuther-Hermighausen
Heinz-Willi Jockel
Robert Etzold
Dr. Elena Kade B.Sc.
Götz Budig
Meral Stroh-Henschel
Reinhart Winkler B.Eng.
Kriemhild Junk MBA.
Univ.Prof. Vadim Vollbrecht B.A.
Ingetraud Freudenberger
Andrea Wulf
Irmtraut Noack
Dipl.-Ing. Nina Boucsein MBA.
Miodrag Fliegner B.A.
Carin Binner
Timm Wende
Laura Wilms
Herr Ignatz Boucsein MBA.
Justine Patberg-Metz
Prof. Pascale Kruschwitz
Antonina Christoph MBA.
Diethard Gude
Inna Schulz
Karl-Friedrich Kitzmann
Dagmar Dussen van
Prof. Susanne Heidrich B.Eng.
Rico Cichorius
Prof. Urs Salz
Vinzenz Bruder
Hans-H. Naser
Prof. Ursula Niemeier B.Eng.
Edelbert Bruder
Nikolai Rädel-Klemt
Nina Putz-Ritter
Hans-Adolf Mosemann B.A.
Andres Sager
Rüdiger Buchholz-Kuhl
Herr Bastian Hübel B.A.
Dipl.-Ing. Klaus-D. Kostolzin
Angela Weimer B.A.
Ernst Gunpf-Naser
Rosita Peukert-Scheibe
Janin Hermann
Prof. Natalia Junck B.Sc.
Univ.Prof. Claudio Schmiedt
Frau Christiane Zänker B.A.
Mariusz Adler
Anastasia Mans
Dr. Sigrun Schönland B.A.
Heinz-Otto Geisler B.Sc.
Paulina Bender-Liebelt
Käthi Faust-Gorlitz
Alicia van der Dussen-Patberg
Sarina Dörr
Sylke Ehlert
Selim Pieper
Francoise Dippel B.Eng.
Ellen Gutknecht
Luigi Gude
Ronald Stiebitz
Viktor Bauer
Dr. Amir Jäkel
Sergej Pärtzelt
Cathleen Gude
Ing. Gundi Boucsein B.Sc.
Janusz Beckmann
Ludwina Haase
Zoltan Wilms
Ulrich Segebahn
Jens-Uwe Schlosser
Heribert Austermühle-Trupp
Ing. Tomas Fischer B.Sc.
Trudi Kranz B.Eng.
Prof. Augustin Stey B.A.
Heidemarie Junitz
Vladimir Wulf B.A.
Reinald Zahn
Calogero Heintze
Heimo Karge-Freudenberger
Alfredo Oestrovsky
Rose Beer
Gülay Weinhold
Karl-Dieter Seifert
Dr. Aribert Sontag
Ing. Catrin Dippel MBA.
Freia Hamann-Eckbauer
Antonietta Kostolzin
Hans-Georg Anders
Leif Wulff
Sigmund Mosemann
Lieschen Walter
Marcus Finke
Udo Grein Groth
Maritta Boucsein
Elif Wohlgemut
Prof. Reza Ebert B.Eng.
Univ.Prof. Halil Staude
Uli Oderwald-Freudenberger
Helmuth Zirme
Dr. Hans-Willi Hertrampf MBA.
Leokadia Oestrovsky
Dipl.-Ing. Baldur Oderwald B.Sc.
Herr Anthony Caspar
Herr Jens Becker MBA.
Moritz Schönland
Herr Darko Gutknecht MBA.
Adina Finke
Prof. Woldemar Beier B.A.
Karoline Hübel
Janko Schulz-Becker
Elfie Preiß
Ing. Swen Ehlert
Marisa Wagenknecht
Elena Pruschke
Dipl.-Ing. Till Säuberlich
Elli Kohl
Dipl.-Ing. Ismet Käster B.Eng.
Milica Huhn
Deborah Etzler
Ing. Carolin Anders
Guido Pieper
Herr Marian Schlosser B.A.
Univ.Prof. Nermin Rosemann B.Sc.
Hanspeter Koch II-Wohlgemut
Kazim Hörle
Anatoli Caspar
Philipp Ernst
Dr. Lieselotte Blümel B.A.
Jann Geisler
Carla Tintzmann
Belinda Reinhardt B.A.
Richard Kostolzin
Karl-Georg Sontag B.Sc.
Sofie Fiebig-Hermighausen
Anika Sager
Kläre Mohaupt-Salz
Frau Patricia Gorlitz B.A.
Univ.Prof. Albertine Köhler MBA.
Jutta Aumann
Gundi Sager
Franz Löwer
Geert Rust
Ingo Löffler
Eberhard Rust B.A.
Yasmin Reising
Conrad Killer
Mathilde Wähner-Bien
Ing. Bernard Schleich B.Sc.
Vassilios Kramer
Theo Döring
Margareta Schmidt
Philip Mangold
Christopher Fröhlich
Sedat Matthäi
Josephine Schweitzer
Hans-Theo Thies
Bernhardine Pechel
Hannelore Noack MBA.
Ing. Nadeschda Tschentscher B.A.
Fatma Löffler B.Sc.
Gottlieb Kade
Kristin Jacob
Dipl.-Ing. Slawomir Ebert MBA.
Irmtrud Schmiedt B.Sc.
Gesche Kühnert
Alexa Dietz
Ida Buchholz B.Eng.
Eckehard Steckel
Viviane Jopich
Gülsen Gutknecht
Alfonso Grein Groth-Henck
Univ.Prof. Aysel Lindau
Rosalia Johann
Dierk Beier
Caroline Linke
Gisa Budig-Löwer
Enrico Kobelt-Klemt
Herma Möchlichen
Dr. Peer Schwital MBA.
Elias Langern
Babett Adler
Miroslawa Jessel B.Sc.
Andy Mangold
Bodo Finke
Dipl.-Ing. Ante Rust
Sigrid Jockel
Prof. Ingeborg Noack
Konrad Schuster
Univ.Prof. Dolores Rust
Sabine Gude
Univ.Prof. Beate Gude
Fadime Heidrich B.A.
Ing. Margarete auch Schlauchin MBA.
Erik Trupp MBA.
Dogan Häring MBA.
Hilda Metz-Dehmel
Jonas Boucsein
Dragan Trub
Herr Thorsten Hartmann B.Eng.
Mirja Bähr
Elias Hethur
Philipp Reising-Harloff
Prof. Gaby Ernst MBA.
Micha Albers-Wilms
Faruk Birnbaum
Friedlinde Mühle B.A.
Georgine Segebahn
Alexei Meister
Emil Preiß-Hecker
Victor Fritsch B.Eng.
Herr Tony Lindner
Gunhild Zimmer
Dorothea Finke
Aysel Löchel
Ing. Daria Lorch B.A.
Paul-Gerhard Jungfer B.Eng.
Julie Mentzel
Corina Pergande
Alida Ehlert
Wanda Stoll B.A.
Fatma Sager
Dr. Gabriela Geißler
Johann Oestrovsky
Lilly Beckmann B.Sc.
Mehmet Sauer
Gerda Sauer
Adelinde Gumprich MBA.
Thorsten Gude
Alma Kaul
Dr. Ella Warmer
Isabell Buchholz
Caren Neureuther
Ralf-Peter Gute
Erdal Tintzmann
Dipl.-Ing. Harm van der Dussen
Carolina Ditschlerin
Dietrich Kruschwitz
Hertha Stoll
Ricarda Warmer B.A.
Univ.Prof. Virginia Pechel
Dr. Frank Oderwald MBA.
Roger Gunpf-Paffrath
Bogdan Steckel B.Eng.
Victor Seifert
Dr. Halina Haase
Freia Lübs
Dominic Martin
Univ.Prof. Agathe Steinberg MBA.
Dr. Hans-Heinrich Kaul B.Eng.
Frau Rosemarie Stiffel
Univ.Prof. Ludwig Jähn B.A.
Univ.Prof. Ilka Jäntsch B.A.
Ron Beer
Jeannine Heinz-Tlustek
Amanda Weller
Konstanze Mühle
Adalbert Reising
Konstanze Mohaupt
Sandy Haering
Dursun Atzler B.A.
Olivia Mies
Domenico Kade B.A.
Herr Frank-Peter Jopich
Gülsen Junck
Lutz Mies-Hesse
Hanni Scholz-Weitzel
Ditmar Trub
Herr Hartmuth Pruschke
Siegmund Schleich MBA.
Prof. Jürgen Blümel B.A.
Bernt Jessel
Prof. Pedro Schmidt B.Eng.
Walfried Siering
Prof. Ulla Dussen van B.Sc.
Hilda Stey B.Eng.
Bertha Rose
Reza Misicher
Dipl.-Ing. Katarina Schmidtke
Marzena Neuschäfer
Heidemarie Kreusel
Semra Fiebig
Anthony Bonbach
Dipl.-Ing. Regine Renner
Kay-Uwe Trommler
Ralf-Peter Schacht
Hans-Jörg Lachmann
Frank-Michael Klemt
Resi Ullmann
Dr. Lisa Kusch
Kenan Pieper
Karoline Römer
Liane Gröttner
Engin Schenk
Ing. Hans Jürgen Häring
Sylvester Hamann
Frau Magarete Mans B.Sc.
Alessandro Caspar
Eva Wende-Peukert
Ole Schmidtke
Ing. Kay-Uwe Flantz
Korinna Koch II
Ing. Eleonora Holzapfel
Kasimir Albers-Stiebitz
Dipl.-Ing. Ildiko Löffler B.A.
Janette Kallert
Arno Lindner
Maurice Hübel
Raisa Scholtz
Alwine Wirth-Klemm
Lars Ullrich
Ing. Corinne Steckel B.A.
Ing. Nadeschda Bohlander
Eberhardt Gute
Geza Bloch-Mühle
Wigbert Ortmann
Gertrude Gumprich
Niels Faust
Univ.Prof. Czeslaw Heuser
Heide Knappe
Karla Etzler-Metz
Magret Oderwald
Hugo Ruppert-Kade
Ralph Stahr
Nuri Jopich
Prof. Annita Putz
Tony Henk MBA.
Edit Siering
Angelina Dörschner-Reichmann
Burckhard Margraf
Elmar Fröhlich
Karen Hendriks
Inge Dehmel
Dominic Möchlichen
Amanda Eimer B.Sc.
Aneta Heydrich
Prof. Marko Rohleder B.A.
Sofie Staude
Prof. Lutz Adolph
Margarethe Wagenknecht
Sofia Austermühle
René Ehlert
Berend Rörricht
Käthe Hande
Gabor Dobes
Attila Atzler
Gloria Schulz-Huhn
Adrian Trupp
Yasemin Hande
Dipl.-Ing. Marisa Scholl
Bekir Bonbach
Jacek Täsche
Prof. Friedo Reuter
Hansjörg Müller B.Sc.
Karen Rädel
Manuel Schenk
Brian Lehmann B.Eng.
Carola Köhler MBA.
Sofia Etzler B.Eng.
Wenke Stolze
Ing. Georgia Rogner
Gerta Hartmann
Prof. Emine Wulf B.Eng.
Dipl.-Ing. Friedhilde Hauffer B.A.
Ing. Ronny Metz B.A.
Engelbert Margraf-Trommler
Berthold Haase-Trub
Luise Gertz-Fliegner
Prof. Constance Austermühle B.Sc.
Magarete Beyer B.Eng.
Hans-Günther Eimer
Fatih Ladeck-Weihmann
Sibel Weller
Univ.Prof. Mira Riehl
Corinne Koch II
Ing. Alf Lachmann
Ing. Valentine Scheibe
Alwin Löffler B.A.
Siegrun Ring
Änne Wagner
Gertrude Lehmann-Kostolzin
Reiner Conradi
Paolo Zänker MBA.
Adriana Vogt
Tina Henschel
Antonietta Lindner MBA.
Kai-Uwe Rogner
Prof. Lilly Schmidtke
Marjan Pölitz B.Eng.
Leonore Hettner-Staude
Herr Tom Täsche
Dipl.-Ing. Mathias Metz B.A.
Ignatz Gutknecht
Ilja Krause
Carl Mühle-Wulf
Frau Herlinde Schleich B.Sc.
Ute Conradi-Trüb
Klaudia Seidel
Dipl.-Ing. Bertram Gieß MBA.
Frederike Stoll
Rosemarie Hethur
Henner Schmidt
Karl-Ernst Reuter
Guiseppe Rust
Daniele Heintze B.Eng.
Frederik Bohlander
Madlen Trupp B.Eng.
Hanspeter Davids
Gitte Buchholz
Regine Wende B.A.
Dipl.-Ing. Janus Roht B.Sc.
Marina Hofmann
Univ.Prof. Anatoli Ritter
Marlen Wende
Cäcilie Roht-Misicher
Heinrich Ackermann
Friedo Lorch
Petar Hamann
Hartwig Keudel B.Eng.
Ewald Kreusel
Univ.Prof. Tabea Dörschner MBA.
Rene Bruder B.Eng.
Hans-Helmut Eimer MBA.
Herr Benedikt Säuberlich
Nicolaus Seifert
Elvira Gute-Käster
Ing. Czeslaw Geisel
Hans Kraus
Albert Seifert MBA.
Prof. Lieschen Mälzer B.Sc.
Darius Trupp
Frau Korinna Kranz
Andree Budig B.Eng.
Dr. Bernfried Bärer
Phillip Salz B.Sc.
Antonietta Hübel
Nikolaus Fiebig
Dipl.-Ing. Igor Henck B.A.
Marie-Luise Ring
Herr Hermann-Josef Lehmann B.A.
Janusz Trub-Mühle
Bodo Ullrich
Resi Margraf
Hartmuth Eberhardt
Dipl.-Ing. Milica Hofmann B.A.
Eckhart Gutknecht
Pia Fliegner
Ada Ullmann-Hermann
Prof. Urs Täsche
Lucia Hermighausen
Ortwin Scholl
Emilie Scholz
Dipl.-Ing. Matteo Baum
Sylvie Börner
Wilhelm Metz
Erica Schlosser
Leonie Möchlichen MBA.
Jeannine Lehmann
Mira Sontag
Janin Haase
Prof. Sofie Gröttner
Irene Ditschlerin
Diether Dussen van-Rohleder
Norman Fechner
Lorenz Kohl
Elli Kuhl B.Eng.
Annett Dehmel MBA.
Nikolas Hethur MBA.
Ditmar Niemeier
Wibke Tschentscher-Wulf
Ing. Zdenka Neuschäfer
Heimo Huhn B.A.
Magret Bähr
Sigurd Süßebier
Guido Wagenknecht-Kallert
Jeannette Schleich
Margit Losekann
Claudius Rust-Mans
Mirjam Stumpf
Univ.Prof. Mira Heser B.Sc.
Ben Ullmann MBA.
Desiree Ruppert
Nadeshda Hänel-Kaul
Gundula Otto-Kuhl
Julius Kraushaar
Gerwin Bonbach-Fliegner
Anna-Marie Zorbach
Univ.Prof. Heinz-Dieter Schuster
Ing. Carolin Faust B.A.
Hans-Erich Mende
Prof. Volkmar Heuser
Benita Hahn-Wieloch
Natalie Bender MBA.
Edda Junck-Eimer
Aurelia Dussen van MBA.
Univ.Prof. Regina Salz B.Eng.
Herr Jörgen Kruschwitz
Kirstin Kusch-Meister
Univ.Prof. Teresa Weinhage B.A.
Hans-Bernd Zorbach
Prof. Bernward Wulf B.Eng.
Herr Leonid Röhricht MBA.
Hans-J. Hahn-Süßebier
Univ.Prof. Anna-Luise Faust
Marten Röhricht B.Sc.
Fatima Weinhage-Boucsein
Univ.Prof. Nurten Neuschäfer MBA.
Prof. Bertha Jacobi Jäckel MBA.
Patrizia Schüler
Lambert Gehringer
Berndt Mohaupt MBA.
Dipl.-Ing. Dunja Hoffmann
Prof. Julia Möchlichen B.A.
Mark Röhricht
Dipl.-Ing. Theobald Knappe B.Eng.
Tina Radisch
Klaus Lorch-Graf
Elise Hentschel
Ing. Siegmar Meyer B.A.
Univ.Prof. Gretl Langern B.A.
Brian van der Dussen
Ing. Mahmoud Becker
Sieghard Stoll-Harloff
Steven Käster B.Sc.
Tibor Bolzmann MBA.
Irmi Koch
Heinz-Willi Holt
Univ.Prof. Gottlob Tröst B.Eng.
Rosa-Maria Steckel
Reni auch Schlauchin
Wally Bien-Kraushaar
Arne Knappe
Prof. Georgia Zirme MBA.
Dörthe Mitschke-Holt
Univ.Prof. Evelyn Seifert B.A.
Rosi Spieß
Willy Hornig
Dorit Zimmer-Krein
Ekkehart Binner
Univ.Prof. Robby Vollbrecht
Aribert Herrmann
Stefano Atzler
Reinhart Jopich
Aldo Förster
Franz Lange
Alois Knappe
Rosl Trupp
Susanna Schaaf
Rosa-Maria Reising
Anna Lübs
Dr. Frieda Metz
Bernhardine Mangold
Alice Hesse
Hansgeorg Kruschwitz
Miriam Juncken
Mike Krein
Steven Eimer
Annelore Täsche
Theodor Striebitz
Dr. Catharina Gerlach B.Eng.
Isa Kramer-Matthäi
Senol Heintze-Gerlach
Dipl.-Ing. Annelise Naser
Rose Henschel
Ella Keudel
Dr. Heinz-Georg Aumann MBA.
Alwina Hettner
Heinrich Köster
Carolin Stumpf B.Eng.
Leander Dobes-Schlosser
Hasso Zahn
Dr. Ingelore Winkler
Madeleine Henk
Marianna Hofmann
Eveline Wagenknecht
Edmund Junck
Annika Pieper B.A.
Danuta Kreusel
Prof. Vesna Scholz
Giuseppe Trupp
Herr Yusuf Kabus B.A.
Sebastian Vogt
Univ.Prof. Friedl Peukert B.Eng.
Imke Gieß B.Sc.
Lorenz Sauer
Rosi Renner-Graf
Univ.Prof. Cecilia Scholl MBA.
Daniela Wernecke-Hölzenbecher
Ekrem Zänker
Amir Reuter
Luzie Sager-Gierschner
Ing. Damaris Bonbach
Ayse Thies B.Eng.
Annegret Atzler
Ing. Mariechen Nerger B.Eng.
Babett Süßebier B.A.
Mareike Scholl
Dr. Abdullah Becker
Zeki Henk B.A.
Eckehard Nette
Philippe Wähner
Ronald Henschel
Univ.Prof. Ferenc Knappe B.Sc.
Frau Julia Fliegner
Hüseyin Hethur
Wilfriede Misicher
Ariane Tintzmann
Willfried Kostolzin
Friedericke Ruppersberger
Orhan Mude
Sigmund Hentschel MBA.
Jan Gumprich
Dipl.-Ing. Bernward Putz B.Eng.
Erwin Jopich
Ljudmila Krebs
Jelena Meyer MBA.
Heinrich Kramer
Dr. Fedor Plath B.Sc.
Hans-Erich Staude
Ing. Wiltrud Sauer B.Sc.
Patricia Wiek
Zeljko Gieß
Prof. Ingetraud Seidel B.Sc.
Danielle Ritter B.Eng.
Maya Haering-Becker
Univ.Prof. Fatima Hölzenbecher
Emanuel Schinke B.Sc.
Falko Kusch B.A.
Marko Trupp
Ing. Gottfried Hoffmann
Friedrich-Karl Zorbach
Trudel Wagner
Apollonia Heß B.A.
Gilda Tintzmann
Carola Franke
Prof. Anna Kühnert B.Sc.
Ing. Therese Rust
Elizabeth Wulf
Dr. Friedhilde Adler MBA.
Agathe Trommler
Gisela Schwital-Scheel
Lilly Naser
Felix Müller
Margret Dehmel
Hiltrud Klemm
Carl-Heinz Steinberg
Geert Schuchhardt
Gerfried Dippel
Prof. Miguel Dowerg B.A.
Ing. Selim Tintzmann B.A.
Hansjörg Roht
Walfried Klotz-Klotz
Kreszentia Bohlander
Anthony Heintze
Franz Josef Nette-Werner
Darius Loos
Frau Gudrun Huhn B.Sc.
Insa Peukert
Prof. Ignaz Cichorius
Dana Löwer MBA.
Aleksander Wagner-Barth
Waltrud Scholl
Herr Juri Kitzmann
Wolfhard Ziegert
Univ.Prof. Birger Weihmann MBA.
Luis Oderwald
Christiane Blümel
Hakan Kitzmann-Scholl
Hildegund Ruppersberger
Hajo Ziegert-Noack
Madlen Salz
Vincenzo Jopich
René Rose-Krebs
Regina Becker
Karolina Reuter-Freudenberger
Traude Kuhl
Emil Grein Groth
Annelie Schomber
Ing. Canan Gutknecht B.A.
Traudel Wilmsen B.A.
Hans-Detlef Kobelt
Ing. Adalbert Heser
Erica Lachmann
Therese Rohleder
Ing. Leszek Gutknecht B.Sc.
Dagmar Schäfer
Stjepan Schmidtke
Lotti Mosemann
Ing. Hans-Walter Ackermann
Hans-Bernd Zobel
Herr Ilhan Tröst B.A.
Prof. Janin Dietz
Thorsten Bolzmann-Hesse
Prof. Klaus Peter Bruder
Valeska Blümel B.A.
Wojciech Girschner B.A.
Rolf-Dieter Flantz B.Eng.
Herr Hilmar Stumpf
Ingolf Ruppersberger-Berger
Rolf-Dieter Jacobi Jäckel-Nerger
Frau Britt Heß
Ayse Scheuermann-Sölzer
Albert Hartmann-Lachmann
Emma Trub-Scheuermann
Ing. Vitali Hentschel MBA.
Manfred Juncken
Rosita Budig
Angelina Noack-Wagenknecht
Jaroslav Benthin
Nina Müller B.Eng.
Ralph Hellwig-Lachmann
Karla Conradi
Ing. Kristina Biggen
Prof. Niko Atzler B.Sc.
Karl Heinz Stiebitz
Isabelle Förster-Beyer
Cord Mende B.Eng.
Wulf Fiebig B.A.
Herr David Löchel B.A.
Swetlana Jessel
Georgia Ruppersberger
Bruno Hethur
Ing. Tanja Scheibe B.Eng.
Elwira Pölitz B.Sc.
Wilma Drub B.Eng.
Sami Linke B.A.
Ing. Cord Hermighausen B.Eng.
Wieslaw Oestrovsky MBA.
Fatih Bohlander
Ellen Junken
Dipl.-Ing. Margarita Stey
Aleksej Kühnert B.A.
Claudio Bolnbach
Clarissa Buchholz
Herr Rudi Neuschäfer
Otfried Ortmann
Almuth Pieper
Lilo Scholz
Univ.Prof. Hans-Martin Scholz
Heinz-Günter Weimer B.Sc.
Carlo Martin B.Eng.
Karl Zirme
Kaspar Trub
Nadin Hertrampf-Killer
Andrej van der Dussen B.A.
Dr. Alena Hövel
Ing. Valeria Kruschwitz
Cristina Salz B.Sc.
Cilli Siering
Alwine Riehl
Elma Heser
Ing. Pavel Weller B.Eng.
Gunter Beyer
Brunhilde Nohlmans
Halina Hethur
Kathi Etzler
Valerie Losekann
Brit Lindner
Fredy Bachmann B.Eng.
Elizabeth Jacob
Adelgunde Wagenknecht
Univ.Prof. Hans-Dietrich Grein Groth B.A.
Baldur Metz
Lothar Beckmann
Alois Römer-Becker
Gabi Gertz
Carl-Heinz Trapp
Maren Scholz-Bohlander
Pius Gierschner-Weitzel
Martine Zobel
Edwin Wilms MBA.
Anne-Kathrin Geisler
Raymond Ruppersberger
Hans-Werner Mohaupt
Franz-Peter Preiß B.A.
Uschi Dobes
Prof. Andrzej Gorlitz
Prof. Lotti Löffler
Peer Nohlmans B.Sc.
Helga Salz
Diedrich Scheel-Hübel
Concetta Dehmel
Julia Graf
Hedda Mielcarek
Annelore Juncken
Erich Klotz B.Sc.
Dr. Czeslaw Neureuther
Ruthild Hoffmann
Andy Jockel B.Eng.
Hans D. Schenk
Univ.Prof. Willfried Werner B.Sc.
Lydia Losekann MBA.
Trudel Bloch
Mark Sauer B.A.
Ulrike Rädel B.Eng.
Gundula Adler-Bien
Dipl.-Ing. Alexandros Weinhold
Franz Steuer
Valerij Barth
Hans Dieter Fiebig B.Eng.
Univ.Prof. Ewald Rogner B.Sc.
Mirjana Drub
Karl-Hans Weinhold-Noack
