Student
Gottlob Römer
Gerta Stey-Klemm
Dipl.-Ing. Reimer Werner MBA.
Univ.Prof. Paul-Gerhard Lübs MBA.
Ing. Czeslaw Geisel
Gusti Vollbrecht
Henri Wilms
Ilija Fischer
Robby Weller
Ing. Hans-Heinrich Reichmann B.Sc.
Gero Gumprich B.Sc.
Hildburg Tlustek
Hans-Karl Bauer B.Eng.
Ing. André Christoph
Annegrete Jüttner
Sigrid Jockel
Natalie Neureuther
Dr. Meral Thies B.Sc.
Ing. Birte Heidrich B.Eng.
Frau Ivanka Killer MBA.
Wilhelm Klemm B.A.
Nikolas Ebert
Jörn Hörle B.Sc.
Dr. Trude Ziegert B.A.
Dr. Constance Römer
Brunhild Karge B.A.
Frau Korinna Kranz
Natalie Carsten B.A.
Siegrid Misicher
Kevin Etzler
Niko Butte-Rosenow
Karl Heinz Stiebitz
Petra Wagner
Mariana Wirth
Belinda Huhn
Angelo Röhrdanz
Liane Reuter
Agathe Söding
Univ.Prof. Dolores Rust
Ottilie Trüb
Sybilla Hornig
Ing. Helmuth Bruder
Oskar Weitzel
Ludwina Hölzenbecher
Miroslawa Haase
Canan Heinrich
Dipl.-Ing. Janet Ruppersberger
Lieschen Kusch-Pechel
Herr Arnulf Kohl
Ayse Thies B.Eng.
Michaela Hecker B.Eng.
Univ.Prof. Hardy Hartung
Willibald Seidel
Albrecht Caspar
Rosalia Johann
Herr Ruben Schüler B.Eng.
Hans Peter Beckmann
Karlfried Franke
Ing. Alf Lachmann
Clarissa Buchholz
Hans-Erich Staude
Rosmarie Kambs MBA.
Friedericke Käster B.A.
Karl-Dieter Thies
Janusz Eberhardt MBA.
Tanja Renner B.Sc.
Univ.Prof. Ralf-Dieter Kabus MBA.
Michelle Pohl
Margareta Dörschner B.Sc.
Fatima Weinhage-Boucsein
Gebhard Sorgatz
Dipl.-Ing. Nina Boucsein MBA.
Cordula Mangold
Henrik Heidrich
Iwan Käster
Tatjana Käster-Schüler
Hans-Herbert Gutknecht
Ryszard Anders B.Sc.
Concetta Karge
Dimitrios Kraushaar-Adolph
Ruth Mangold B.Sc.
Mattias Sorgatz-Haase
Prof. Ulla Dussen van B.Sc.
Univ.Prof. Norbert Röhrdanz B.Sc.
Denny Salz
Alida Trupp
Prof. Almuth Dippel
Frau Anna Mangold B.A.
Univ.Prof. Kirstin Killer B.Eng.
Damian auch Schlauchin B.Eng.
Alwina Koch
Henryk Jacobi Jäckel B.Sc.
Hanspeter Davids
Alwin Löffler B.A.
Hans-Hinrich Linke
Maren Roht
Emine Haase B.A.
John Roskoth-Rädel
Dr. Elmar Junk
Ing. Zofia Ernst
Ivonne Hahn
Boris Stumpf
Herta Hoffmann
Ortrun Eckbauer-Kohl
Dipl.-Ing. Betti Löffler MBA.
Prof. Nikolaos Steinberg B.Sc.
Hannah Jacobi Jäckel
Josephine Rogge
Hans-Martin Kohl
Alexa Dietz
Karina Tschentscher-Butte
Dipl.-Ing. Gilbert Plath B.Sc.
Gernot Hornich B.A.
Francoise Zänker-Knappe
Bernhardine Pechel
Hans Georg Gorlitz-Schäfer
Berthold Naser
Ingetraud Fiebig
Liliana Gehringer
Cora Steuer-Junken
Wojciech Rogner
Ing. Wladimir Karz MBA.
Necati Koch
Ernestine Trommler
Lutz Röhricht B.A.
Ing. Willfried Kostolzin
Dana Schäfer
Hans-Hermann Haering
Vera Losekann
Dipl.-Ing. Cristina Vogt
Edmund Scholtz B.Sc.
Janos Kobelt-Henck
Krista Scholtz
Katharina Krause-Hornig
Univ.Prof. Frederike Heintze
Mary Hofmann B.A.
Monja Heidrich
Astrid Dehmel
Gislinde Wagenknecht
Deborah Scholtz B.A.
Dr. Annita Kallert
Bernhard Fischer
Hans-Willi Kruschwitz B.Sc.
Bärbel auch Schlauchin
Dr. Elif Peukert B.Eng.
Wolf-Dietrich Berger
Editha Jacob
Alexander Hörle
Ilse Henschel
Ing. Siglinde Speer MBA.
Herr Bertold Löffler
Lili Kaul
Adolfine Fischer
Virginia Kaul
Anne-Katrin Höfig
Bodo Finke
Univ.Prof. Margareta Naser
Karl-Hermann Rädel-Müller
Margit Klapp
Prof. Irmhild Fritsch
Prof. Marian Gerlach
Prof. Necati Stey B.A.
Univ.Prof. Frieder Döhn MBA.
Karsten Wohlgemut
Gisela Paffrath
Prof. Meik Blümel B.Sc.
Ursel Conradi
Kira Eckbauer
Prof. Grete Müller
Dr. Athanasios Noack MBA.
Univ.Prof. Marleen Kabus
Änne Tlustek-Freudenberger
Janet Johann B.A.
Roselinde Zobel
Daria Jopich
Heimo Gorlitz B.A.
Guenther Steinberg MBA.
Jakob Seifert
Ingried Hänel
Gordon Klemt-Rörricht
Catharina Jacob
Ing. Karin Werner
Reinhild Pergande
Kevin Tlustek-Heinz
Univ.Prof. Dorle Fröhlich
Stjepan Langern
Krzysztof Mülichen
Ante Gunpf
Prof. Liliane Gehringer MBA.
Jaroslaw Eckbauer
Nevenka Fritsch
Herr Julian Gotthard B.Eng.
Hartmut Biggen-Trapp
Vincenzo Zirme
Raymond Misicher
Karl-Dieter Süßebier
Herr Konstantin Neureuther B.A.
Brita Roht MBA.
Friedericke Ring MBA.
Vitali Ortmann
Univ.Prof. Robby Vollbrecht
Herr Evangelos Schacht
Hans-Bernd Trupp
Dr. Anatoli Bonbach
Dr. Leonhard Otto
Johann Beer
Sandy Römer-Bien
Erica Renner-Trapp
Erol Lindner
Leopold Weller-Zobel
Univ.Prof. Otto Kruschwitz MBA.
Renate Austermühle B.Eng.
Frank-Peter Weimer
Helga Gerlach-Seifert
Martine Trupp
Hans-Joachim Häring
Iwan Butte B.Sc.
Annegrete Jäkel
Prof. Liliana Klemm MBA.
Miguel Lehmann
Univ.Prof. Marko Schmiedecke MBA.
Natalija Haering
Prof. Guenther Margraf B.Eng.
Alena Hänel
Prof. Hans-Gerhard Reinhardt B.Eng.
Gebhard Seidel
Jens-Uwe Neureuther
Magarete Beyer B.Eng.
Stephan Haase MBA.
Gisela Carsten B.Sc.
Prof. Salvatore Römer
Anthony Bonbach
Siegbert Hartmann B.A.
Ing. Giuseppe van der Dussen B.A.
Frau Inken Seip B.Eng.
Ruthild Hoffmann
Madlen Salz
Herr Klaus Peter Krause B.A.
Ing. Siegmar Meyer B.A.
Armin Hellwig-Finke
Maren Drub
Univ.Prof. Lara Hoffmann MBA.
Irmela Krein-Bolzmann
Rene Bruder B.Eng.
Univ.Prof. Horst Scholtz
Ronny Scholtz
Hans-Theo Thies
Univ.Prof. Anika Pärtzelt MBA.
Alois Jungfer B.Eng.
Ariane Löchel
Oskar Löwer B.Eng.
Dr. Frieda Metz
Walentina Hesse
Angela Hamann
Toni Dehmel-Striebitz
Ing. Nils Pergande B.A.
Annelies Heidrich
David Losekann
Maria-Theresia Heinz B.A.
Kazim Tschentscher
Ing. Marlene Wirth B.Sc.
Katarina Knappe
Ing. Erica Schottin
Prof. Marius Herrmann
Prof. Diether Neureuther
Isabel Rose
Ing. Anastasios Berger
Irmtraut Wende
Mariusz Stadelmann B.Sc.
Karl-Dieter Seifert
Franz-Josef Kohl
Ing. Anton Gotthard MBA.
Inge Dehmel
Dan Scheuermann
Heidelore Zirme
Hartwig Keudel B.Eng.
Rose Beer
Willibald Holsten
Emanuel Scholz B.Eng.
Marianna Karge
Dr. Rita Kallert
Anne-Rose Krause
Leonhard Patberg
Dr. Sonia Hornich B.Eng.
Prof. Conny Klingelhöfer B.Eng.
Dr. Thekla Lindau B.Sc.
Dajana Trapp-Kreusel
Prof. Ildiko Adler MBA.
Isa Weihmann
Heidemarie Junitz
Hanne-Lore Berger
Hartmuth Gude B.Eng.
Herta Weitzel
Ottilie auch Schlauchin B.Eng.
Sibilla Eimer
Anton Drubin
Herr Erich Rosenow
Jiri Kambs
Detlev Stadelmann
Constantin Kraus
Theda Stumpf B.Eng.
Annika Lindner
Univ.Prof. Nevenka Döhn B.Eng.
Viola Ackermann
Univ.Prof. Gundel Atzler B.Eng.
Ing. Jeanette Rosemann B.Eng.
Ing. Ivo Weinhold
Reinhart Becker
Evelin Gerlach
Dipl.-Ing. Aloys Hentschel
Mina Segebahn B.A.
Katharina Speer
Raisa Scholtz
Gabi Meister
Univ.Prof. Linus Seifert
Herr Maik Klemt MBA.
Heinz-Georg Rosemann-Bohnbach
Mina Beyer
Cornelius Jacobi Jäckel
Rene Hofmann
Edda Jungfer
Stavros Hentschel B.Eng.
Brian van der Dussen
Dr. Dora Fischer
Torsten Schwital-Gude
Emilia Seifert
Nadja Ladeck B.Sc.
Linda Kruschwitz
Daniele Seip
Hans-Detlef Schäfer
Edeltraud Mülichen
Prof. Berend Käster B.A.
Annie Gnatz B.A.
August Weihmann
Concetta Dehmel
Gertraud Tröst
Univ.Prof. Teresa Weinhage B.A.
Josip Kuhl
Hedy Rudolph MBA.
Henriette Sager
Herr Ekkehart Sorgatz
Rosita Peukert-Scheibe
Kenan Wulff-Plath
Manja Stadelmann
Frau Minna Steinberg B.Sc.
Margrit Schenk B.A.
Dr. Erdogan Eigenwillig MBA.
Margareta Lübs-Vollbrecht
Herr Vladimir Zimmer MBA.
Univ.Prof. Franz-Josef Holt
Alma Kaul
Univ.Prof. Markus Finke B.Sc.
Benita Ullmann
Katy Täsche
Ralph Jacobi Jäckel
Prof. Ferdinand Gertz B.Sc.
Detlev Weihmann-Schäfer
Donald Schönland
Carina Kusch
Wolf Martin
Reimer Kitzmann
Rosa Rosenow B.Eng.
Mehdi Neureuther
Ingelore Heinz
Bertram Rädel
Ing. Petar Hänel MBA.
Joachim Löffler-Riehl
Gino Hartung
Hellmuth Hörle
Trudi Radisch
Frau Patricia Gorlitz B.A.
Prof. Vesna Scholz
Leo Gunpf-Bolzmann
Gabriella Schuster
Meryem Graf-Lange
Roger Gunpf-Paffrath
Gottlob Seip
Ing. Dorothe Junken
Sonja Barkholz
Univ.Prof. Heinrich Knappe B.A.
Eberhardt Gute
Wencke Salz
Lissi Thanel MBA.
Ulrike Rädel B.Eng.
Ing. Zoran Tintzmann
Ing. Andrew Nerger
Henning Scholl
Dr. Jacqueline Trubin B.Sc.
Katerina Drubin
Gunhild Jessel
Michaela Loos-Mentzel
Prof. Karen Henk MBA.
Willy Weiß
Dietlinde Binner
Veronique Oestrovsky
Edelgard Neureuther-Vollbrecht
Prof. Helmut Hellwig MBA.
Dipl.-Ing. Gloria Heidrich
Sami Mans-Ullrich
Frau Theodora Hettner B.A.
Vinko Kraus-Schmiedt
Prof. Gunther Klingelhöfer
Berthold Rudolph
Hans-Otto Trubin B.Eng.
Lena Ernst-Schenk
Volker Adler
Frau Mirjana Baum B.Sc.
Kristian Rosemann B.Sc.
Susann Haering
Siegbert Henschel
Erich Putz
Ing. Edward Salz
Reinhold Bloch
Dipl.-Ing. Sigrun Neuschäfer B.Sc.
Hubertus Dörschner
Arnulf Kusch
Marie-Louise Hauffer
Gotthard Schuster
Ing. Mohammed Geißler B.Eng.
Dr. Jan-Peter Martin B.Eng.
Rosina Ditschlerin-Ortmann
Benjamin Stoll
Dr. Sedat Schäfer
Toni Scholl-Scholl
Prof. Karl-Heinz Ruppersberger
Grit Karz
Adelheid Schinke
Stefania Möchlichen
Lorenzo Adler-Trommler
Hiltrud Klemm
Prof. Nuran Sauer B.Sc.
Osman Schäfer
H.-Dieter Gerlach
Dagmar Jungfer
Wolfhard Ziegert
Gerhild Stiffel
Karola Zorbach B.Eng.
Dipl.-Ing. Sedat Sontag
Danilo Losekann
Walter Weller
Univ.Prof. Ilka Jäntsch B.A.
Marvin Kade-Ladeck
Lothar Beckmann
Rochus Gude
Pedro Bärer
Erna Kensy-Bähr
Kunigunda Heser
Lina Hörle
Heinz-Josef Jähn MBA.
Gabi Neuschäfer-Oestrovsky
Ann-Kathrin Mühle
Ing. Felicia Dörschner B.Sc.
Sarina Dobes
Ing. Sina Johann MBA.
Romana Wulff
Ludmilla Pieper
Miroslav Paffrath
Justine Dippel-Rosemann
Univ.Prof. Lissi Schomber
Prof. Urs Täsche
Hanno Trub
Adelinde Ackermann-Knappe
Dipl.-Ing. Virginia Käster
Karl-Wilhelm Anders-Gude
Berndt Bähr
Friedl Atzler-Süßebier
Dominik Jungfer
Reimar Jacob-Loos
Melitta Salz
Prof. Ullrich Rosenow B.A.
Univ.Prof. Zita Löchel B.Sc.
Dipl.-Ing. Zeljko Stumpf B.A.
Bianka Schmidt
Ryszard Süßebier-Neureuther
Eggert Börner-Geisler
Mathilde Kreusel
Anny Dietz
Maxim Roht
Ingried Hauffer-Lübs
Dr. Friedhilde Adler MBA.
Rolf-Peter Rosenow MBA.
Geert Etzold
Christopher Fröhlich
Dipl.-Ing. Gertraut Stolze
Prof. Arif Mielcarek B.Eng.
Hüseyin Hethur
Halil Warmer B.Sc.
Ing. Denny Mende
Anna-Lena Röhrdanz B.Sc.
Dipl.-Ing. Lara Tlustek
Dipl.-Ing. Christoph Jockel B.Sc.
Ing. Bernard Schleich B.Sc.
Alfred Tröst-Stahr
Dipl.-Ing. Götz Bloch
Mathilde Wähner-Bien
Katerina Bolzmann B.Eng.
Hermann-Josef Loos
Prof. Mathias Schmiedt
Nadine Sauer
Dr. Sigrun Schönland B.A.
Rebecca Börner
Celal Ortmann-Otto
Yasmin Wiek
Evangelos Staude
Heinz-Gerd Söding
Simon Hahn
Solveig Scheibe
Prof. Felicitas Dörschner
Birthe Schüler
Nathalie Langern
Hanne Junk
Annie Hänel
Jiri Förster
Dorina Weinhold
Dariusz Reising-Ernst
Robby Kramer
Ortrun Pohl B.Eng.
Inka Trub
Marlies Beckmann
Thomas Weinhold B.Eng.
Imre Mülichen
Klaus-D. Segebahn
Anne-Katrin Seip
Jessika Thies
Oxana Stumpf
Eberhard Pechel
Marlies Seifert-Roht
Bertha Ritter-Drubin
Herr Jan Kobelt
Hans-Georg Schmidt
Siegbert Kranz
Christos Gumprich
Ing. Christiana Seip
Univ.Prof. Claudio Schmiedt
Univ.Prof. Kathi Noack B.Eng.
Willfried Mende
Univ.Prof. Rosi Gorlitz B.A.
Prof. Irmela Klemt B.Eng.
Ivana Mielcarek
Elli Kuhl B.Eng.
Dina Hartung
Marlen Jacobi Jäckel B.Eng.
Dominic Möchlichen
Janos Ehlert
Univ.Prof. Klaus-Günter Renner B.A.
Wally Bien-Kraushaar
Undine Jopich
Lutz Kobelt
Tamara Bender MBA.
Egon Haase
Gilda Segebahn
Wera Hauffer B.A.
Ing. Amalia Walter
Univ.Prof. Cläre Weihmann B.A.
Claudio Freudenberger
Karoline Carsten
Hans Dieter Stahr
Herr Augustin Karge B.Eng.
Georgia Bärer
Lia Zänker
Cindy Rogge-Dippel
Univ.Prof. Almut Ehlert B.Sc.
Slobodan Hauffer
Auguste Gunpf
Annelene Zänker
Nicole Scheibe
Herr Wieland Hartmann MBA.
Dipl.-Ing. Babette Bauer B.Sc.
Ottokar Döhn
Kunibert Trommler-Renner
Benita Schleich
Kay-Uwe Pölitz
Gesa Jäntsch
Rena Radisch
Frank-Michael Köhler
Ansgar Tlustek MBA.
Hans Jörg Köhler
Ing. Heide Winkler
Herr Juri Kitzmann
Cläre Heser
Hans-Jochen Mude
Damian Jopich B.A.
Stefanie Dippel
Ignaz Warmer
Timm Oderwald
Eberhardt Mielcarek
Nicolai Gutknecht
Klaus-Peter Schüler-Schaaf
Czeslaw Jacob B.Eng.
Marvin Gröttner MBA.
Gisela Schwital-Scheel
Annelie Bloch
Ing. Thomas Drewes B.A.
Alena Seip
Hildegunde Geißler-Klemm
Prof. John Jessel
Gert Naser
Rüdiger Buchholz-Kuhl
Univ.Prof. Almuth Cichorius B.Eng.
Calogero Hoffmann B.Eng.
Prof. Wolfram Binner B.Eng.
Ignatz Budig
Irena Wilmsen
Robin Weinhage B.A.
Robin Sölzer
Aleksej Kühnert B.A.
Univ.Prof. Jacqueline Faust
Ditmar Bien
Pero Gutknecht
Univ.Prof. Nermin Rosemann B.Sc.
Ing. Ivana Budig B.Eng.
Regina Fliegner
Danuta Kensy
Heimo Ziegert
Reimar Rädel
Dipl.-Ing. Wilfriede Bruder
Ingrid Rudolph
Yvette Schinke
Jacob Süßebier
Adriane Gröttner
Benno Mohaupt
Lorenz Kohl
Dr. Anto Wende
Herr Rupert Jüttner MBA.
Dr. Alberto Kabus B.Sc.
Engelbert Margraf-Trommler
Gabriele Käster
Kathi Wesack
Joerg Zimmer-Kusch
Nadia Thanel
Herr Sigismund Gieß MBA.
Karl-Heinrich Kraus B.A.
Stjepan Schmidtke
Czeslaw Jäkel-Röhrdanz
Centa Kaul
Malte Herrmann-Zänker
Herr Gisbert Langern
Antonius Hermighausen
Univ.Prof. Hiltrud Löwer
Univ.Prof. Niklas Mohaupt MBA.
Hiltraud Klemm-Pärtzelt
Carmela Lindau
Frau Britt Heß
Dr. Jost Hiller B.Sc.
Domenico Kade B.A.
Eleonore Kuhl-Koch
Anne-Katrin Butte MBA.
Frau Clarissa Rosenow B.A.
Wilma Pärtzelt-Huhn
Ekkehart Niemeier
Dr. Ottfried Lachmann B.Sc.
Prof. Kaspar Mosemann
Dipl.-Ing. Leo Sager
Adina Finke
Ing. Alberto Werner
Marita Henk
Ing. Luisa Oestrovsky
Wibke Cichorius
Vladimir Kruschwitz
Mechtild Hering
Stefanie Pruschke
Karl-Josef Barth
Frau Else Röhrdanz B.Sc.
Dierk Steinberg
Marie-Louise Girschner
Irmingard Meyer MBA.
Fatma Löffler B.Sc.
Dipl.-Ing. Eberhardt Fechner
Folkert Reinhardt B.Sc.
Dipl.-Ing. Wenzel Hellwig B.Sc.
Lena Losekann
Dr. Kristine Tschentscher
Waldemar Hendriks
Björn Steckel B.Eng.
Dr. Otto Schmidtke MBA.
Wendelin Schäfer B.Sc.
Rico Cichorius
Stephen Tintzmann
Mijo Seidel B.Sc.
Prof. Karen Benthin B.Eng.
Hedi Bärer
Lilija Ruppert
Birger Becker
Eva Wende-Peukert
Hans-Jochen Gorlitz B.Sc.
Rosita Köster B.A.
Antonia Köster B.A.
Anna-Luise Segebahn
Sybilla Striebitz
Hansjürgen Schlosser
Prof. Folker Trupp B.Sc.
Klaus-Werner Jäkel-Holsten
Michaela Döhn
Heide-Marie Gunpf B.A.
Dr. Maren Steckel B.Sc.
Filiz Bähr
Cornelia Gehringer
Herr Hartmuth Pruschke
Prof. Martin Ullmann
Albert Hartmann-Lachmann
Franz-Josef Etzold
Kunigunda Hamann-Hermighausen
Frank-Peter Ullmann
Ing. Baldur Blümel MBA.
Ing. Hermine Warmer B.A.
Tadeusz Kruschwitz B.Sc.
Volkmar Hentschel
Folker Otto
Kay-Uwe Dippel
Roland Ring
Ottmar Kruschwitz
Adina Mitschke
Dipl.-Ing. Laurenz Gerlach MBA.
Dr. Burkard Bolzmann B.A.
Fatma Seidel B.A.
Matteo Beyer B.A.
Sabine Gude
Frau Käte Zahn
Olaf Wesack
Marvin Kabus B.A.
Eberhard Junitz
Dr. Annedore Wulff B.Sc.
Veronique Hartung-Haering
Dipl.-Ing. Hermann-Josef Jüttner
Franz Josef Nette-Werner
Resi Knappe
Traugott Ruppert
Hans-Uwe Sager
Tino Wagenknecht B.Eng.
Ansgar Hande
Univ.Prof. Liliana Drub
Univ.Prof. Ilja Hentschel MBA.
Prof. Karl-Hermann Pieper B.Eng.
Frithjof Mielcarek MBA.
Evangelia Misicher
Tino Niemeier
Brian Hölzenbecher
Elfi Roht
Heinrich Döring
Karolin Mitschke
Margita Hentschel
Caren Neureuther
Hildegunde Stiebitz-Mude
Prof. Olga Steckel B.A.
Dipl.-Ing. Canan Pölitz B.Eng.
Ute Conradi-Trüb
Carmelo Stiebitz
Clara Rust
Wiltrud Bolander
Univ.Prof. Jeannette Schleich B.Sc.
Gunter Grein Groth B.Eng.
Ellinor Schmidtke B.Sc.
Herr Marian Schlosser B.A.
Helmtrud Atzler
Irmtraut Hahn-Walter
Herr Frank-Peter Jopich
Fabienne Holt MBA.
Constantin Kostolzin
Antonios Zimmer
Berend Gertz B.Eng.
Irmi Döhn
Peggy Rogge-Lachmann
Burckhard Margraf
Frau Raissa Radisch B.Eng.
Dr. Reinhart Hecker B.A.
Frau Stella Plath B.A.
Henriette Bruder
Gundula Otto-Kuhl
Karl-Wilhelm Weiß
Dr. Trude Girschner
Therese Rohleder
Prof. Katalin Heinrich
Dr. Filippo Eberhardt B.Eng.
Hans-Michael Rudolph
Dr. Heiderose Kallert B.Eng.
Henni Mälzer-Tlustek
Suse Hornich
Sevim Ackermann
Jost Lindau
Alfredo Bolzmann B.A.
Ing. Marie-Therese Schleich
Dipl.-Ing. Jaroslav Henk
Ing. Knut Christoph
Edelbert Bruder
Faruk Schomber
Ing. Mike Stolze
Irmtraud Ladeck
Mario Bärer
Sergej Pärtzelt
Slavica Vollbrecht
Otmar Ditschlerin
Lieschen Röhrdanz
Constanze Fechner-Dörr
Annelene Möchlichen-Weiß
Klaas Vogt
Eberhardt Fiebig
Dr. Carsten Steinberg
Univ.Prof. Harro Fröhlich
Dipl.-Ing. Hans-Günther Peukert B.Eng.
Univ.Prof. August Gunpf B.A.
Rudolf Mentzel
Katherina Hesse
Dr. Bastian Christoph MBA.
Stanislav Stey
Ing. Christina Beckmann B.Eng.
Karl-Peter Hofmann B.A.
Dr. Luciano Ortmann
Anneke Jähn
Eileen Geißler
Hermann Bruder
Annett Sorgatz B.Eng.
Constantin Beckmann
Edgar Karge
Eugenia Sorgatz
Mariusz Hartung
Frau Ina Schwital B.Sc.
Aribert Mitschke
Carlo Ackermann-Birnbaum
Philip Heß MBA.
Anneliese Wähner
Prof. Robert Heintze
Christos Bolander
Herma Möchlichen
Prof. Gertrude Renner B.A.
Gebhard Kitzmann
Dipl.-Ing. Maik Mende B.Sc.
Danilo Hande MBA.
Darko Wilms
Natascha Gotthard
Kristin Kaul B.Sc.
Heimo Hübel MBA.
Univ.Prof. Lydia Langern
Dr. Dagmar Hörle B.Sc.
Daniel Zänker
Juliana Weinhage
Thilo Patberg
Max Fiebig
Stavros Hoffmann
Burghard Hamann-Dippel
Alicja Pergande
Romy Zahn-Bien
Gabriela Freudenberger B.A.
Helge Schuchhardt
Univ.Prof. Beate Gude
Joachim Steuer
Gertraude Tintzmann
Ladislaus Hande
Valentine Tschentscher
Georg Nerger
Jens Drubin
Prof. Amir Reising MBA.
Bodo Kranz-Striebitz
Janin Höfig B.A.
Prof. Hermann Bohlander B.Eng.
Ing. Gerold Mende
Jens-Peter Heinrich
Ingetraut Jopich
Prof. Ralf-Peter Schlosser B.Eng.
Meta Wagenknecht
Edmund Junck
Maximilian Steinberg
Radmila Kraus-Schacht
Univ.Prof. Gregor Gieß MBA.
Eckehard Wernecke
Änne Boucsein B.Sc.
Jutta Aumann
Sigurd Süßebier
Marlen Schenk-Schuchhardt
Hubertine Krein
Dipl.-Ing. Sarina Dörr
Carolin Siering
Dr. Krista Jäkel B.A.
Anne-Katrin Lorch
Prof. Horst Mälzer B.Sc.
Hellmuth Söding-Bonbach
Ing. Georgia Rogner
Cilli Siering
Ilhan Hoffmann-Karz
Sören Etzler
Prof. Ana Textor
Gerolf Radisch
Hannelore Rädel-Keudel
Arndt Bachmann B.Eng.
Freia Buchholz
Walfried Klotz-Klotz
Mirja Bähr
Univ.Prof. Suzanne Paffrath
Heimo Förster
Leonard Kostolzin
Auguste Lorch
Frau Belinda Plath B.A.
Centa Krebs-Stadelmann
Uli Schönland-Trupp
Univ.Prof. Metin Martin B.Sc.
Wolf-Dieter Rudolph-Bruder
Kevin Trubin
Betti Adolph
Univ.Prof. Athanasios Drub B.Sc.
Fatima Röhrdanz
Herr Vincenzo Liebelt
Josip Hiller-Hauffer
Kai-Uwe Bohnbach
Veronica Benthin
Hans-J. Bolander
Ismail Steinberg
Univ.Prof. Gundi Koch B.A.
Anna-Luise Seip-Hofmann
Dr. Nadja Wulf
Horst-Peter Riehl
Moritz Holzapfel
Undine Dehmel
Univ.Prof. Nurten Neuschäfer MBA.
Damaris Zirme
Ing. Boris Junck MBA.
Frau Cynthia Bähr B.Sc.
Janet Jüttner
Alexei Meister
Raphael Barth
Marie-Therese Steuer
Inken Gute B.Eng.
Manuel Stolze MBA.
Helfried Langern
Regine Sorgatz
Attila Rogner
Werner Kramer B.A.
