Student
James Kostolzin-Haase
Ralph Schottin-Graf
Maurizio Mans-Ullmann
Alan Stadelmann-Lindner
Concetta Dehmel
Kunibert Trommler-Renner
Tilman Hövel
Meral Bolnbach
Dr. Constance Römer
Julie Mosemann
Lukas Gierschner
Guido Wagenknecht-Kallert
Kristian Albers
Hansjoachim Salz-Junk
Wilfriede Misicher
Ing. Alexander Mude
Marzena Hein
Marietta Geißler
Lothar Birnbaum
Ernest Müller
Prof. Alois Jacob
Ingried Ullmann
Dr. Rosmarie Seip
Ute Conradi-Trüb
Aenne Sölzer B.A.
Univ.Prof. Hans-Theo Kroker
Anna-Luise Eckbauer
André Röhrdanz B.A.
Karla Wirth
Annie Noack
Karolina Hartmann
Wilma Matthäi
Cindy Rogge-Dippel
Vassilios Kramer
Dipl.-Ing. Tomislav Dowerg B.Eng.
Lydia Wirth
Prof. Miguel Dowerg B.A.
Dipl.-Ing. Hans-Ludwig Meyer
Wiltrud Christoph
Gina Pieper
Beatrix Gehringer
Gunhild Kroker
Univ.Prof. Ivanka Hübel
Marica Walter
Aurelia Sorgatz
Dorota Wilms
Dipl.-Ing. Gloria Heidrich
Tino Gnatz
Diana Jessel-Geißler
Johann Beer
Bernard Losekann
Sina Wulff-Dussen van
Dipl.-Ing. Bekir Boucsein
Hans-Bernd Kabus
Dr. Janos Reising
Josephine Schweitzer
Wenke Stolze
Olaf Juncken
Ante Hermann-Mans
Claire Holt
Annaliese Klingelhöfer
Dr. Annette Linke MBA.
Nikolaus Rosenow
Danny auch Schlauchin
Gisa Dörr B.Eng.
Ljiljana Roht
Hansjürgen Säuberlich
Tino Metz
Alina Finke
Astrid Dehmel
Dr. Silvio Täsche
Torsten Schwital-Gude
Volker Adler
Antonius Hermighausen
Dipl.-Ing. Pero Ruppersberger B.Sc.
Hatice Killer-Löwer
Othmar Weinhage MBA.
Heinz-Joachim Stiebitz
Miodrag Fliegner B.A.
Herr Wladimir Bolnbach
Marie-Louise Hendriks-Dörschner
Dr. Lieselotte Blümel B.A.
Hans-Albert Preiß-Scheel
Ira Scholz-Pohl
Prof. Grete Müller
Selim Pieper
Frau Reinhilde Wirth MBA.
Ing. Hatice Gehringer
Jessika Käster
Sigismund Junitz
Nathalie Krause
Siegbert Kranz
Anne-Kathrin Bachmann
Tatiana Kade-Rust
Univ.Prof. Mahmoud Liebelt
Rosa Gnatz
Waltraud Wernecke
Melanie Segebahn
Karla Etzler-Metz
Waltrud Jockel B.Eng.
Mohamed Schottin
Carl Mühle-Wulf
Gundi Schwital
Magdalena Gude
Ing. Cynthia Weihmann B.Eng.
Pero Römer
Elisa Karz-Rohleder
Zita Ullmann-Heydrich
Kornelia Bachmann
Traudl Röhrdanz-Spieß
Emilia Römer
Dr. Timo Ernst
Elke Haase
Almut Rogge
Ottmar Beier
Pawel auch Schlauchin
Dagmar Schinke B.Sc.
Herr Hans Peter Jacob
Stephen Kensy
Regine Wende B.A.
Frau Marie-Therese Mielcarek
Luciano Aumann
Univ.Prof. Mira Mende B.Eng.
Nikolai Rädel-Klemt
Ing. Meinhard Schweitzer
Birthe Trommler
Hanspeter Juncken
Gabriel Kreusel
Volkhard Köster-Jüttner
Ing. Justina Beckmann
Dr. Iris auch Schlauchin
Univ.Prof. Margrit Davids B.Eng.
Univ.Prof. Heinrich Reinhardt MBA.
Luka Weimer-Beyer
Roland Ring
Christl Eigenwillig
Niko Pergande
Dipl.-Ing. Cynthia Hauffer B.A.
Ing. Pamela Gerlach
Univ.Prof. Leif Süßebier B.A.
Zlatko Lehmann
Vinko Schmiedecke-Hendriks
Leon Junken
Hans-Martin Kohl
Eva-Marie Hendriks
Gabi Meister
Helmtrud Börner B.A.
Robert Weimer
Klaus-Dieter Meister
Stephan Stolze-Holt
Beatrice Bender
Andreas Trapp
Helen Dehmel
Prof. Janos Werner B.Eng.
Mariola Tlustek MBA.
Georgia Bärer
Ron Sorgatz-Eimer
Herr André Scholl B.Sc.
Anneli Butte
Raisa Stey-Sauer
Friedl Hänel
Evangelia Misicher
Lena Holzapfel
Dipl.-Ing. Ismet Käster B.Eng.
Roswita Atzler
Felix Müller
Univ.Prof. Zita Löchel B.Sc.
Theda van der Dussen
Brita Schwital
Monja Weiß
Erika Pruschke
Bianka Dobes-Seifert
Gerwin Schuster
Klaus-Dieter Wende
Jörg Speer
Janko Rose
Prof. Britt Drub B.Eng.
Univ.Prof. Canan Zorbach B.Sc.
Robert Etzold
Herr Götz Süßebier
Toni Schottin B.A.
Rosa-Maria Knappe
Virginia Eigenwillig
Brit Lindner
Prof. Anka Schulz
Robin Schuchhardt-Reichmann
Edelgard Neureuther-Vollbrecht
Herr Vincenzo Liebelt
Hans-Martin Bärer
Klaus-Günter Kreusel
Karsten Schwital
Frau Pascale Hettner B.Eng.
Herr Frieder Wulff B.Sc.
Gerald Hendriks
Nina Müller B.Eng.
Dipl.-Ing. John Ortmann MBA.
Zbigniew Hahn MBA.
Ing. Canan Gutknecht B.A.
Jasmina Rudolph
Helene Keudel
Angela Weimer B.A.
Franjo Junitz-Hahn
Rebecca Oderwald
Ing. Marleen Hölzenbecher MBA.
Iris Ullrich
Ing. Utz Klemt B.A.
Dipl.-Ing. Patric Johann
Jonas Christoph B.Eng.
Kathleen Hahn B.A.
Dipl.-Ing. Annemarie Trommler B.Sc.
Ing. Gerti Franke
Lorenzo Hornig
Marek Schenk B.A.
Frithjof Mielcarek MBA.
Jeanette Mälzer
Wolf-Dieter Rudolph-Bruder
Albin Budig
Irmtraut Noack
Univ.Prof. Gunda Höfig
Agatha Sager-Geisler
Wally Krein-Bien
Boris Bachmann
Josephine Rogge
Dr. Damian Scheel
Henry Schüler B.Eng.
Univ.Prof. Andrea Gieß B.Eng.
Dipl.-Ing. Virginia Käster
Anneli Schleich-Ullmann
Friedo Ritter
Monja Mülichen
Ing. Tina Schmiedt B.A.
Janos Ehlert
Anneliese Trub
Prof. Mahmut Barth B.A.
Dr. Anna-Maria Zahn B.Sc.
Melitta Fliegner
Anne-Rose Hettner B.A.
Frederik Beyer
Theodor Niemeier
Prof. Bela Noack
Günter Rudolph B.Eng.
Marko Renner
Dipl.-Ing. Hülya Nerger
Birgid Freudenberger
Ing. Siglinde Speer MBA.
Emma Sorgatz-Radisch
Sükrü Fiebig
Helene Kuhl-Austermühle
Iwan Wilmsen-Weihmann
Gertraud Jüttner
Lene Sauer
Dipl.-Ing. Emanuel Nette
Friedemann Stoll
Leokadia Finke-Dippel
Herr Bodo Steckel
Karl-Hans Fiebig
Kathrin Johann-Schulz
Marianne Ernst-Zirme
Dörthe Rädel
Frau Alexandra Beckmann B.A.
Francisco Harloff
Knut Gorlitz
Dr. Vitus Franke
Jonathan Gertz-Hertrampf
Ing. Valentina Börner
Ing. Wulf Atzler
Heidemarie Köhler
Rose-Marie Jäkel
Dariusz Wirth
Miodrag Dörr-Austermühle
Ansgar Tlustek MBA.
Hardy Weller
Aleksej Fröhlich
Philipp Reising-Harloff
Kai-Uwe Oderwald
Hüseyin Hethur
Konstanze Mühle
Heidelinde Pruschke
Karl Ruppersberger
Gero Gumprich B.Sc.
Halil Löwer
Univ.Prof. Luka Mende
Reinhard Rogge
Ann-Kathrin Mühle
Adina Söding
Steffen Cichorius B.Eng.
Prof. Gertraude Wohlgemut B.Eng.
Polina Ladeck B.A.
Hedy Rudolph MBA.
Rouven Eberhardt
Dipl.-Ing. Grete Stiebitz
Ing. Helmuth Bruder
Ing. Christina Beckmann B.Eng.
Marvin Gröttner MBA.
Rene Rohleder
Marcus Langern
Prof. Alexei Krebs
Tabea Kaul
Dipl.-Ing. Henriette Schmidtke MBA.
Luigi Junitz
Klaus-Dieter Koch II B.A.
Arnd Jacobi Jäckel
Adriane Wende
Veronika Gröttner
Pero Scheuermann
Liesel Ziegert
Kemal Butte-Tintzmann
Adina Kallert
Harry Lange
Karl-Heinrich Karz
Amalia Hermann-Schäfer
Osman Schmidtke
Meryem Hänel-Jungfer
Lambert Wilmsen
Dipl.-Ing. Nathalie Radisch
Dipl.-Ing. Götz Bloch
Frau Anne-Katrin Rädel
Dr. Lisa Kusch
Olav Margraf
Marius Klotz
Reinhold Schönland
Anne-Rose Klemm
Elli Täsche B.Eng.
Univ.Prof. Edmund Mentzel B.Eng.
Theodoros Grein Groth
Ing. Hartmuth Gute B.A.
Univ.Prof. Rene Jacobi Jäckel B.Eng.
Renate Austermühle B.Eng.
Dr. Patrizia Dörschner B.A.
Prof. Maria-Theresia Schaaf B.A.
Prof. Ahmad Rörricht
Vito Davids-Schwital
Michel Hermighausen
Carola Köhler MBA.
Alena Holzapfel
Danilo Losekann
Irmela Krein-Bolzmann
Ing. Daria Lorch B.A.
Auguste Lorch
Ortrun Eckbauer-Kohl
Univ.Prof. Pia Schlosser MBA.
Anne-Rose Krause
Joachim Kramer
Ing. Marcel Gute
Ottfried Peukert-Schulz
Hans-Theo Bärer B.Eng.
Arndt Weinhold MBA.
Prof. Hans-H. Zimmer
Hanns Bender
Ing. Ramazan Kallert MBA.
Lorenzo Zänker
Reimar Klemm MBA.
Edit Siering
Hajo Ziegert-Noack
Karen Grein Groth-Dörschner
Zeljko Gieß
Max Fiebig
German Speer
Marie Hoffmann B.Sc.
Dr. Jeannine Schleich B.Sc.
Catrin Bachmann
Roman Hauffer
Joseph Austermühle
Simone Jacobi Jäckel B.A.
Isabell Eberth-Pechel
Zoran Oestrovsky
Klara Löchel-Bien
Ing. Nuran Schaaf
Gülay Werner
Stanislav Reuter
Dipl.-Ing. Sigrid Hahn
Tillmann Stolze
Ing. Wolf-Rüdiger Weihmann B.Eng.
Irmtraut Ortmann MBA.
Nadeschda Hande
Michaele Schacht
Augusta Flantz
Necati Koch
Michaele Schwital
Clemens Kabus
Katharine Renner
Ercan Oestrovsky B.Eng.
Ing. Alban Mohaupt
Wieland Linke
Thies Birnbaum B.A.
Juergen Bähr
Steven Steinberg B.Eng.
Zenta Mende
Dr. Jane Kostolzin
Fredi Wilmsen
Karl-Wilhelm Rogner
Prof. Gundula Dörr B.Sc.
Petar Hamann
Mirjana Drub
Hans-Eberhard Blümel
Dipl.-Ing. Dunja Hoffmann
Friedl Hartmann
Isidor Niemeier
Louis Loos B.Eng.
Ralf-Dieter Sauer-Hermighausen
Inge Paffrath
Freddy Nette-Hendriks
Siegmar Ullmann-Fritsch
Bartholomäus Karge B.Eng.
Constantin Ziegert
Sibylla Koch MBA.
Erdal Bähr
Mina Beyer
Hans-Wilhelm Weller
Dietrich Adolph MBA.
Univ.Prof. Virginia Pechel
Rotraud Fiebig
Dipl.-Ing. Gunar Kuhl
Janine Dehmel B.Eng.
Guenter Kohl-Nette
Prof. Mathias Schmiedt
Kai-Uwe Rogner
Univ.Prof. Alois Jähn B.Eng.
Rainer Henk-Gotthard
Gernot Dörr
Piotr Ruppersberger
Willy Reichmann
Prof. Ada Wähner
Mandy Huhn B.A.
Malte Schäfer
Dipl.-Ing. Sergio Hövel B.Eng.
Mercedes Blümel
Lena Ernst-Schenk
Univ.Prof. Gönül Meister B.Sc.
Henryk Plath-Jopich
Alma Flantz MBA.
Prof. John Jessel
Prof. Tobias Börner
André Sauer
Ing. Anna-Maria Stey
Elizabeth Budig
Cord Benthin
Julia Ruppersberger
Prof. Bianka Reinhardt
Univ.Prof. Ahmet Birnbaum MBA.
Albrecht Metz B.A.
Burkard Schlosser
Dr. Luciano Ortmann
Lilija Kensy
Dipl.-Ing. Friedhilde Hauffer B.A.
Magdalene Mude
Ing. Friedhold Hartung B.Sc.
Dr. Bastian Christoph MBA.
Frau Monique Wesack B.Eng.
Annita Lorch
Ralph Rogge
Dipl.-Ing. Melanie Kreusel B.A.
Monique Rose-Schuchhardt
Mariele Bolander
Ing. Chantal Schleich B.Eng.
Sigrun Weinhold
Thorsten Bolzmann-Hesse
Lucia Kohl
Adrian Killer
Teresa Schomber B.A.
Liane Fechner
Ludwina Beer
Elias Hethur
Jann Cichorius
Dr. Rotraud Gorlitz
James Ebert
Univ.Prof. Emine Vogt B.Sc.
Univ.Prof. Gino Wagner B.Sc.
Sibille Kallert
Sofie Reichmann
Herr Gotthard Wilms
Rosina Ditschlerin-Ortmann
Tibor Briemer
Univ.Prof. Marita Pohl
Deborah Scholtz B.A.
Helge Finke-Wähner
Frau Annegrete Junk B.A.
Franca Harloff-Döring
Constanze Schleich
Friedlinde Warmer
Univ.Prof. Lucia Zobel
Dr. Carsten Steinberg
Kai-Uwe Stiebitz-Hentschel
Flora Gotthard
Grit Röhricht-Rosemann
Adelinde Gumprich MBA.
Lilly Girschner-Ritter
Dipl.-Ing. Charles Täsche
Jose Tlustek B.Sc.
Tilly Pergande
Leonore Hettner-Staude
Helga Hövel MBA.
Ulla Hamann
Osman Liebelt
Willibald Holsten
Univ.Prof. Teresa Weinhage B.A.
Roman Bloch
Anni Kraus
Bayram Gertz-Hendriks
Evelin Gerlach
Dagobert Eberhardt B.A.
Justina Neureuther
Aziz Anders
Frieder Austermühle
Massimo Dörschner
Willy Trub-Freudenberger
Theodor Mangold
Hilmar Ziegert
Ismail Koch
Dr. Wilfriede Reuter
Dipl.-Ing. Jost Bruder B.Eng.
Dr. Elif Peukert B.Eng.
Dr. Gero Röhricht B.Eng.
Gunhild Stroh-Jacob
Lidwina Jockel
Hilma Berger
Alban Butte
Rotraut Bachmann
Teresa Jessel
Nancy Hartmann-Schottin
Vassilios Davids
Manuel Stolze MBA.
Gottlob Römer
Arnim Bärer
Annamaria Margraf
Ellen Liebelt
Prof. Conny Klingelhöfer B.Eng.
Grete Peukert
Brigitta Walter
Arif Heinrich
Ekkehard Holzapfel
Thorsten Kensy B.Eng.
Prof. Falko Trapp B.Eng.
Romana Wulff
Jens Trub
Frau Hildegunde Koch II
Dino Kusch-Hiller
Celal Hettner MBA.
Univ.Prof. Florentine Schomber B.Eng.
Gülten Röhrdanz
Mariusz Stadelmann B.Sc.
Antonius Pärtzelt-Jüttner
Inga Eberhardt
Ulla Fliegner-Sölzer
Hermine Eberhardt
Ehrenfried Stiffel
Ing. Leander Weimer B.Eng.
Folker Otto MBA.
Swetlana Binner
Friederike Geisler
Hermann-Josef Zimmer
Prof. Janus Walter B.A.
Dipl.-Ing. Julian Mühle
Franz-Josef Kohl
Fredi Jäntsch
Dipl.-Ing. Hans-Michael Stiffel B.Sc.
Johanna Finke-Ehlert
Prof. Marie-Theres Löffler B.Sc.
Ing. Kay-Uwe Flantz
Dipl.-Ing. Lotte Austermühle B.A.
Prof. Hans-Peter Noack B.A.
Prof. Nuran Sauer B.Sc.
Prof. Ruthild Nette B.A.
Frau Chantal Ebert B.Eng.
Antje Drub
Steven Trub
Carola Franke
Anica Kade-Steuer
Ekrem Pruschke-Jäkel
Alexei Meister
Herta Hendriks
Franco Radisch
Raymond Löchel-Ziegert
Georgia Trub
Dr. Friedhilde Adler MBA.
Herr Aleksandr Wiek B.Sc.
Univ.Prof. Almuth Cichorius B.Eng.
Oskar Weitzel
Herr Günther Krein MBA.
Artur Budig
Univ.Prof. Maria-Luise Trüb B.Sc.
Eric Briemer
Anja Meyer B.A.
Mechtild Patberg
Paulo Trommler
Valerie Mangold
Rosita Peukert-Scheibe
Ahmad Jacobi Jäckel
Hans-Henning Scheel
Dr. Nadja Wulf
Herr Knud Pölitz B.A.
Steve Scholl-Ladeck
Herr Imre Kohl
Yvette Margraf-Wernecke
Franz Lange
Dipl.-Ing. Jan-Peter Mende MBA.
Irmtraut Mülichen B.A.
Sylvio Stiffel
Freia Hamann
Ing. Svenja Aumann
Harold Bähr B.A.
Elsa Beer
Heinz-Walter Juncken
Harro Trapp B.Eng.
Ignaz Stoll
Herr Mirko Häring B.Sc.
Agathe Trommler
Prof. Urs Salz
Ing. Konstantin Gerlach B.A.
Yasemin Hande
Apollonia Heß B.A.
Alwin Schaaf
Ingetraud Austermühle-Dowerg
Engin Schenk
Dipl.-Ing. Valeria Kühnert MBA.
Hans-Gerd Preiß
Eberhard Pechel
Evelin Wagenknecht-Döhn
Univ.Prof. Dorle Röhrdanz B.A.
Annemie Herrmann
Annaliese Hettner B.A.
Dipl.-Ing. Manuel Kade
Dr. Hans Dieter Mude
Steven Weinhold B.A.
Ariane Roskoth
Univ.Prof. Anna-Luise Faust
Franziska Wernecke
Univ.Prof. Nadine Gnatz
Lotte Kusch
Conny Zirme B.Sc.
Dipl.-Ing. Laila Scheuermann B.Sc.
Volker Hettner
Rosa Christoph-Sontag
Dr. Marija Stiebitz
Victoria Werner MBA.
Felicia Hamann
Christel Mangold
Hiltrud Adolph
Gertrude Bärer
Prof. Salvatore Römer
Isa Kramer-Matthäi
Wigbert Ortmann
Lena Dowerg
Tülay Gnatz-Sorgatz
Wally Wähner
Karla Freudenberger MBA.
Geert Etzold
Ing. Frederic Christoph B.Eng.
George Paffrath MBA.
Hans-H. Schönland
Peter-Michael Spieß
Fabienne Dobes-Heuser
Antonino Rogge-Meyer
Aloys Fechner
Ulrike Rädel B.Eng.
Valeria Finke
Ing. Gislinde Ernst B.A.
Angelina Ruppert-Siering
Anne-Katrin Butte MBA.
Gunhild Jessel
Prof. Constance Girschner MBA.
Conrad Lindau
Gundi Hiller
Waltraud Hentschel
Univ.Prof. Jeanette Girschner B.Sc.
Marianna Etzler
Orhan Mude
Prof. Georgia Zirme MBA.
Frau Ina Schwital B.Sc.
Dipl.-Ing. Franz Reising
Reinhart Jopich
Maritta Boucsein
Dr. Lidija Weihmann
Prof. Knud Salz
Angelique Speer B.A.
Frank-Peter Haase
Marlen Jacobi Jäckel B.Eng.
Hansjürgen Weitzel
Jane Reuter
Lili Döhn-Margraf
Sigmund Mosemann
Gerti Döring
Ludmila Löffler
Käthe Hande
Univ.Prof. Klaus-Günter Renner B.A.
Curt Mühle
Dr. Tony Ditschlerin
Rainer Gude-Kaul
Mehdi Neureuther
Fabienne Birnbaum
Frau Nadeshda Ruppert
Miriam Ehlert MBA.
Dr. Hans-Albert Stroh
Zlatko Kraus
Marc Henck B.Eng.
Jiri Hoffmann B.Sc.
Liesa Gröttner
Ing. Maria Lübs
Jacek Bärer
Gülten Peukert
Hüseyin Stahr
Ibrahim Wirth-Schuster
Ralph Jacobi Jäckel
Stella Mülichen
Ing. Torben Hande MBA.
Mercedes Kobelt MBA.
Elif Röhricht
Ing. Janin Winkler MBA.
Erik Trupp MBA.
Lukas Juncken MBA.
Carolin Etzler
Ing. Romuald Kreusel B.A.
Rosita Möchlichen-Stumpf
Bert Junck
Janett Patberg
Mehmet Sauer
Hulda Seidel-Carsten
Elvira Scholtz
Uwe Schwital MBA.
Alfonso Grein Groth-Henck
Alina Spieß
Dipl.-Ing. Jaqueline Striebitz
Univ.Prof. Niklas Mohaupt MBA.
Silvio Scholl B.Eng.
Erol Röhrdanz
Flora Etzold
Gerda Kitzmann
Heide-Marie Adler B.Eng.
Heimo Karge-Freudenberger
Dragan Trub
Manfred Juncken
Norman Fechner
Kordula Kambs B.Eng.
Johannes Bärer
Fredi Lindner
Dorota Mude
Wolf-Rüdiger Börner
Frau Evamaria Geißler
Marten Wesack
Willibald Gude
Wolfhard Rosemann B.Eng.
Jasmina Zorbach
Abram Briemer
Ernst-Dieter Rörricht B.Eng.
Ekaterina Wieloch
Ilhan Budig
Emin van der Dussen
Torben Hartung
Hedi Gumprich
Calogero Hoffmann B.Eng.
Herr Ekkehart Sorgatz
Massimo Ernst
Jaroslaw Pieper MBA.
Eleni Matthäi
Frau Stella Plath B.A.
Ralf-Dieter Rörricht B.Eng.
David Losekann
Theres Heser
Univ.Prof. Ladislaus Hande
Caterina Ullrich
Lisette Stoll B.Eng.
Dipl.-Ing. Gisa Jüttner B.Sc.
Irmtraut Fröhlich-Hertrampf
Änne Möchlichen
Dr. Heide Jockel B.Sc.
Gertraude Ruppersberger
Roswita Gumprich-Butte
Dr. Luisa Anders B.A.
Univ.Prof. Cynthia Löwer
Brunhilde Scholz
Dipl.-Ing. Nikolaus Conradi MBA.
Univ.Prof. Ilka Jäntsch B.A.
Frau Patricia Schmiedecke B.Eng.
Ilija Hofmann
Robert Budig-Ullmann
Frau Hedwig Wirth
Ing. Stanislaw Weihmann B.A.
Luzie Sager-Gierschner
Herr Julian Gotthard B.Eng.
Prof. Frithjof Binner
Ing. Zofia Ernst
Karolina Reuter-Freudenberger
Inna Weinhage
Reinhard Beer-Etzler
Willfried Kostolzin
Hans Kostolzin-Ditschlerin
Dr. Aldo Fritsch
Käthi Faust-Gorlitz
Rene Bruder B.Eng.
Maren Heser-Kreusel
Gertrude Ullmann
Carmelo Klapp-Berger
Hans D. Schenk
Arndt Wernecke-Gertz
Dipl.-Ing. Elisabeth Wiek
Miroslawa Jäkel-Bohnbach
Roselinde Ebert
Prof. Marius Herrmann
Ing. Elsa Liebelt
Belinda Reinhardt B.A.
Dipl.-Ing. Richard Gröttner B.A.
Blanka Ladeck
Maja Jungfer
Magda Berger B.A.
Dr. Jann Wesack B.A.
Univ.Prof. Kathi Noack B.Eng.
Dr. Achim Barth
Valentin Klingelhöfer
Margaret Kramer B.A.
Hugo Keudel B.A.
Ilja Wende
Aneta Kambs
Sigrid Jockel
Karl Zirme
Klaus Lorch-Graf
Emil Preiß-Hecker
Ilka Heß
Frau Trudi Wähner B.A.
Mareile Löwer
Anastasia Mans
Hassan Kroker-Girschner
Erhardt Loos
Mehmet Beckmann-Geisel
Univ.Prof. Milan Hande
Frau Margit Gehringer MBA.
Vesna Döhn
Eckhard Lindau B.A.
Prof. Karen Benthin B.Eng.
Univ.Prof. Ferenc Knappe B.Sc.
Undine Eimer
Sigrid Schleich
Anette Anders
Gundi Sager
Theresa Caspar
Gisela Paffrath
Ing. Nils Pergande B.A.
Jolanda Rose
Antonina Christoph MBA.
Dominic Schönland
Concetta Karge
Prof. Sylvio Gumprich
Prof. Constance Austermühle B.Sc.
Prof. Concetta Mies B.Eng.
Daniela Wernecke-Hölzenbecher
Beatrix Scheibe B.Sc.
Uwe Sorgatz
Reinhold Striebitz
Fatma Möchlichen
Hedda Schönland
Fatih Ladeck-Weihmann
Elena Ditschlerin
Manuel Wagenknecht
Heidelore Stolze
Dipl.-Ing. Erwin Hamann
Elfie Otto
Jacob Bähr
Ian Briemer B.Eng.
Frau Evelyn Tlustek B.Sc.
Frau Gudrun Huhn B.Sc.
Ing. Celal Textor
Zeki Henk B.A.
Evelyne Beyer
Vitali Ortmann
Jonas Hendriks
Ahmad Fechner-Wulff
Hubertus Dörschner
Erna Kensy-Bähr
Zofia Gutknecht
Aenne Beyer
Frau Corinna Wähner
Lothar Beckmann
Jolanda Jopich
Liliana Gehringer
Karl-Heinz Hahn
Alf auch Schlauchin
Claas Wirth B.Sc.
Dr. Gert Trapp MBA.
Dipl.-Ing. Amanda Striebitz
Bernt Conradi
Alexej Kohl
Tatjana Käster-Schüler
Marianna Karge
Dipl.-Ing. Walfried Rosemann B.Eng.
Roswita Döhn
Zeki Hartung
Camilla Gunpf
Bianka Schmidt
Frank-Peter Bien
Laura Beier
Burkhard Holt-Schleich
Dr. Jasmina Ruppert
Heinz-Werner Schleich-Mies
Bernhardine Ruppersberger
Kenneth Kramer
Luzia Kranz
Vinzenz Bruder
Geert Schuchhardt
Wenke Neureuther-Hermighausen
Jozef Kostolzin
Tanja Renner B.Sc.
Sofie Staude
Annelies Seifert
Miriam van der Dussen
Prof. Sepp Blümel
Hella Pergande MBA.
Univ.Prof. Walter Barkholz
Gislinde Müller
Ing. Corinne Steckel B.A.
Fritz Schenk B.A.
Stanislav Hoffmann
Rahel Kreusel
Kriemhild Junk MBA.
