Student
Sophie Rädel
Yasmin Reising
Univ.Prof. Annegrete Holt
Aziz Bauer MBA.
Franz-Josef Kohl
Angelique Kruschwitz
Silvia Weiß
Silke Biggen MBA.
Heinz-Willi Holt
Dorit Köster
Dr. Sonia Hornich B.Eng.
Henry Schüler B.Eng.
Dr. Ante Jüttner B.A.
Trudi Keudel B.A.
Aurelia Dussen van MBA.
Gert Juncken
Irmengard Rudolph
Frida Süßebier
Zbigniew Weinhage
Tilman Killer B.A.
Hilda Metz-Dehmel
Hermann Bruder
Friedhelm Schleich
Ingbert Binner-Heidrich
Tabea Kaul
Ing. Gerti Franke
Dr. Annekatrin Striebitz
Hans Jörg Köhler
Ing. Aziz Hein
Ing. Massimo Losekann
Luisa Barkholz
Kathrin Beckmann-Heinz
Riza Römer
Wilfriede Misicher
Hermann Josef Börner
Ludwina Haase
Janina Faust MBA.
Burckhard Heuser
Hanno Salz
Annelise Steckel B.Sc.
Dipl.-Ing. Cläre Geißler
Paolo Wernecke
Dorota Wilms
Ing. Paul-Heinz Geißler
Theres Heser
Kay-Uwe Mühle
Rouven Bloch B.A.
Frau Myriam Walter B.Sc.
Yusuf Steinberg B.A.
Ing. Birte Heidrich B.Eng.
Stanislaus Geißler
Frau Ilka Pärtzelt B.Eng.
Ing. Maike Hölzenbecher B.A.
Hilmar Spieß
Gotthard Schuster
Dipl.-Ing. Herta Fliegner MBA.
Dr. Burkard Bolzmann B.A.
Ing. Jens-Peter Tschentscher
Imre Sauer
Dr. Jonas Anders B.Sc.
Ing. Hulda Schaaf
Univ.Prof. Johan Lange
Bernfried Roht
Eva-Maria Eberth B.A.
Frau Swantje Heinrich B.A.
Friedrich-Karl Weimer
André Segebahn
Prof. Bertha Jacobi Jäckel MBA.
Sylwia Bolander
Anna Lübs
Saskia Roskoth B.Eng.
Maurice Hübel
Catrin Förster B.A.
Herr Tom Täsche
Konstantin Ladeck
Luzia Kranz
Antonia Mohaupt
Milan Holzapfel
Heide-Marie Adler B.Eng.
Edelgard Gnatz-Dobes
Reinald Zahn
Ing. Zoltan Dobes B.A.
Hans-Friedrich Ruppert-Ullrich
Univ.Prof. Norma Schleich B.Sc.
Alf Jüttner
Wilfried Börner
Reinhard Zänker
Dipl.-Ing. Wenzel Hellwig B.Sc.
Ronny Scholtz
Dipl.-Ing. Elisabeth Wiek
Walther Hofmann
Frau Mira Klemm
Prof. Tania Grein Groth
Fernando Neuschäfer
Kunibert Trommler-Renner
Hanne Junk
Univ.Prof. Heinz-Werner Renner B.A.
Zehra Conradi-Heinrich
Stefania Möchlichen
Holger Röhricht
Enrico Oderwald
Josip Kuhl
Petra Wagner
Dr. Meral Thies B.Sc.
Mesut Gute
Thies Pergande
Maren Bachmann-Stumpf
Siegrid Paffrath
Thilo Berger
Klaas Eckbauer
Ronny Dippel
Univ.Prof. Ilja Hentschel MBA.
Dipl.-Ing. Lieselotte Trüb B.A.
Guiseppe Bien
Gottfried Keudel MBA.
Erol Kreusel B.Sc.
Mirjam Stumpf
Dorothea Etzler
Murat Linke
Dr. Gabriel Freudenberger MBA.
Carmen Textor-Krebs
René Ullrich
Alena Neureuther
Tomasz Bolnbach
Waldemar Hendriks
Gunda Ditschlerin B.A.
Osman Salz MBA.
Oliver Kohl
Joachim Steuer
Hanns Ehlert MBA.
Stephen Trommler
Horst-Dieter Gude
Waltraud Trapp-Pechel
Gereon Trapp
Woldemar Jacob B.A.
Herr Muzaffer Klotz B.Sc.
Ryszard Anders B.Sc.
Ernst-August Oestrovsky-Kreusel
Helge Schuchhardt
Francisco Schmidtke-Albers
Metin Klemt
Bernadette Löffler
Ilija Kohl
Adina Söding
Dr. Elvira Cichorius B.A.
Patric Stahr-Ebert
Myriam Aumann
Magarete Schomber
Corinne Koch II
Ing. Wenke Karge B.Sc.
Ahmet Pärtzelt
Dipl.-Ing. Sandro Bärer B.A.
Ing. Wendelin Köster B.A.
Ing. Philipp Textor
Rosa Pieper B.Eng.
Herr Guido Knappe B.Eng.
Univ.Prof. Sybilla Gehringer
Enrico Kobelt-Klemt
Tillmann Stolze
Gundula Scheel-Döring
Eleni Franke
Anastasios Karge
Friedhilde Dobes
H.-Dieter Gerlach
Univ.Prof. Catharina Neureuther B.Sc.
Senol Heintze-Gerlach
Mina auch Schlauchin
Prof. Sonia Blümel
Corina Pergande
Hannchen Zahn
Severin Barkholz B.Eng.
Georgios Knappe-Mälzer
Adrian Trupp
Birgitta Hettner
Christl Eigenwillig
Birgid Graf
Frau Ariane Weinhage MBA.
Herr Alwin Sager B.A.
Nikolaos Ebert-Grein Groth
Olaf Juncken
Frau Edeltraud Radisch B.A.
Attila Werner
Prof. Janin Dietz
Ernestine Trommler
Dr. Almut Peukert MBA.
Hans-Hermann Haering
Prof. Henriette Killer
Lissi Kohl
Ilias Freudenberger
Herr Gordon Meister
Malte Schäfer
Reni auch Schlauchin
Ing. Eckart Becker B.Sc.
Manuel Hering-Jäntsch
Bärbel auch Schlauchin
Frau Eugenia Matthäi
Konstantinos Linke B.Eng.
Lilly Beckmann B.Sc.
Mariechen Nohlmans
Sabine Gude
Irmela Krein-Bolzmann
Prof. Heinz-Willi Hertrampf
Helene Gröttner-Hornich
Roselinde Metz MBA.
Hanspeter Benthin
Isabel Rose
Bruno Siering MBA.
Enver Dehmel
Elfie Preiß
Ignatz Budig
Univ.Prof. Hans D. Ullrich
Kilian Patberg
Irmgard Liebelt
Slobodan Hauffer
Bertram Eigenwillig
Uli Wohlgemut-Stadelmann
Peter Mitschke
Lisbeth Hentschel
Marica Walter
Leonardo Klingelhöfer B.Sc.
Adriane Heinz-Metz
Georgia Ruppersberger
Brita Klemm
Helmut Renner
Miguel Gehringer-Reising
Emil Preiß-Hecker
Hans Dieter Junk
Emma Blümel
Nurettin Mans-Klemt
Dr. Peer Schwital MBA.
Elwira Wirth
Uta Karz
Dr. Anna-Maria Zahn B.Sc.
Ing. Canan Gutknecht B.A.
Piotr auch Schlauchin-Reuter
Hermine Schüler
Francesco Wieloch-Herrmann
Hans-Helmut Wesack
Norma Jungfer
Metin Peukert-Lindner
Nancy Karz-Bolzmann
Georgia Bärer
Roswita Gumprich-Butte
Mirja Bähr
Inka Meyer
Dipl.-Ing. Jens-Uwe Dobes
Jochen Säuberlich
Arif Pergande-Wagenknecht
Elli Täsche B.Eng.
Björn Steckel B.Eng.
Madeleine Hartung
Mohammad Karz MBA.
Zofia Gutknecht
Dipl.-Ing. Jörg-Peter Conradi B.Sc.
Dipl.-Ing. Margaretha Köhler B.Eng.
Hulda Junk
Ing. Brunhilde Albers
Bernhard Fischer
Prof. Guenter Mosemann
Univ.Prof. Ferenc Knappe B.Sc.
Dr. Silvester Krein B.Sc.
Dr. Änne Radisch
Aleksej Fröhlich
Maurice Möchlichen
Utz Staude
Josefa Lange
Ing. Leopold Beier B.Sc.
Svetlana Bonbach B.A.
Antje Etzold
Lydia Schenk
Sibylle Löchel
Lambert Röhricht-Johann
Zeljko Gieß
Anthony Heintze
Anne-Katrin Seip
Ahmad Preiß
Jan Gumprich
Ing. Justina Fiebig
Cäcilie Schmidt
Lucia Kohl
Urte Caspar
Judith Meyer
Prof. Meik Blümel B.Sc.
Prof. Marija Seidel
Marzena Jüttner-Jockel
Tino Kensy
Sonia Säuberlich-Langern
Dr. Mohammed Höfig
Hellmuth Heidrich
Raphael Höfig
Felizitas Jungfer
Nils Hermighausen
Friedlinde Warmer
Annie Harloff B.A.
Gerwin Bonbach-Fliegner
Dittmar Graf
Telse Rudolph
Dusan Zahn B.A.
Heino Zahn-Bähr
Ingetraud Freudenberger
Brunhilde Scholz
Mariele Stiffel B.Sc.
Renata Holt-Heintze
Univ.Prof. Isabel Ladeck
Karl-Peter Häring-Kruschwitz
Reimund Bohlander
Jens Trub
Dr. Hedda Radisch
Jana Drubin-Heß
Danny Gumprich
Klaus Peter Adler
Rebekka Lindau MBA.
Robby Kramer
Ing. Jürgen Jopich B.A.
Dipl.-Ing. Hans-Ludwig Meyer
Brian Dussen van
Univ.Prof. Resi Knappe
Vadim Bender B.A.
Ewald Rädel-Rörricht
Jakob Pohl
Ellen Trub
Elizabeth Wulf
Hans-J. Bolander
Univ.Prof. Hans-Martin Scholz
Jan Freudenberger
Hüseyin Stahr
Othmar Weinhage MBA.
Ing. Swen Sorgatz B.Eng.
Klara Löchel-Bien
Ronald Henschel
Meral Stroh-Henschel
Ing. Carolin Faust B.A.
Prof. Lene Oestrovsky B.Sc.
Bayram Cichorius-Zobel
Ing. Hermine Warmer B.A.
Mandy Trüb
Hans-Christian Roht
Wolf Stadelmann
Wendelin Pärtzelt
Gotthilf Gehringer B.A.
Herr Swen Kraushaar B.A.
Thilo Tschentscher
Reinhold Striebitz
Hans Georg Niemeier
Ingbert Birnbaum-Ring
Kristiane Hermann
Eberhardt Fiebig
Dipl.-Ing. Mariana Mohaupt B.Sc.
Heinz-Günter Boucsein
Maya Conradi
Dipl.-Ing. Henriette Lindau
Gundula Vollbrecht
Vinzenz Bruder
Dierk Buchholz MBA.
Ing. Eugenie Birnbaum
Josef Langern
Frieda Gröttner
Mira Hoffmann
Univ.Prof. Romuald Hermighausen
Margaret Kraus
Willibald Ziegert-Siering
Arzu Ullrich
Sören Spieß
Ing. Zlatko Gerlach
Sandra Scholtz
Conrad Paffrath
Änne Tlustek-Freudenberger
Stilla Klotz
Marzena Hein
Rotraut Bachmann
Hellmuth Drubin-Tschentscher
Pavel Pärtzelt B.Sc.
Dipl.-Ing. Helmut Hauffer
Yvette Süßebier
Constanze Fechner-Dörr
Frau Ayten Pärtzelt MBA.
Alfredo Oestrovsky
Chantal Kramer
Margareta Klingelhöfer
Francoise Vollbrecht B.Sc.
Jessika Thies
Iris Kraushaar B.Sc.
Irene Ditschlerin
Harro Vogt-Gieß
Ronald Rädel
Bernhard Rogner B.Eng.
Ursula Jacobi Jäckel
Prof. Grete Müller
Melitta Fliegner
Madlen Lübs
Zita Wieloch-Scholtz
Ismail Steinberg
Univ.Prof. Undine Junken MBA.
Mehdi Bähr B.A.
Dipl.-Ing. Walfried Rosemann B.Eng.
Dogan Häring MBA.
Nadeschda Barkholz
Dipl.-Ing. Manuel Kade
Ing. Helen Gumprich B.Sc.
Alwine Wirth-Klemm
Dr. Trude Ziegert B.A.
Dr. Reimar Fiebig B.A.
Antje Drub
Liliana Zorbach MBA.
Marianna Rosenow-Weiß
Ing. Sebastian Killer B.A.
Nermin Martin
Paolo Zänker MBA.
Oliver Bien
Theodora Aumann
Hubertine Jäkel
Ing. Margarethe Martin
Ilonka Zimmer
Herr Bastian Ritter B.Sc.
Gabriela Girschner
Hans-Dietrich Fliegner
Karl-Dieter Thies
Dipl.-Ing. Tim Fritsch
Theo Henschel
Miroslawa Jäkel-Bohnbach
Monique Stroh
Tanja Rörricht-Haering
Hans Kostolzin-Ditschlerin
Lilija Döring
Eckhard Lindau B.A.
Kornelius Hornig MBA.
Josip Hiller-Hauffer
Gabor Pechel-Junken
Veli Junitz
Heinz-Willi Jockel
Fredo Kühnert-Köhler
Kai-Uwe Rogner
Lothar Birnbaum
Dr. Muzaffer Sauer B.Eng.
Richard Drub
Edda Stahr
Dr. Lilija Dowerg MBA.
David Losekann
Ing. Wilhelmine Adler B.Sc.
Gertraud Jüttner
Prof. Ignaz Cichorius
Univ.Prof. Halil Staude
Dipl.-Ing. Detlef Schacht
Anneli Wernecke
Ansgar Tlustek MBA.
Dr. Harald Ritter
Undine Lindner
Jasmina Bolzmann
Harriet Ullmann
Dr. Elwira Hiller
Siegfried Kreusel
Osman Schmidtke
Georgine Schinke
Edelgard Finke B.Eng.
Kai-Uwe Sorgatz
Univ.Prof. Fatima Hölzenbecher
Philipp Reising-Harloff
Hans Josef Lachmann
Dr. Marliese Junck B.Sc.
Adelgunde Beer
Anatolij Jüttner-Bauer
Herr Hinrich Mühle
Nurettin Koch II
Joerg Döhn
Ing. Sibel Mies
Ljudmila Krebs
Ludmila Karge B.A.
Karlfried Müller
Carsten Hartmann
Joseph Harloff
Dr. Zenta Holsten
Liane Kambs
Balthasar Kruschwitz B.A.
Frau Raissa Radisch B.Eng.
Nikolas Siering
Frau Anny Niemeier B.A.
Ignaz Beer-Eckbauer
Horst-Peter Thies
Edit Siering
Agata Hertrampf
Mareen Mies B.Eng.
Frau Alexandra Beckmann B.A.
Hans-Gerhard Döhn
Dieter Trupp
Heinz-Willi Geisel
Jasmina Rädel
Rene Rohleder
Benno Gehringer-Wohlgemut
Dr. Trude Girschner
Bruno Wagenknecht
Petar Bauer
Kati Süßebier
Herrmann Holt-Lindner
Marie-Luise Staude-Käster
Herr André Scholl B.Sc.
Victor Fritsch B.Eng.
Dorota Mude
Karl Heinz Kruschwitz-Reising
Heinz-Otto Hermighausen
Cord Mende B.Eng.
Mareen Krebs-Hofmann
Birgit Pergande
Remo Köhler
Herr Ansgar Gnatz
Danuta Kensy
Norbert Eimer
Vincenzo Haering
Doreen Striebitz
Dagmar Koch
Dorit Zimmer-Krein
Freia Hamann-Eckbauer
Karl-Georg Dörschner
Bozena Carsten B.Sc.
Dipl.-Ing. Sibylle Kensy
Nadia Thanel
Abram Scholz B.Sc.
Joseph Gorlitz-Bloch
Leander Dobes-Schlosser
Dipl.-Ing. Richard Gröttner B.A.
Elfie Otto
Krista Bohnbach
Auguste Lorch
Eleni Mühle MBA.
Josefa Hauffer
Frieder Austermühle
Olav Margraf
Svenja Langern
Malte Kallert-Möchlichen
Sergej Dippel
Dr. Siegfried Heinz B.Eng.
Semra Gorlitz
Hermann Josef Weihmann
Stephan Haase MBA.
Hulda Seidel-Carsten
Heribert Römer-Lindau
Nicole Hoffmann
Sigismund Junitz
Irmi Täsche B.A.
Evangelos Ring-Schmiedecke
Dipl.-Ing. Konrad Schenk
Erica Renner-Trapp
Elisabeth Wieloch-Boucsein
Benita Schleich
Heide Schottin
Alma Rörricht
Eugenie Benthin-Ziegert
Pedro Hande B.Sc.
Andree Budig B.Eng.
Astrid Dowerg-Stroh
Dr. Aldo Fritsch
Univ.Prof. Tomasz Atzler B.Sc.
Dr. Alois Kraushaar B.Sc.
Heidrun Lindner-Bolnbach
Wendelin Schäfer B.Sc.
Betti Zirme B.A.
Branka Speer B.A.
Hans-J. Neureuther
Ehrenfried Seidel MBA.
Gunhild Jessel
Marianna Geisler
Carina Killer
Ali Briemer-Klemm
Maike Bolnbach
Franka Peukert
Mark Röhricht
Heinz-Otto Geisler B.Sc.
Centa Bohlander-Stiebitz
Jonas Boucsein
Desiree Klotz
Ladislaus Stadelmann
Meral Reinhardt
Hardy Hänel B.Eng.
Hassan Sager
Hanife Ullrich
Hans-Jörg Lachmann
Anica Sorgatz B.Sc.
Reinhard Eigenwillig
Dr. Zehra Etzler
Frau Anka Hering
Claire Junk
Henny Rose
Britta Nerger B.Eng.
Sonja Paffrath-Reichmann
Maurizio Eckbauer
Arnim Bärer
Julia Hecker-Krebs
Kornelius Pergande-Weiß
Dr. Catharina Gerlach B.Eng.
Donald Schönland
Tomas Gröttner
Regine Sorgatz
Frank-Peter Haase
Univ.Prof. Karl-Otto Dowerg MBA.
Irmtrud Johann
Alan Eigenwillig
Jasmina Heuser
Klaus-Werner Bohlander
Bertha Reuter
Isidor Täsche
Univ.Prof. Edelgard Naser B.A.
Zenta Mende
Joseph Reuter
Eveline Birnbaum
Elfie Kreusel
Gitta Hübel
Günter Wiek B.A.
Irmi Biggen
Klaus-D. Segebahn
Dr. Ottfried Lachmann B.Sc.
Ilias Weiß MBA.
Herr Frieder Wulff B.Sc.
Beata Stahr
Cathleen Mies MBA.
Hannes Meyer
Alfredo Bolzmann B.A.
Frithjof van der Dussen
Dörte Schlosser
Utz Christoph-Henck
Ing. Dirk Paffrath
Benjamin Lübs
Roger Gunpf-Paffrath
Kornelia Dörr
Irmi Döhn
Charles Heinz
Hans Dieter Stahr
Ing. Svenja Aumann
Lidija Löchel B.A.
Danuta Löwer
Zlatko Lehmann
Frederike Dippel
Meral Eberhardt B.A.
Adolfine Lange
Dipl.-Ing. Laila Scheuermann B.Sc.
Prof. Katarzyna Gehringer B.Eng.
Dipl.-Ing. Rudi Wiek B.Eng.
Hartmuth Gude B.Eng.
Giesela Börner B.Eng.
Ing. Anna-Maria Stey
Ing. Abraham Thanel B.Eng.
Hans-Willi Benthin
Eberhard Pechel
Nikolaj Scholz
Univ.Prof. Claus-Dieter Dippel B.Eng.
Melanie Hauffer
Ann Werner-Wilms
Herr Hans Rogge
Melissa Dietz
Herr Rudi Neuschäfer
Aurelia Sorgatz
Kordula Lange
Ignatz Börner
Bruno Henschel
Edelbert Bruder
Univ.Prof. Heinz-Dieter Schuster
Paolo Klotz-Hein
Heinz-Gerd Gorlitz B.Eng.
Andy Jockel B.Eng.
Frau Zdenka Zimmer
Antonius Stoll-Krebs
Friedlinde Sauer
Ing. Hannes Jähn B.Sc.
Carlo Ackermann-Birnbaum
Ing. Therese Rust
Goran Benthin
Ing. Christina Beckmann B.Eng.
Ing. Meik Eberhardt B.A.
Hedda Schönland
Abbas Segebahn
Notburga Pechel B.Eng.
Slavko Schüler B.Eng.
Meta Harloff
Jonas Hendriks
Anna Hartmann
Univ.Prof. Tina Rose
Adalbert Boucsein
Silva Hiller MBA.
Celal Pohl
Margareta Zirme
Marcel Fechner
Mirjana Schlosser B.Eng.
Dipl.-Ing. Alf Graf
Vincent Kranz B.A.
Joachim Höfig
Hans-Hinrich Linke
Dr. Mario Lorch
Ben Bonbach B.A.
Gina Wulff B.A.
Frau Kirsten Geißler
Carsten Wieloch-Kranz
Hanne Ackermann
Herr Mirko Häring B.Sc.
Luka Weimer-Beyer
Dolores Conradi
Liesa Wilms B.A.
Irena Wilmsen
Claudio Freudenberger
Elvira Mälzer
Ing. Annelise Nette B.Eng.
Univ.Prof. Janos Rörricht MBA.
Willy Weiß
Hans-Günther Eimer
Annelore Juncken
Ing. Carolin Matthäi
Ekaterina Wieloch
Ing. Josip Ruppert
Dr. Peggy Beyer B.Sc.
Reimar Jacob-Loos
Ottokar Fliegner
Eckard Textor
Herr Kurt Weitzel B.Sc.
Lidija Trapp
Eckehard Nette
Gerhild Löffler
Wenzel Ebert
Astrid Schweitzer
Reimund Kraushaar
Friedl Hartmann
Marianna Karge
Rolf-Dieter Flantz B.Eng.
Tibor Budig
Burkhard Schweitzer
Ing. Hanns Haase B.Eng.
Heinz Krebs B.Eng.
Ing. Alberto Werner
Dr. Jonas Fechner
Renate Bärer
Helma Häring
Univ.Prof. Ahmet Birnbaum MBA.
Gilbert Peukert B.Eng.
Kay-Uwe Finke
Abram Briemer
Prof. Alexei Krebs
Frau Minna Steinberg B.Sc.
Dr. Dora Fischer
Ing. Catrin Dippel MBA.
Dr. Melitta Mans B.Eng.
Milica Reichmann
Mia Roskoth
Ewald Hethur
Dipl.-Ing. Jose Löchel
Univ.Prof. Halina Hamann MBA.
Herwig Jäntsch B.Sc.
Balthasar Holsten
Guntram Scholz MBA.
Zlatko Ritter B.Eng.
Sevim Vollbrecht B.A.
Tatiana Pechel
Trudel Bloch
Ing. Friedhelm Löchel B.Eng.
Dr. Senol Beier MBA.
Thorsten Bolzmann-Hesse
Herr Günther Krein MBA.
Inge Paffrath
Nuray Aumann
Gerwin Textor
Klaus-Jürgen Jockel
Univ.Prof. Hans-Theo Kroker
Filippo Kostolzin
Hans Josef Reinhardt B.A.
Günter Fischer
Hans-Hinrich Stiffel
Romuald Kambs MBA.
Elmar Fröhlich
Witold Heintze
Dr. Eleni Heser
Univ.Prof. Almuth Cichorius B.Eng.
Brigitta Walter
Petar Hamann
Sigrid Jockel
Ing. Silke Kambs
Immo Koch II
Dr. Lina Hiller
Univ.Prof. Amalia Köhler
Dipl.-Ing. Lara Tlustek
Gisa Hendriks
Konstantinos Lindner
Monja Weiß
Ing. Baldur Blümel MBA.
Jann Geisler
Cord Zorbach
Marjan Segebahn B.Eng.
Herr Gustav Noack
Heinz-Joachim Trupp
Dipl.-Ing. Ernst-Dieter Harloff MBA.
Dipl.-Ing. Margarete Schmidt
Ole Süßebier MBA.
Rebecca Oderwald
Ilja Hartung
Betty Steinberg
Louis Kostolzin
Dominic auch Schlauchin
Ing. Romuald Kreusel B.A.
Nils Stey
Oskar Beyer
Jens Drubin
Sigmund Heydrich
Prof. Mario Butte
Dorota Sorgatz B.A.
Siegrid Bachmann-Schaaf
Rosmarie Kambs MBA.
Damaris Holsten-Schleich
Teresa Schönland
Ursel Juncken-Buchholz
Maria-Theresia Heinz B.A.
Annita Jähn
Jens-Uwe Geisler
Ronald Hofmann
Heinz-Gerd Söding
Florian Finke
Annette Schwital
Ilona Roskoth-Bolander
Herr Julian Gotthard B.Eng.
Univ.Prof. Mira Mende B.Eng.
Florentine Bärer B.A.
Ingried Stiffel B.A.
Marica Hamann-Koch
Sibylle Jäntsch
Herr Evangelos Schacht
Dr. Helge Täsche MBA.
Anselm Dowerg
Mike Röhricht-Hauffer
Kriemhild Junk MBA.
Reza Kusch
Henry Hofmann B.Eng.
Carl Scheibe
Caterina Weinhage
Wera Klemt
Oscar Reinhardt B.A.
Dr. Leopoldine Kostolzin
Antonios Klemm B.Sc.
Herr Leonid Fröhlich B.Eng.
Bekir Cichorius-Döring
Univ.Prof. Alberto Steuer
Alicia van der Dussen-Patberg
Dipl.-Ing. Betti Löffler MBA.
Maximilian Jockel
Auguste Gunpf
Prof. Romy Bohnbach
Insa Bloch B.A.
Karin Beckmann
Jan Döring B.A.
Ing. Magarete Herrmann B.Eng.
Hansjörg Müller B.Sc.
Dr. Natascha Schmidtke B.Eng.
Dr. Isabell Trupp
Dipl.-Ing. Traudel Eigenwillig
Erwin Weimer-Bohlander
Univ.Prof. Almut Ehlert B.Sc.
Dipl.-Ing. Margarethe Holt MBA.
Helen Hein B.A.
Nathalie Lehmann
Hans-Martin Junk-Kuhl
Deborah Finke
Robert Budig-Ullmann
Hedda Mielcarek
Dr. Dagmar Hörle B.Sc.
Nicolaus Jessel
Herr Anton Mohaupt B.A.
Dr. Sigrun Schönland B.A.
Svetlana Boucsein
Evelyne Beyer
Prof. Attila Werner B.A.
Sigmar Briemer
Janin Haase
Reza Mielcarek
Lutz Röhricht B.A.
Osman Liebelt
Marijan Killer
Gilbert Steuer-Rosemann
Niklas Trubin
Sybilla Striebitz
Eggert Börner-Geisler
Kai-Uwe Stiebitz-Hentschel
Univ.Prof. Markus Finke B.Sc.
Dr. Abdullah Becker
Karl-Friedrich Nerger
Ing. Ivonne Nerger
Herr Ignatz Boucsein MBA.
Sofia Etzler B.Eng.
Käthi Faust-Gorlitz
Luis Oderwald
Dr. Michel Pruschke B.Eng.
Rico Cichorius
Amir Reuter
Rosalia Johann
Hans-Gerd Dietz B.A.
Tülay Hettner-Ebert
Bozena Meyer
Ing. Rico Hoffmann
Joachim Löffler-Riehl
Tim Sorgatz
Ulrike Ackermann B.Sc.
Gregor Buchholz
Dietmar Lindau
Monique Schleich-Kroker
Paulina Bender-Liebelt
Dipl.-Ing. Rüdiger Otto B.A.
Mariele Peukert
Carla Tintzmann
Alwin Schaaf
Luise Gertz-Fliegner
Sylvia Schäfer
Inken Ziegert
Herr Sylvester Jopich B.Eng.
Heidelinde Pruschke
Arno Lindner
Prof. Rolf-Dieter Fiebig MBA.
Dr. Editha Rohleder
Prof. Cilli Wulf
Ada Kreusel
Adelgunde Wagenknecht
Sylvester Bachmann
Marius Klotz
Ing. Gerlinde Junken
Christos Gumprich
Valerie Losekann
